segdesc   = BMDC2L_F
2021-04-01
DATE,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
4/2021,77.430,40.565,34.699,36.300,60.802,57.808,59.307,59.780,86.388,81.565,46.717,78.324,51.630,66.217,42.950,54.479,47.859,42.338,40.903,66.302,60.836,63.870,53.013,80.320,56.000,69.173,61.030,36.325,53.224,57.546,53.817,77.425,51.052,47.528,54.050
5/2021,151.704,93.024,97.729,188.210,193.636,146.477,139.957,125.083,134.362,140.000,96.823,180.081,136.909,158.255,122.685,154.911,145.363,113.715,161.195,162.420,207.210,91.557,123.994,170.072,147.963,124.497,158.658,97.509,182.502,88.415,102.830,152.856,141.830,115.564,130.269
6/2021,178.657,155.302,252.474,268.069,193.559,215.331,132.360,154.728,103.393,219.478,184.184,139.391,193.771,180.006,302.369,129.932,253.127,135.010,289.132,112.248,158.781,95.968,180.439,143.625,149.671,118.882,157.696,181.959,180.000,200.681,240.705,72.277,201.858,179.535,314.307
7/2021,72.559,85.774,165.874,138.574,62.229,96.546,50.048,62.916,41.347,101.832,94.555,57.377,90.701,57.972,304.622,54.405,95.291,72.443,194.825,38.421,50.344,31.998,55.225,55.416,62.736,47.519,62.628,81.731,89.294,64.000,122.781,29.639,71.984,59.140,118.514
8/2021,41.122,61.791,73.584,73.760,38.126,45.606,36.752,39.808,41.676,49.549,47.697,50.388,41.901,37.126,95.449,31.304,53.768,38.332,84.469,35.813,43.483,24.855,37.342,35.191,41.143,43.250,45.314,40.573,42.000,42.021,47.862,27.587,49.212,39.709,49.623
9/2021,24.751,46.318,29.133,34.863,32.295,37.887,24.023,29.222,22.135,29.211,23.552,31.581,31.249,25.722,38.533,20.719,32.700,20.518,35.128,22.572,23.066,19.186,40.978,26.000,22.595,25.302,31.633,21.489,23.698,21.191,24.208,18.504,49.342,29.835,28.750
10/2021,30.369,37.534,31.315,38.794,68.793,55.783,23.793,28.425,26.865,52.783,25.456,27.352,34.764,29.261,46.936,32.088,45.311,31.711,35.894,24.317,26.079,31.297,33.751,30.947,41.588,52.404,37.231,25.008,30.418,27.154,30.631,21.609,55.401,48.333,30.613
11/2021,27.480,25.710,26.881,31.036,39.092,37.745,23.062,21.999,21.514,43.718,23.630,22.971,26.645,26.803,35.038,24.728,31.869,26.194,28.556,21.186,25.964,20.205,23.812,26.178,31.745,34.821,28.396,21.994,28.443,27.000,25.606,18.213,33.173,29.839,28.444
12/2021,22.748,22.386,25.640,26.957,26.822,28.169,20.399,20.098,19.364,31.603,21.491,21.176,22.774,22.750,32.055,21.626,25.905,24.362,26.345,18.966,22.253,17.339,22.076,22.133,23.562,24.691,22.425,19.877,23.426,22.722,22.736,16.932,26.479,22.927,26.646
1/2022,19.853,19.991,24.999,24.174,22.989,23.414,18.015,18.006,17.366,25.352,18.741,19.282,20.317,20.192,27.965,18.303,23.231,20.855,25.541,16.959,19.651,15.610,19.589,22.987,20.326,22.219,19.409,17.862,20.504,20.197,20.548,15.212,23.318,20.123,24.592
2/2022,16.503,16.917,19.075,20.302,32.395,21.999,14.786,14.819,14.825,21.725,16.107,17.872,16.632,20.643,25.243,15.023,20.381,20.684,25.558,17.121,16.104,18.103,16.246,19.712,16.466,20.710,15.837,15.377,16.720,16.616,17.078,12.602,21.503,19.552,20.171
3/2022,26.845,28.149,19.416,32.831,61.496,26.565,22.781,40.981,24.516,30.487,25.853,32.041,33.221,46.371,34.811,31.080,32.356,28.965,28.912,27.298,19.710,27.595,43.603,22.765,23.600,52.167,16.144,33.425,20.073,29.837,33.411,19.459,23.483,35.574,22.192
4/2022,44.636,34.700,42.152,81.368,108.607,74.635,57.137,102.019,54.850,55.422,67.313,92.553,67.250,57.899,79.943,68.921,49.697,39.274,70.874,54.055,50.612,52.186,88.692,58.031,75.765,72.801,49.113,56.498,50.964,66.707,74.174,41.520,54.187,68.419,47.346
