segdesc   = BMDC2L_F
2019-03-01
 traces ->      1981      1982      1983      1984      1985      1986      1987      1988      1989      1990      1991      1992      1993      1994      1995      1996      1997      1998      1999      2000      2001      2002      2003      2004      2005      2006      2007      2008      2009      2010      2011      2012      2013      2014      2015
 3/2019       22.727    23.946    23.490    17.803    25.470    26.773    18.921    22.992    32.488    31.552    20.058    26.000    27.272    31.427    34.604    22.415    31.894    31.242    34.766    23.584    26.378    24.016    29.145    44.710    20.529    19.287    47.681    17.909    31.338    21.716    30.426    38.653    24.642    18.347    37.199
 4/2019       95.669    49.237    43.853    37.160    91.264    89.833    70.760    72.601   109.114   110.044    64.100   117.023    80.511    75.873    69.943    70.465    57.144    60.298    57.860    95.691    77.526    85.310    67.098   109.562    62.831    83.471    82.309    44.070    67.062    70.750    72.000   110.983    68.439    51.049    80.590
 5/2019      256.750   179.411   173.089   343.338   360.556   235.964   254.881   197.306   213.732   213.950   207.357   329.507   237.284   239.710   220.000   267.855   214.771   200.309   234.335   313.233   333.311   153.753   217.989   257.295   241.005   218.818   239.366   162.138   299.175   145.959   161.821   211.044   221.015   187.665   197.003
 6/2019      339.850   330.320   502.021   514.045   432.660   339.879   273.067   266.912   186.725   366.584   425.548   271.378   340.172   302.856   579.615   256.113   356.804   258.036   428.119   275.630   298.439   187.606   353.943   195.093   267.618   243.652   246.951   325.000   301.970   361.114   418.697   102.595   347.644   324.719   447.837
 7/2019      138.030   196.901   330.778   254.236   141.486   148.439    97.394   110.106    75.029   171.700   234.726   123.000   164.526    92.008   548.430   102.221   130.578   153.719   277.840    77.504    90.011    55.298   101.482    69.744   111.395    95.484    94.527   147.132   157.831   112.950   210.922    38.960   116.833   107.444   165.964
 8/2019       58.619   100.045   115.917   104.249    62.061    58.390    53.241    52.819    54.679    65.868    84.271    74.922    60.012    47.355   149.948    45.071    63.075    60.800   102.175    53.637    59.418    33.707    53.062    40.607    55.850    59.923    55.754    58.144    58.365    59.218    67.328    32.287    65.105    54.312    59.000
 9/2019       41.222    78.724    52.445    57.912    56.687    57.116    40.658    45.458    35.447    45.825    45.666    52.614    51.372    39.586    68.837    34.829    47.223    36.394    51.829    39.736    37.852    31.052    65.442    37.632    36.569    41.266    47.290    36.084    38.654    35.143    39.970    27.038    75.276    46.928    42.000
10/2019       36.185    46.519    39.763    46.377    82.138    60.288    29.782    32.229    30.872    58.109    34.864    33.936    41.310    32.787    57.414    37.630    47.968    38.303    38.660    31.186    30.754    35.655    39.997    32.761    46.926    58.989    40.436    30.056    35.392    32.010    35.955    23.149    61.054    54.753    32.683
11/2019       32.481    32.072    33.579    37.224    47.143    40.987    28.169    25.148    24.883    47.858    31.541    28.476    31.859    29.732    43.441    29.039    33.447    31.270    30.725    26.983    29.896    23.452    28.609    27.658    35.550    39.529    31.117    26.307    32.421    31.052    29.901    19.528    37.105    33.807    30.149
12/2019       27.421    28.241    32.094    32.565    33.457    30.874    25.217    23.025    22.491    35.051    28.900    26.376    27.490    25.497    39.420    25.673    27.353    29.115    28.405    24.370    25.995    20.291    26.642    23.559    26.965    28.487    24.737    23.899    27.151    26.430    26.847    18.151    29.823    26.295    28.320
 1/2020       24.080    25.246    30.874    29.215    28.835    25.767    22.355    20.626    20.168    28.296    25.374    24.003    24.588    22.659    34.404    21.905    24.547    25.073    27.432    21.828    23.032    18.235    23.725    24.350    23.328    25.588    21.442    21.479    23.871    23.503    24.280    16.307    26.351    23.117    25.917
 2/2020       20.581    21.994    24.521    25.308    40.250    24.792    18.946    17.654    17.764    25.031    22.201    22.615    20.815    23.662    31.899    18.567    22.249    25.060    28.174    22.008    19.511    20.990    20.421    21.537    19.528    24.309    18.090    19.202    20.166    20.005    20.867    13.957    24.962    22.726    22.324
