segdesc   = CLSC2L_F
2021-03-01
DATE,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
3/2021,31.165,33.784,36.525,25.155,39.392,47.809,31.506,31.508,51.626,44.924,31.162,40.649,40.745,42.024,49.082,31.518,42.335,40.465,44.197,32.519,37.942,31.356,38.000,56.040,30.971,31.549,58.750,25.281,46.342,31.166,40.490,47.620,34.522,27.769,49.361
4/2021,92.204,50.440,45.504,38.876,87.454,88.988,71.363,65.837,98.053,98.928,64.400,100.219,79.840,72.824,66.998,66.370,56.208,59.535,54.749,89.732,76.495,76.962,67.864,100.733,63.006,82.421,79.289,43.937,74.070,71.000,67.857,93.256,64.671,49.557,69.079
5/2021,185.374,136.654,143.049,257.431,275.969,187.651,181.997,138.753,143.534,170.000,154.962,222.268,179.077,180.653,187.425,183.851,156.708,154.548,199.869,227.046,249.632,98.368,159.152,187.256,175.256,153.980,182.943,120.386,209.572,112.871,146.223,126.775,159.131,143.936,145.717
6/2021,245.393,243.759,402.449,408.803,325.915,253.303,183.840,186.495,109.550,279.149,316.696,209.450,253.068,203.407,477.503,171.309,264.858,190.053,342.855,195.075,203.403,107.545,243.037,128.265,188.638,158.584,175.026,236.473,220.171,264.549,331.903,57.729,235.000,232.616,335.853
7/2021,101.301,138.460,259.985,204.085,104.963,107.185,67.612,75.854,44.729,119.869,170.745,84.000,114.504,63.809,455.936,72.157,89.614,98.451,214.227,59.145,63.900,37.082,71.493,48.264,75.618,62.301,64.345,106.228,105.284,82.532,160.868,26.990,83.401,73.057,111.098
8/2021,51.466,86.225,100.671,98.493,53.459,50.000,45.224,44.287,44.982,56.345,70.167,64.786,50.548,39.725,130.024,37.264,52.632,47.699,94.078,46.937,51.372,27.500,45.445,34.906,46.982,52.810,48.609,48.378,47.419,52.929,58.165,27.765,55.238,48.850,48.729
9/2021,34.436,68.457,43.521,51.762,52.215,51.778,33.104,39.863,28.239,38.101,37.572,45.554,42.429,33.824,57.736,28.928,40.810,29.062,46.189,33.821,31.393,25.574,58.539,35.000,29.340,34.710,43.591,29.390,31.138,28.978,33.977,21.446,64.315,42.677,33.887
10/2021,37.705,47.847,40.537,52.836,87.145,63.906,29.084,33.396,30.790,62.114,34.764,34.385,41.353,33.260,61.386,43.344,53.683,39.445,40.288,32.806,31.000,38.195,41.172,37.125,49.390,70.599,46.298,29.938,35.256,32.685,38.206,22.285,64.694,60.538,32.285
11/2021,34.848,32.821,34.456,40.896,49.595,44.272,28.683,25.169,24.439,51.539,31.875,28.860,31.978,30.339,45.284,31.082,35.945,33.516,32.367,28.226,30.235,23.922,29.303,32.091,36.497,43.939,34.018,26.633,33.340,32.541,31.737,18.855,39.282,36.331,30.367
12/2021,28.661,28.873,32.870,34.416,35.071,33.013,25.173,22.923,21.883,36.901,29.339,26.716,27.602,25.582,41.589,26.810,28.245,30.754,29.867,25.151,26.185,20.298,27.330,25.229,27.113,30.581,25.926,23.821,27.213,27.568,28.032,17.591,30.749,27.546,28.759
1/2022,24.667,25.989,31.839,30.715,30.252,27.252,22.250,20.603,19.630,29.625,25.747,24.304,24.760,22.792,36.274,22.755,25.370,26.490,28.998,22.488,23.224,18.207,24.234,25.969,23.432,27.371,22.415,21.525,23.829,24.505,25.619,15.875,26.883,24.048,26.685
2/2022,20.618,22.057,24.603,25.641,41.154,26.120,18.339,16.964,17.008,25.659,22.185,22.077,20.334,23.939,32.942,18.526,22.342,26.454,29.173,22.170,19.080,21.298,20.061,22.211,19.053,26.092,18.294,19.031,19.520,19.965,21.426,13.222,26.268,25.100,22.281
3/2022,34.027,36.831,25.392,41.279,80.798,32.917,29.279,50.212,29.475,37.252,38.209,39.475,41.953,57.510,46.454,42.393,39.774,38.825,35.235,35.103,24.311,34.786,58.870,27.460,29.113,75.054,20.029,44.900,24.618,38.805,45.277,21.302,30.213,48.026,25.913
4/2022,57.223,45.138,58.299,103.203,143.462,109.130,72.946,131.878,71.612,69.923,95.369,116.917,86.384,70.616,109.101,100.547,69.322,54.631,91.934,71.251,65.258,68.427,125.801,73.784,101.191,108.742,75.261,80.485,70.473,91.483,103.056,51.334,69.770,88.473,60.725
5/2022,204.579,169.915,564.531,428.424,380.943,363.626,161.621,213.660,136.406,216.582,245.611,334.189,238.229,240.510,408.311,374.660,228.963,259.913,268.696,296.037,83.326,190.239,264.578,290.406,243.040,292.368,328.721,296.966,135.392,210.188,143.032,120.830,289.423,219.301,122.225
6/2022,368.515,450.434,835.389,471.182,455.935,330.428,200.454,176.009,203.546,338.294,215.029,478.379,248.833,633.314,353.326,591.598,235.520,421.086,188.471,240.071,62.124,260.894,174.598,341.286,226.878,231.712,588.614,306.995,296.736,522.997,60.694,165.781,402.486,377.174,134.262
7/2022,205.735,252.693,377.539,143.611,187.752,109.606,78.864,71.860,80.073,153.870,80.828,227.223,76.275,561.563,138.500,220.122,110.302,250.442,56.639,68.594,24.415,73.629,63.303,136.823,82.428,79.163,251.426,164.940,85.960,248.570,26.917,57.814,122.309,114.072,52.184
8/2022,106.412,93.816,143.933,64.219,71.674,59.826,44.252,53.542,41.512,64.597,60.929,76.633,42.798,151.482,58.253,92.204,50.604,98.464,44.989,50.961,19.924,43.722,39.626,62.161,58.287,53.171,88.564,59.020,51.719,76.108,26.866,42.004,64.155,47.653,32.665
9/2022,88.877,48.127,83.671,66.331,74.415,47.334,46.331,37.793,35.279,42.493,50.891,65.406,41.525,73.766,47.704,68.176,36.246,55.394,38.897,36.630,23.825,65.863,44.866,40.795,44.110,54.362,55.030,41.552,33.210,47.676,24.391,60.690,59.277,39.151,28.778
10/2022,55.306,40.482,74.331,98.027,78.854,37.913,35.263,36.747,55.079,35.916,34.805,56.289,36.783,67.746,58.716,75.810,43.549,43.407,34.168,32.334,34.021,41.785,42.276,59.153,76.864,51.524,48.322,41.146,33.721,46.687,22.901,59.523,73.484,33.800,29.477
