segdesc   = CLSC2L_F
2018-10-01
 traces ->      1981      1982      1983      1984      1985      1986      1987      1988      1989      1990      1991      1992      1993      1994      1995      1996      1997      1998      1999      2000      2001      2002      2003      2004      2005      2006      2007      2008      2009      2010      2011      2012      2013      2014      2015
10/2018       26.117    21.771    21.416    21.497    29.942    23.562    21.160    22.794    21.629    25.901    21.094    21.441    27.233    24.407    21.130    21.086    29.320    21.556    23.365    23.197    23.146    21.084    21.139    21.719    27.455    31.452    23.006    22.448    23.000    27.449    27.806    21.323    23.949    23.064    22.285
11/2018       26.171    20.447    19.612    21.840    25.340    27.109    23.029    19.672    19.881    32.295    20.957    19.587    23.635    23.474    19.753    22.126    24.522    23.000    20.138    21.205    23.341    19.619    19.246    24.892    26.204    29.652    23.280    20.820    23.689    28.556    22.242    19.195    23.039    20.403    23.292
12/2018       21.878    19.247    19.563    19.565    20.882    23.168    20.229    18.646    18.806    24.874    19.777    18.705    20.024    20.312    20.125    21.074    20.391    23.788    18.746    19.240    19.992    18.965    19.425    20.706    20.957    23.158    19.665    18.962    20.000    23.178    19.736    18.399    20.071    19.158    21.969
 1/2019       16.784    15.760    17.775    15.785    16.585    17.083    16.000    15.130    15.251    17.897    15.490    15.381    16.037    16.281    15.744    16.240    16.639    18.633    16.921    15.462    15.803    15.535    15.563    19.736    16.459    19.100    15.562    15.438    15.750    18.242    16.224    14.928    15.966    15.688    18.253
 2/2019       15.899    15.455    15.174    15.263    29.907    19.640    14.951    14.269    15.105    18.095    15.534    16.522    14.982    20.283    17.587    15.036    17.033    21.833    20.940    18.198    14.731    20.462    14.712    19.345    15.240    20.946    14.452    16.000    14.681    16.830    15.562    14.067    18.917    19.449    17.631
 3/2019       28.282    28.397    15.636    28.353    61.268    25.660    24.900    46.370    26.626    28.321    30.247    33.577    34.825    52.492    29.000    36.647    33.005    32.234    25.856    30.502    19.515    32.150    47.327    23.940    24.735    56.552    15.601    40.526    19.238    34.607    37.268    22.530    22.305    36.144    20.529
 4/2019       51.829    35.070    47.861    81.212   105.355    80.149    67.424   117.475    67.299    57.194    83.014   108.565    73.369    67.283    81.033    91.704    63.052    48.355    75.472    68.000    58.741    61.314   105.798    69.055    90.254    80.816    65.402    79.404    63.410    89.431    91.295    53.423    48.223    62.098    52.802
 5/2019      172.166   121.859   466.241   302.273   275.589   247.301   145.587   181.499   116.313   153.610   202.124   287.967   197.021   218.017   280.310   314.247   175.056   207.571   203.539   260.212    72.059   145.576   200.156   249.949   200.000   211.857   264.081   274.190   113.201   198.372   123.174   119.031   179.833   148.893   106.735
 6/2019      334.916   365.331   765.966   398.152   414.146   275.000   192.422   159.197   188.141   286.420   196.660   436.288   232.821   596.879   299.713   546.829   208.314   368.363   165.695   219.855    57.894   227.276   155.060   308.648   211.097   206.968   525.633   294.554   268.437   509.621    54.931   163.091   328.240   330.115   126.574
 7/2019      192.727   229.509   356.600   123.468   176.001    92.755    74.528    65.819    74.778   137.459    73.869   205.042    71.034   535.994   121.208   198.695   102.235   229.718    49.282    62.033    21.998    66.252    56.020   122.869    76.950    71.261   235.015   150.654    78.128   240.897    23.321    56.472   105.545   102.000    48.500
 8/2019      105.868    90.654   143.195    58.078    69.128    54.000    43.795    52.113    40.915    60.662    58.836    74.224    41.448   153.019    52.088    89.666    48.710    96.344    41.449    49.896    18.715    42.373    36.643    60.651    57.601    50.290    87.398    58.330    49.927    77.547    24.669    42.461    58.311    44.832    31.645
 9/2019       88.830    45.966    82.909    63.437    72.017    44.000    46.160    37.349    34.931    39.769    49.460    63.703    40.558    74.670    42.539    68.076    34.706    54.085    36.233    35.677    22.383    65.356    42.471    40.953    43.575    52.074    54.219    41.742    32.084    48.541    22.656    64.193    54.832    37.150    27.975
10/2019       53.727    37.695    71.830    91.786    75.204    34.387    34.178    35.158    53.816    32.726    32.697    53.486    35.058    67.071    52.267    73.309    41.142    41.204    31.071    31.025    32.065    40.511    39.276    56.940    75.171    48.459    46.456    40.458    31.975    46.398    20.819    58.175    67.821    31.315    28.088
