segdesc   = DLAC2L_F
2020-04-01
 traces ->      1981      1982      1983      1984      1985      1986      1987      1988      1989      1990      1991      1992      1993      1994      1995      1996      1997      1998      1999      2000      2001      2002      2003      2004      2005      2006      2007      2008      2009      2010      2011      2012      2013      2014      2015
 4/2020       14.051     7.528     7.416     8.182    12.151    11.012    11.799    10.925    14.723    15.477     9.197    14.487    10.308    13.304     8.460    11.659    10.268     9.115    10.199    13.173    13.443    12.798    10.286    15.252    12.980    14.482    12.322     7.607    17.147    11.009    10.841    14.665     9.961    10.208     9.660
 5/2020       10.278     6.765     9.788    30.677    22.715    18.661    10.110    13.671     9.876    18.333     7.720    19.703    22.256    23.547    14.512    22.690    19.793    12.298    28.691    18.096    34.688     5.679    15.238    24.248    19.242    13.416    26.934    10.883    24.934     9.243    23.068    12.470    13.330    17.852    16.954
 6/2020       29.811    20.137    41.909    50.231    38.390    47.595    18.848    24.608     5.363    38.902    21.148    21.995    30.476    31.967    49.098    17.957    42.016    17.543    62.564    10.799    23.817     9.633    20.681    19.687    25.665    12.646    36.270    30.601    25.569    24.841    55.822     6.474    18.003    30.135    50.846
 7/2020       13.751    15.946    41.265    22.417     9.658    27.400     4.523     3.870     1.168    14.498    14.481     6.604     8.820     1.858    52.045     2.305    10.789     7.512    46.136     1.085     1.204     1.648     1.089     3.738     6.446     2.505     8.198     8.005    11.233     3.647    29.555     1.120     3.378     4.814    19.299
 8/2020       11.884    20.969    20.761    24.003    10.151    13.590    12.225     9.651     6.033    12.086     9.937    13.709    10.064     7.674    20.280     6.651    15.010     9.100    27.436     6.905     9.336     5.663     7.215     8.741    11.051    15.342    12.359    11.043     9.859    13.480    13.236     6.837    13.230    13.523    12.270
 9/2020       19.186    31.293    19.853    23.324    24.850    25.579    18.557    23.646    15.875    18.589    18.757    19.085    19.333    20.110    22.267    17.838    24.806    17.287    27.796    16.869    17.502    18.330    23.602    25.776    17.401    20.609    23.319    18.899    18.110    17.419    19.792    15.297    28.324    22.096    18.260
10/2020       23.789    27.466    23.854    29.874    31.564    28.826    21.725    24.984    21.624    27.478    21.830    22.186    22.914    23.554    27.318    28.254    32.247    23.176    25.518    22.527    22.440    25.078    23.461    30.484    27.034    34.932    30.774    22.853    23.435    22.693    24.803    20.461    30.808    32.286    22.618
11/2020       16.792    16.924    16.010    17.998    18.917    19.132    15.428    15.462    14.147    18.437    14.719    14.882    15.309    15.633    17.150    16.810    19.070    16.037    17.014    14.745    15.282    15.152    14.975    19.303    16.669    19.102    19.542    15.566    16.395    15.565    16.521    13.659    17.471    19.025    15.874
12/2020       12.314    12.210    12.247    12.939    13.017    13.876    11.257    11.469    10.329    12.973    11.089    11.248    11.570    11.584    13.140    12.782    13.046    12.375    13.096    10.701    11.419    11.093    11.216    12.910    11.817    12.903    13.354    11.412    11.888    11.744    12.447    10.185    12.374    12.661    12.092
 1/2021        9.945    10.149    10.241    10.820    10.792    11.124     9.324     9.554     8.538    10.462     9.249     9.410     9.718     9.718    10.805    10.491    10.664    10.182    11.176     8.900     9.545     9.036     9.364    11.980     9.803    10.750    10.828     9.478     9.818    10.006    10.436     8.504    10.157    10.223    10.638
 2/2021        8.086     8.390     8.223     8.717    10.519     9.830     7.462     7.924     6.783     8.469     7.407     7.703     7.749     8.876     9.684     8.501     8.682     9.266     9.848     7.486     7.570     7.934     7.602     9.923     7.851    10.042     8.744     8.674     7.748     8.057     8.464     6.735     8.968     8.544     8.609
 3/2021        9.991    11.455     8.914    11.179    13.940    10.755     9.985    15.242     7.367    10.060    10.476    10.973    11.253    14.292    10.427    16.417    11.612    10.406    11.211     9.329     7.611     9.788    15.101    12.623     8.598    18.816     9.388    13.975     7.850    11.730    11.401     8.290     9.360     9.386     8.014
 4/2021        9.382    13.309    19.675    23.455    17.534    21.790    12.795    23.389    11.077    12.687    17.469    20.730    14.699    11.523    14.284    27.374    16.897    10.193    17.781    13.853    11.236    11.667    23.856    37.654    15.766    25.240    19.300    22.374    14.711    13.572    18.592     9.927    14.071     9.346    10.909
 5/2021       20.517    27.567    86.916    59.166    35.751    43.965    15.259    21.493     8.341    21.582    33.195    61.456    25.177    33.206    46.527    65.694    37.372    31.099    30.308    41.249     2.447    19.539    35.010    64.913    26.570    48.025    44.357    36.097    16.851    35.995    13.236     5.331    33.655    16.728     5.284
 6/2021       48.596    74.188   112.580    72.061    54.800    52.113    24.401     9.566    17.857    38.495    30.917    59.346    28.319    75.040    29.890    84.112    33.593    60.630    15.245    26.156     2.501    19.843    18.948    54.076    21.688    47.697    82.443    32.637    38.242    75.609     4.692     5.560    45.178    48.184    14.080
 7/2021       37.132    60.322    53.968    22.899    28.166    16.962     3.909     1.207     3.917    20.181    10.822    22.215     1.331    72.498     4.879    29.018    13.602    41.338     1.082     1.210     1.289     1.085     3.592    16.840     3.618    11.187    30.611    14.768     5.875    38.918     1.116     2.255     7.908    13.390     4.831
 8/2021       27.055    25.794    33.617    14.129    13.510    17.579     9.200     6.815     8.201    11.562    15.517    15.138     7.035    25.050     7.784    21.921    11.452    25.637     7.579     9.100     4.031     6.783     8.702    16.165    16.233    13.738    18.504    10.461    14.712    15.038     6.290     9.632    14.687     9.839     8.779
 9/2021       34.206    22.132    28.552    27.969    25.806    21.393    23.416    16.777    16.385    20.153    20.626    23.249    19.833    24.631    18.769    29.362    19.241    26.924    17.842    17.475    16.497    23.340    25.777    21.081    21.014    24.850    23.376    18.635    18.222    20.909    15.048    25.689    22.990    16.787    17.583
10/2021       28.873    25.633    34.934    34.233    28.993    23.899    25.151    22.480    25.261    22.995    23.236    26.185    23.370    29.067    29.460    36.447    25.037    24.844    23.407    22.425    23.117    23.326    31.367    30.972    35.562    32.220    26.425    23.898    23.417    25.723    20.288    29.026    33.192    21.350    22.404
11/2021       17.938    17.495    21.710    20.811    19.249    17.388    15.498    14.868    16.651    15.745    15.751    18.042    15.513    18.431    17.557    21.876    17.653    16.476    15.548    15.288    13.978    14.917    19.940    19.552    19.424    20.618    18.661    16.809    16.198    17.278    13.538    16.400    19.602    14.815    15.660
