segdesc   = DRGC2H_F
2021-04-01
DATE,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
4/2021,28.339,16.134,13.643,17.530,23.000,26.130,26.634,22.177,30.948,31.219,16.360,29.375,19.685,29.184,17.173,22.665,20.604,15.822,22.712,27.388,28.142,24.534,19.720,33.290,23.274,30.363,27.117,18.570,21.561,21.538,23.039,30.466,25.726,21.207,19.542
5/2021,75.130,47.200,41.529,89.297,82.158,78.089,57.290,50.779,45.005,81.735,36.989,79.616,73.358,96.814,57.658,74.746,84.089,54.145,98.363,70.000,116.797,42.026,62.752,89.690,69.433,66.283,97.252,54.359,96.532,39.796,74.024,62.437,58.411,60.700,70.639
6/2021,115.071,77.489,108.554,109.515,102.590,120.077,72.643,100.531,41.307,122.070,79.958,79.623,88.135,99.783,126.024,62.845,128.074,66.453,179.992,49.547,74.523,48.382,69.426,66.667,76.127,55.560,96.792,85.000,85.951,73.391,146.777,38.995,57.844,96.353,174.887
7/2021,56.800,45.008,69.740,47.777,33.135,74.210,28.104,34.596,17.464,54.395,42.422,32.047,32.000,27.491,91.214,22.928,34.414,33.664,110.135,14.853,22.482,13.803,19.958,23.026,30.558,23.837,35.880,25.023,30.667,23.140,61.198,13.126,21.333,26.754,67.442
8/2021,29.998,53.060,28.761,46.462,19.571,32.767,26.112,27.680,18.661,35.089,18.987,27.966,23.383,16.741,38.308,15.056,44.413,17.491,93.539,14.838,26.464,9.918,16.671,15.417,22.265,22.361,35.923,16.788,16.329,24.000,25.829,11.073,26.338,20.160,29.520
9/2021,15.604,54.195,13.982,25.711,29.477,37.740,15.504,19.925,10.903,21.094,31.410,18.184,23.109,23.788,20.959,13.630,43.070,13.611,59.422,13.156,12.907,20.000,24.706,24.296,11.546,17.622,32.332,20.755,11.399,11.370,17.619,8.014,39.331,25.206,17.603
10/2021,25.136,27.625,16.980,20.965,33.540,39.674,10.342,19.107,13.415,28.543,14.418,11.721,13.878,17.507,19.873,20.733,38.525,12.648,24.070,14.150,10.855,15.761,14.142,23.158,20.444,59.963,36.406,12.447,11.393,14.480,22.694,7.472,29.052,34.541,12.863
11/2021,14.701,15.710,10.425,14.974,18.078,25.349,13.802,12.013,8.743,20.473,11.193,9.848,10.541,14.598,12.494,13.969,18.549,14.694,16.123,11.731,9.891,10.028,9.532,17.360,12.257,21.553,17.390,10.027,9.972,10.780,16.600,6.647,15.202,18.551,11.283
12/2021,11.198,12.552,9.500,12.369,13.175,17.228,10.050,9.638,7.279,14.284,9.766,8.941,9.508,12.264,11.343,11.912,13.002,13.050,14.357,9.146,8.955,8.698,9.007,12.162,9.272,12.322,13.808,8.867,8.517,8.783,13.221,6.355,11.401,11.844,11.470
1/2022,9.596,10.294,8.957,11.642,11.200,13.007,8.324,8.303,6.489,11.333,8.227,8.080,8.691,10.563,10.169,9.511,11.113,9.648,13.036,7.994,8.214,8.020,7.936,12.699,8.413,9.799,11.474,7.782,7.714,8.102,11.991,5.882,9.504,10.049,10.889
2/2022,7.922,8.418,7.328,9.012,10.913,16.502,6.854,6.846,5.402,10.003,7.010,6.750,7.403,11.090,11.197,7.467,9.203,8.868,11.536,6.436,6.928,7.540,6.498,10.681,7.267,9.875,8.820,7.377,6.446,6.433,9.551,4.938,9.498,12.436,9.010
