segdesc   = DRGC2H_F
2020-11-01
 traces ->      1981      1982      1983      1984      1985      1986      1987      1988      1989      1990      1991      1992      1993      1994      1995      1996      1997      1998      1999      2000      2001      2002      2003      2004      2005      2006      2007      2008      2009      2010      2011      2012      2013      2014      2015
11/2020        8.000     8.000     9.162     8.000     8.000     8.151     9.654    10.403     8.033     8.000     8.609     8.677     8.263     8.000     8.519     8.000     8.262     8.000     8.182     8.000     8.000     8.000     8.041     9.323     8.000     8.000     8.000     8.000     8.000     8.000     8.000     8.396     8.000     8.365     8.000
12/2020        8.044     7.779     9.227     7.825     8.000     8.822     9.443     8.729     8.195     7.779     8.342     8.488     7.850     7.779     8.969     7.779     8.873     7.779    10.133     7.779     7.779     7.779     8.013     9.354     7.969     7.779     7.779     9.675     7.882     7.779     8.460     8.054     7.779     8.721     7.779
 1/2021        7.539     7.215     7.901     7.507     8.514     8.266     7.920     7.663     7.442     7.215     7.460     7.500     7.245     7.334     8.155     7.438     8.082     7.231     8.411     7.215     7.219     7.215     7.684     7.924     9.538     7.215     7.215     8.662     7.384     7.215     8.146     8.095     7.215     7.650     7.456
 2/2021        6.653     5.988     6.452     6.078     6.553     8.146     7.938     6.306     6.135     5.988     6.663     6.304     6.011     6.253     8.446     8.487     6.395     6.126     7.680     6.565     6.023     6.030     7.433     6.360     8.196     6.205     7.010     6.609     6.944     5.988     6.500     6.608     5.988     7.186     9.752
 3/2021        8.924     7.769     9.340     8.714    11.000    16.412    10.329    10.120    15.253    10.265     8.198    11.029    11.291    12.290    20.448    11.918    15.851     9.566    11.563     9.542     9.955     7.930    11.229    17.803    12.358     9.231    15.757     8.939    14.667     6.300    11.188    13.674     9.313    10.938    14.912
 4/2021       20.162    16.842    16.641    23.667    47.737    49.273    37.104    21.907    49.816    26.000    19.251    41.249    51.250    27.241    36.793    22.088    39.484    18.678    17.231    29.233    31.307    17.789    19.402    56.662    48.290    27.281    25.942    32.912    24.301    26.513    24.789    28.335    24.464    19.614    16.822
 5/2021       47.371    85.000    75.654   163.653   137.660   120.074    94.765    46.146    83.947    54.859    48.493    92.381   178.423    99.041   110.066    86.312   138.553    63.386    83.754    76.773   125.478    28.996    52.481   119.678   149.298    68.434    86.937   119.371   135.924    58.455    88.555    52.653    47.446    68.989    53.520
 6/2021       67.381   139.186   172.981   216.668   174.418   168.642   105.549    94.679    71.199    79.540   104.229    86.742   185.424    95.000   211.245    75.310   182.797    74.027   134.076    58.120    79.058    16.481    50.568    85.577   137.633    59.535    84.114   187.802   110.238    90.302   189.344    31.713    44.807   109.216   159.569
 7/2021       38.892    91.826   124.168   110.192    68.150   113.211    48.389    41.297    33.548    41.930    66.756    42.000    75.718    31.393   166.851    33.566    58.088    44.499   100.511    19.943    28.646     8.737    18.434    34.851    58.432    29.471    37.822    65.351    45.084    35.394    92.808    14.070    21.572    36.611    64.976
 8/2021       21.323    71.424    40.988    65.818    30.705    40.761    34.381    26.917    26.098    28.000    23.666    30.704    39.120    16.444    54.544    16.740    57.723    19.391    81.869    15.820    28.095     6.851    14.404    19.567    33.558    22.926    32.316    29.952    19.910    28.641    30.285    10.438    24.242    21.878    26.017
 9/2021       12.710    70.846    22.071    38.778    43.356    48.494    24.153    21.380    16.855    19.214    39.118    23.000    38.662    25.928    31.640    15.968    57.128    16.391    56.854    15.980    15.357    17.894    24.848    30.573    20.223    19.865    33.634    34.252    15.138    15.459    21.833     8.437    40.128    29.617    17.497
10/2021       20.627    32.813    22.463    28.302    41.381    45.579    14.426    18.245    17.633    24.803    16.441    13.626    21.700    17.195    26.209    21.656    44.276    13.763    20.798    15.222    11.645    13.334    12.873    26.966    28.515    60.238    34.861    19.332    13.423    16.891    24.553     7.068    27.001    36.171    11.406
11/2021       11.945    19.825    14.537    20.819    23.048    30.130    17.884    11.444    11.843    17.873    12.776    11.494    16.902    14.371    17.206    14.443    22.271    15.735    13.708    12.749    10.585     8.432     8.613    20.133    17.723    21.570    16.515    15.837    11.706    12.801    17.979     6.289    14.267    19.179    10.037
