segdesc   = GBRW4R_F
2021-01-01
DATE,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
1/2021,26.869,24.986,25.759,25.131,25.052,24.985,24.985,24.987,24.986,24.989,24.987,24.982,24.988,25.131,25.212,24.988,25.545,25.012,24.986,25.667,25.206,25.187,25.246,24.979,25.118,24.986,24.985,24.986,25.183,24.986,25.000,26.590,25.029,24.995,25.322
2/2021,27.131,25.961,22.035,21.289,21.407,59.032,24.149,21.159,21.364,22.000,24.171,21.810,21.151,21.468,32.176,28.754,22.195,21.154,23.187,27.687,21.583,21.387,29.408,21.139,21.645,21.829,24.137,21.157,23.426,21.154,21.558,24.551,21.333,26.732,30.634
3/2021,44.091,42.108,36.166,27.567,30.127,106.635,39.469,35.564,53.930,41.475,31.467,39.873,43.782,46.230,61.986,44.943,42.281,39.890,40.000,37.327,36.037,29.002,38.622,46.200,41.437,32.522,54.524,29.488,44.285,33.369,30.899,51.151,35.390,41.524,48.825
4/2021,52.240,44.993,40.745,33.321,62.189,128.314,69.297,66.059,100.921,86.274,48.389,46.358,60.823,79.267,57.686,76.387,46.627,71.276,51.457,71.983,42.194,52.476,60.410,73.467,56.153,73.366,60.000,32.978,66.525,50.009,46.312,97.073,41.416,67.192,49.612
5/2021,84.900,108.253,62.884,44.297,95.960,180.883,171.164,88.965,124.880,76.811,52.021,53.150,149.148,134.520,56.294,64.655,95.659,115.742,114.348,137.568,68.932,42.460,50.876,58.875,85.000,117.590,106.501,82.529,86.975,23.633,71.222,105.583,55.061,141.437,52.057
6/2021,163.737,246.364,257.449,136.410,57.562,528.734,135.523,112.356,215.256,217.790,240.069,2.397,279.742,144.428,356.437,309.822,245.508,249.433,369.729,210.000,50.183,126.032,166.673,143.526,222.818,124.959,30.198,214.205,343.525,165.584,237.450,149.755,51.996,349.573,116.120
7/2021,71.042,264.672,234.074,94.685,17.753,181.454,51.059,23.737,119.500,157.651,111.743,4.910,177.950,30.138,366.418,162.136,96.359,340.736,249.153,72.462,4.229,45.084,58.799,105.000,160.886,28.066,3.421,176.755,264.390,170.165,405.106,52.940,17.325,222.612,60.702
8/2021,34.030,120.330,109.296,43.169,20.243,78.849,48.201,23.497,52.000,55.844,56.122,8.220,158.547,26.282,137.396,60.014,70.149,121.811,94.519,38.721,12.486,26.024,30.838,46.908,62.530,26.832,21.300,59.983,86.936,61.396,129.102,29.908,17.014,84.233,29.785
9/2021,22.614,66.817,60.417,37.000,26.982,49.324,32.043,20.439,39.957,39.442,49.054,14.710,58.593,23.456,57.682,36.770,54.963,53.294,64.673,39.463,14.358,28.647,30.702,42.413,35.504,23.698,20.626,41.688,41.998,36.909,56.797,22.869,24.965,56.977,24.172
10/2021,30.948,90.864,63.589,48.647,33.659,56.777,27.263,22.334,38.144,46.081,34.352,15.808,48.008,34.884,52.443,38.270,54.624,52.017,44.914,37.628,18.125,31.515,26.050,40.916,37.696,40.623,37.279,38.301,45.920,31.305,52.675,25.494,30.577,109.361,27.023
11/2021,35.029,50.957,51.045,32.163,33.929,49.750,28.381,25.311,33.893,40.139,35.813,18.964,40.570,32.485,46.867,39.027,37.417,42.191,40.122,33.965,27.704,27.785,27.725,42.694,35.026,31.534,32.397,39.700,43.671,32.503,46.227,32.683,26.753,56.716,27.564
12/2021,31.024,39.036,37.759,25.401,23.181,39.565,25.043,21.874,28.926,32.019,30.773,15.978,34.206,25.812,45.733,36.806,29.468,37.166,34.870,27.864,20.813,22.715,23.578,29.500,30.548,27.368,23.244,31.573,35.065,27.225,37.450,27.388,20.993,43.141,25.230
1/2022,28.285,34.831,32.554,21.737,19.802,34.057,21.867,19.148,25.120,27.060,26.305,14.437,29.773,22.407,36.015,37.058,25.177,31.569,30.588,24.214,17.055,19.746,20.968,24.541,30.481,25.409,19.071,28.712,30.049,24.592,33.647,22.953,18.543,39.172,29.963
2/2022,27.891,30.576,27.844,19.365,55.503,30.531,18.865,18.269,22.465,27.218,22.958,14.181,25.226,30.119,39.052,29.974,21.486,28.607,30.109,21.050,15.066,25.760,19.530,21.928,25.657,23.947,16.350,26.637,25.352,23.197,30.807,20.321,23.265,41.698,24.951
3/2022,45.077,44.242,37.092,27.655,113.863,45.201,32.177,50.726,41.112,34.772,44.308,34.165,46.888,60.034,55.327,52.502,39.625,45.727,40.003,34.350,23.918,34.239,49.396,42.375,34.415,57.301,24.501,46.383,35.462,31.112,57.480,34.131,36.679,70.911,40.141
4/2022,52.908,52.561,49.084,75.278,193.749,83.940,65.087,103.036,85.790,57.464,59.521,58.252,84.212,59.101,109.231,79.120,69.346,60.340,73.707,44.072,53.099,57.655,104.123,65.254,90.904,61.764,29.645,73.756,49.179,54.569,116.646,41.141,66.212,78.883,44.589
5/2022,199.422,125.714,143.788,195.452,287.998,258.682,102.476,134.280,83.184,89.790,137.887,159.085,173.607,56.196,145.737,307.436,130.202,159.879,153.455,93.921,45.509,54.257,93.777,116.658,215.031,152.967,93.502,122.664,24.525,137.552,164.475,60.454,162.649,177.857,89.302
6/2022,434.484,528.062,364.669,193.717,845.667,191.599,132.227,242.266,252.641,363.848,55.455,335.223,152.588,393.198,566.337,682.957,279.075,531.204,218.220,123.501,178.778,209.668,232.557,334.861,267.754,61.219,255.454,432.801,189.763,372.130,198.040,92.902,432.667,292.198,165.389
7/2022,461.305,403.657,242.921,79.303,312.019,82.530,25.714,151.251,166.166,178.724,31.982,222.162,28.332,422.469,296.228,320.004,341.375,334.005,67.410,34.579,77.334,75.264,172.886,266.613,75.737,8.788,201.009,356.747,175.327,617.681,74.238,37.104,285.512,137.563,69.232
8/2022,179.742,162.188,88.488,39.912,110.580,57.682,23.609,59.554,54.974,75.903,19.662,181.381,25.803,150.691,93.001,152.310,115.444,116.277,37.433,21.476,32.916,33.795,67.059,84.286,43.963,25.780,62.225,113.371,58.100,183.414,36.680,23.183,97.036,53.147,31.798
9/2022,93.631,83.693,62.943,40.085,65.970,38.881,21.646,44.571,41.123,60.881,23.138,69.016,24.981,63.428,55.256,94.052,53.687,78.611,41.687,20.064,33.532,33.703,54.272,46.580,35.684,24.353,44.958,53.020,38.349,79.722,28.649,28.802,66.016,40.262,21.908
10/2022,110.039,79.699,68.697,44.243,68.673,32.022,23.014,41.617,46.921,40.541,22.168,52.463,36.046,54.484,51.873,83.374,51.503,51.755,38.829,22.458,34.370,27.366,48.556,45.477,52.110,40.959,39.858,51.439,32.066,66.803,29.986,33.726,115.545,39.456,29.555
11/2022,61.975,62.295,45.596,42.905,58.453,32.417,25.939,36.177,40.688,40.740,24.234,43.448,33.538,47.980,49.707,56.614,41.787,45.294,34.968,31.572,29.904,28.783,48.689,40.857,39.500,34.889,40.984,48.258,33.183,56.258,36.710,29.185,60.166,37.770,34.343
12/2022,48.326,46.957,37.265,30.008,46.959,28.776,22.493,30.914,32.492,35.262,20.792,36.607,26.800,46.681,46.322,46.060,36.835,39.477,28.788,24.348,24.600,24.548,34.717,35.639,34.441,25.295,32.604,38.834,27.921,46.066,30.947,22.954,45.650,34.285,30.196
1/2023,42.896,40.504,32.153,25.674,40.505,25.215,19.732,26.815,27.497,30.323,18.731,31.864,23.324,36.865,45.363,39.660,31.325,34.654,25.057,20.090,21.407,21.840,29.137,35.165,31.623,20.880,29.631,33.303,25.243,41.147,26.094,20.287,41.268,38.272,27.842
2/2023,37.046,34.251,27.748,57.165,35.715,21.600,18.764,23.726,27.574,26.239,17.670,26.899,30.879,39.759,36.606,33.117,28.441,33.425,21.749,17.435,27.111,20.244,25.648,29.339,29.021,17.816,27.394,27.972,23.742,36.817,22.869,24.187,43.436,31.481,26.810
3/2023,51.093,43.477,35.999,121.176,50.535,35.022,51.214,41.909,35.137,47.892,37.751,48.344,60.817,56.056,59.712,50.244,45.553,43.336,35.076,26.112,35.588,50.108,46.246,37.903,63.897,25.963,47.133,37.874,31.667,64.542,36.751,38.040,72.978,47.049,44.447
4/2023,59.262,55.614,87.436,199.305,91.424,68.710,103.597,86.057,57.758,63.891,61.611,84.808,59.792,110.059,86.787,82.398,60.174,77.816,44.752,54.613,59.081,104.991,69.372,93.132,67.844,30.921,74.544,50.337,54.962,126.557,43.616,65.302,81.526,52.382,49.424
5/2023,137.027,159.108,224.376,293.233,275.512,108.463,135.867,82.746,90.962,148.120,169.648,174.911,57.102,147.822,329.387,152.119,159.333,162.660,94.926,46.146,57.264,96.998,126.718,219.743,168.727,97.285,124.862,25.057,137.416,179.617,64.975,152.679,182.443,104.359,185.918
6/2023,553.946,382.252,209.928,870.400,199.156,136.101,244.266,249.316,365.625,59.932,348.371,164.635,395.383,570.286,706.183,307.094,530.622,225.135,123.923,184.803,217.014,236.390,350.206,286.766,67.777,261.179,437.463,191.599,372.893,207.215,96.567,446.384,296.016,178.550,422.103
7/2023,411.567,248.680,85.717,329.444,85.879,27.157,151.888,178.000,179.017,34.468,226.424,33.563,423.309,297.051,325.064,359.003,333.764,69.520,34.768,85.215,77.104,174.147,272.327,83.510,12.031,203.175,358.524,189.126,618.790,78.165,38.771,296.450,138.710,73.944,472.103
8/2023,164.848,90.971,43.818,114.963,60.030,24.724,59.771,57.618,75.902,21.274,183.560,27.276,150.691,93.262,154.237,126.139,116.108,38.794,21.657,35.298,34.613,67.386,86.019,46.286,28.356,62.887,113.637,60.993,183.473,39.351,24.343,98.997,53.715,34.689,188.090
9/2023,85.345,64.964,43.476,67.586,40.736,22.604,44.748,40.406,60.893,24.581,69.970,25.854,63.367,55.440,95.330,58.077,78.514,42.945,20.237,34.548,34.365,54.497,47.735,36.978,26.424,45.463,53.129,40.096,79.711,30.813,29.854,66.936,40.728,24.167,89.035
10/2023,81.170,70.578,47.389,69.143,33.662,23.909,41.772,48.816,40.524,23.416,53.253,36.543,54.450,52.051,84.439,55.072,51.663,39.901,22.631,35.335,27.897,48.730,46.518,53.951,43.210,40.287,51.519,33.116,66.798,31.946,34.738,117.075,39.876,31.629,115.422
11/2023,63.428,46.982,45.471,59.677,33.822,26.728,36.305,41.380,40.726,25.316,44.090,34.504,47.944,49.854,57.430,44.806,45.219,35.830,31.739,30.836,29.230,48.818,41.701,40.844,36.621,41.358,48.325,34.070,56.254,38.452,30.013,61.737,38.125,36.221,62.691
12/2023,47.965,38.528,32.181,47.618,30.069,23.230,31.035,33.109,35.251,21.803,37.193,27.450,46.649,46.458,46.790,39.445,39.412,29.563,24.500,25.331,24.957,34.842,36.408,35.520,26.779,32.924,38.896,28.739,46.063,32.514,23.699,46.207,34.604,31.863,48.426
1/2024,41.399,33.283,27.593,41.019,26.362,20.402,26.928,27.913,30.316,19.644,32.388,23.911,36.843,45.486,40.302,33.583,34.599,25.748,20.229,22.013,22.205,29.250,35.853,32.767,22.195,29.919,33.359,25.910,41.149,27.472,20.958,41.631,38.575,29.295,42.918
2/2024,36.247,29.786,64.196,37.445,23.391,20.208,24.833,28.910,27.222,19.145,28.355,32.281,41.366,38.020,34.861,31.297,34.734,23.279,18.315,28.471,21.349,26.725,30.993,30.866,19.614,28.975,29.052,25.276,38.183,24.894,25.928,45.288,33.382,29.519,38.327
3/2024,44.320,37.003,123.293,50.776,36.361,52.623,42.552,35.376,48.515,40.542,49.148,61.380,56.313,60.944,52.620,47.448,43.676,36.096,26.434,36.063,52.234,47.007,38.606,64.828,27.292,47.415,38.117,32.194,66.988,38.418,38.528,73.285,47.498,45.665,50.954
