segdesc   = GBRW4R_F
2019-03-01
 traces ->      1981      1982      1983      1984      1985      1986      1987      1988      1989      1990      1991      1992      1993      1994      1995      1996      1997      1998      1999      2000      2001      2002      2003      2004      2005      2006      2007      2008      2009      2010      2011      2012      2013      2014      2015
 3/2019       44.538    40.806    39.356    36.268    38.816    42.435    39.645    40.603    46.731    43.000    38.790    45.099    46.203    48.063    53.356    42.626    49.194    49.328    46.583    38.113    41.950    38.873    45.682    53.767    38.882    37.048    64.938    35.729    44.922    43.013    37.071    59.708    43.718    40.300    58.547
 4/2019       91.640    45.742    46.151    42.806    88.857    94.278    81.572    91.254   118.565   116.409    64.422    84.449    60.644    99.831    67.032    80.963    52.800    73.878    55.036    76.035    60.502    75.000    80.852    91.883    63.874    81.332    83.270    32.889    78.802    73.005    48.005   110.788    54.867    61.098    70.911
 5/2019      132.608   125.052    99.524    97.191   165.878   120.358   229.930   153.426   159.443    94.993   120.000   177.797   187.870   164.740    90.459    72.105   123.011   121.815    99.892   133.144   132.156    76.380    79.205    90.798   128.219   133.839   176.927   101.247   118.719    47.102    89.789   110.878   116.409   108.157    88.822
 6/2019      301.165   280.752   388.238   281.381   182.197   346.456   198.955   242.370   281.685   270.197   413.392   126.808   361.307   190.102   430.429   345.027   329.462   264.222   342.344   201.612   185.766   267.463   271.178   234.634   315.305   164.188   118.912   260.025   395.941   263.713   294.107   159.851   197.099   256.323   270.000
 7/2019      166.882   290.878   333.637   210.430    74.767   109.824    81.205    63.586   170.932   212.484   225.900    67.634   230.114    45.173   449.516   172.597   128.258   359.800   224.395    65.918    71.168   131.865   108.460   163.661   242.533    41.717    35.730   199.233   320.111   292.880   493.537    53.200    91.839   165.000   141.436
 8/2019       63.960   128.828   149.581    82.395    41.656    56.199    60.906    40.267    68.889    73.642   100.650    35.500   189.897    34.082   169.961    64.262    85.252   134.773    89.511    37.573    36.701    52.701    48.343    69.609    87.311    32.522    38.656    67.000   106.290   103.598   160.000    31.439    43.438    67.816    52.684
 9/2019       32.262    63.252    66.379    50.370    36.054    33.697    34.235    27.374    42.748    42.482    61.716    27.748    61.458    25.253    60.352    34.724    55.527    50.176    56.286    35.385    24.786    38.867    36.239    46.465    41.000    24.316    27.277    41.563    43.698    47.186    59.452    21.496    35.681    44.280    32.445
10/2019       42.327    96.362    75.477    64.032    45.785    47.376    32.790    31.647    44.803    53.117    47.637    29.090    54.609    39.787    59.583    40.958    61.389    54.548    44.205    38.315    29.589    43.556    33.959    48.602    46.595    45.525    48.507    41.805    51.086    42.536    59.616    27.100    43.782   102.752    36.368
11/2019       44.686    53.854    59.721    42.270    43.293    42.796    32.964    33.220    39.062    45.229    46.227    29.921    45.288    36.471    52.014    41.374    41.993    43.927    39.594    34.288    37.944    37.136    34.267    48.028    41.764    34.682    40.369    43.067    47.618    41.101    51.066    34.068    36.837    52.546    35.601
12/2019       39.645    41.507    44.793    34.465    30.773    33.589    29.216    29.119    33.578    36.369    40.102    25.926    38.361    29.370    50.409    38.403    33.540    38.710    34.439    28.251    29.513    31.145    29.562    34.531    36.554    30.168    29.883    34.374    38.516    34.822    41.619    28.529    29.885    39.860    32.931
 1/2020       35.519    37.027    38.566    29.730    26.439    28.872    25.561    25.622    29.234    30.850    34.530    23.247    33.433    25.560    39.851    38.752    28.794    32.929    30.237    24.607    24.674    27.217    26.306    29.121    35.784    27.925    24.908    31.370    33.104    31.301    37.328    24.051    26.425    36.469    36.509
 2/2020       35.472    33.641    33.864    26.926    67.090    27.352    22.688    24.759    26.902    31.584    30.689    22.136    29.286    34.597    43.948    32.451    25.345    30.929    31.081    22.464    22.092    33.000    24.790    26.643    30.991    27.028    21.866    30.521    28.859    29.691    35.054    22.059    31.004    40.774    32.586
