segdesc   = GJNC2L_F
2020-06-01
 traces ->      1981      1982      1983      1984      1985      1986      1987      1988      1989      1990      1991      1992      1993      1994      1995      1996      1997      1998      1999      2000      2001      2002      2003      2004      2005      2006      2007      2008      2009      2010      2011      2012      2013      2014      2015
 6/2020       54.185    45.168    55.245   119.619    50.627    56.818    52.403    49.221    46.871    49.384    57.972    52.072    51.400    50.759    62.556    54.000    67.754    56.572    58.632    53.921    57.333    51.180    54.051    50.516    64.223    55.564    48.933    54.647    57.219    54.809    48.514    50.226    49.046    51.635    60.391
 7/2020       20.420    15.784    25.609    29.051    15.604    19.528    17.112    19.271    14.874    16.547    17.618    21.111    17.315    15.690    30.483    17.000    18.114    15.996    18.600    15.568    16.284    15.825    15.150    16.244    19.714    16.738    15.148    15.752    19.900    16.647    17.704    17.227    16.432    15.300    17.422
 8/2020       26.365    30.743    29.674    39.901    23.385    25.175    26.676    24.556    25.000    24.694    24.010    29.520    23.472    22.798    26.349    23.229    32.253    23.621    34.692    23.292    25.067    23.185    23.263    23.772    25.833    32.682    25.364    24.348    24.421    29.856    23.855    24.763    30.337    28.822    23.662
 9/2020       41.192    60.571    40.342    50.744    47.813    54.320    42.207    53.821    39.360    38.524    45.238    42.446    41.393    41.075    41.227    42.000    51.954    38.868    48.645    40.995    39.624    43.295    51.060    52.748    39.394    47.576    55.374    40.722    39.512    39.875    40.779    39.378    60.421    45.662    39.653
10/2020       70.713    66.971    52.790    71.473    96.280    89.469    51.593    58.096    52.868    58.000    53.087    51.818    59.397    54.466    60.326    61.057    78.956    52.620    54.434    53.712    51.543    61.924    55.795    68.169    65.043   103.642    78.158    52.772    52.889    53.784    55.498    51.332    81.937    68.952    52.591
11/2020       55.625    55.461    46.458    54.333    60.945    67.851    49.059    44.481    42.635    49.553    46.291    49.088    45.639    44.419    44.673    51.956    54.235    47.635    42.469    43.669    43.482    48.731    43.199    58.045    50.474    67.702    55.900    42.528    44.277    48.479    45.423    41.321    54.498    47.953    48.000
12/2020       41.798    40.828    38.837    40.479    44.344    47.689    39.035    36.772    34.721    38.000    37.751    37.919    35.878    35.727    37.131    45.697    41.225    40.653    35.252    35.193    35.044    38.417    36.719    41.207    37.686    44.622    41.649    35.147    35.690    46.646    36.673    34.639    40.851    36.772    39.997
 1/2021       34.418    34.570    32.600    34.702    36.533    37.538    32.000    31.336    29.655    31.223    31.476    32.847    30.761    30.756    31.441    35.742    34.936    33.725    31.366    30.349    29.818    31.677    31.327    48.749    32.611    37.189    34.221    30.767    30.201    40.272    31.757    29.842    34.422    31.100    36.051
 2/2021       28.778    30.253    25.955    28.694    47.087    38.953    25.952    26.411    24.305    26.529    26.272    32.374    25.135    33.773    35.802    30.029    30.731    32.124    32.542    26.927    24.294    28.520    25.874    40.228    26.506    37.590    29.000    29.906    24.354    30.165    26.612    25.224    33.393    30.423    29.014
 3/2021       54.974    62.932    34.916    55.826   106.751    54.965    39.774    63.683    37.676    42.473    53.961    68.701    47.366    76.602    46.515    62.420    46.000    42.646    40.532    40.101    30.938    41.493    64.298    54.327    38.401   106.975    37.928    55.268    30.224    50.241    45.844    38.288    44.809    44.175    36.481
 4/2021       90.759   115.136    97.949   230.198   242.171   146.196    81.339   141.413    77.206    84.198   152.374   216.377   108.826   116.271    92.482   149.337   118.381    67.220    79.417    81.933    74.841    82.342   158.863   212.788   148.744   167.487    88.997   108.655    89.422   126.219    97.457    69.494   100.000    72.717    87.705
 5/2021      223.587   366.032   459.607   465.399   351.155   273.779   147.121   152.822    92.981   166.812   226.995   586.865   196.113   389.579   219.932   435.794   303.679   183.276   155.831   209.766    68.201   200.918   216.208   462.325   220.000   221.330   369.138   290.916   183.326   289.489   100.560   137.753   234.780   143.761   105.354
 6/2021      205.493   486.766   493.884   292.703   242.550   141.363   123.097    80.854    70.258   169.769   122.191   436.325   120.609   483.295   120.865   368.751   209.701   202.795    75.186   106.520    28.664   178.842    84.505   296.058   111.426   113.959   390.488   150.000   193.846   363.266    23.066    80.126   195.807   137.972    65.400
 7/2021      108.990   213.696   174.602    84.878    92.360    52.306    39.828    27.371    23.979    68.441    46.977   154.687    28.445   299.707    37.626   109.411    77.116    99.281    18.352    24.839    12.578    34.881    26.992    96.650    29.354    36.612   132.023    69.737    45.000   140.544    15.290    24.339    42.965    39.922    22.817
 8/2021       51.870    76.647    80.834    44.637    39.859    39.598    27.419    26.822    24.023    32.075    38.707    59.268    24.369    81.801    25.714    65.801    37.461    51.804    23.056    28.914    18.164    25.057    27.461    49.221    35.000    32.694    54.001    32.480    39.638    46.042    21.769    30.064    38.540    24.833    24.119
 9/2021       76.120    62.903    75.844    68.528    70.976    52.895    58.979    42.739    37.916    52.093    51.436    70.663    44.812    66.749    45.822    76.783    49.347    57.075    42.347    43.443    38.515    57.301    59.415    57.726    51.442    64.042    58.742    46.234    46.404    55.426    37.582    62.062    54.000    40.028    39.850
10/2021       75.849    71.318    96.699   123.045   110.873    60.267    62.135    56.230    56.778    58.095    59.074    87.950    58.230    84.523    65.772   105.719    62.454    59.801    54.698    54.715    56.308    59.951    75.581    85.383   110.900    86.619    68.114    59.179    59.379    68.887    49.357    84.096    77.135    52.287    68.788
11/2021       61.272    62.733    74.074    76.987    79.359    56.858    46.598    45.063    47.643    50.085    55.146    67.533    47.045    62.036    54.536    71.037    55.988    46.462    43.939    45.637    43.688    45.979    63.698    65.765    70.859    60.348    55.263    49.756    52.887    55.873    38.806    54.853    52.527    47.361    53.574
12/2021       45.309    53.215    56.185    56.773    55.652    45.621    38.601    36.857    35.952    41.096    43.477    55.639    37.897    52.356    48.425    54.371    48.158    38.853    35.276    36.901    33.850    39.183    45.092    50.760    46.599    45.058    46.751    40.243    50.437    46.000    32.167    40.839    40.562    39.065    39.568
 1/2022       38.579    45.437    48.529    47.554    44.624    37.833    32.939    31.596    29.357    34.501    37.726    48.712    32.713    45.054    38.022    46.503    40.164    34.626    30.363    31.483    27.557    33.566    51.728    44.584    38.893    37.230    41.207    34.239    43.464    40.229    27.527    34.529    34.494    35.111    32.459
 2/2022       34.404    37.291    40.823    59.421    46.631    31.447    28.230    26.585    25.630    29.464    37.079    40.711    36.212    49.029    32.602    41.196    38.356    36.030    27.384    26.312    25.760    28.422    43.959    37.324    40.087    32.236    39.199    28.337    33.595    34.315    24.010    34.252    34.124    29.052    27.620
 3/2022       68.938    46.838    72.450   126.770    62.939    45.741    64.559    40.099    40.774    57.270    70.549    67.978    79.695    60.513    63.404    60.133    50.744    43.727    39.737    32.605    37.790    69.068    56.991    50.585   112.844    40.855    68.541    34.046    53.952    56.882    35.597    45.257    50.214    36.087    51.642
 4/2022      125.828   121.045   265.971   273.451   166.628    91.474   146.017    82.280    81.129   164.462   222.740   145.793   121.858   121.208   150.769   146.372    78.699    88.044    77.890    78.357    76.183   170.273   217.695   180.406   174.137    94.026   127.482    98.679   137.182   120.806    64.809   103.331    81.507    89.121    87.818
 5/2022      394.204   527.348   502.506   374.478   294.389   160.294   157.198    98.018   165.622   241.187   595.071   232.747   401.818   262.366   446.027   340.967   206.336   170.761   209.636    70.599   189.342   224.902   466.941   243.065   225.877   384.979   328.083   196.983   308.526   115.588   128.469   237.645   154.144   107.096   215.629
 6/2022      494.501   510.690   308.919   247.804   145.959   128.637    83.665    71.521   167.795   124.845   448.348   134.395   482.692   132.721   370.317   218.987   211.235    77.933   110.162    29.336   170.067    84.976   302.679   118.403   113.734   391.832   160.086   198.350   367.222    27.390    79.996   194.131   140.768    65.813   203.931
 7/2022      200.938   167.499    87.206    90.247    51.721    39.670    26.721    23.167    63.092    45.427   152.209    33.759   279.406    41.228   107.141    77.317    95.805    17.610    23.855    11.950    31.275    25.740    94.807    31.931    34.687   123.978    74.031    43.573   132.339    16.141    21.345    40.224    38.672    20.845   104.117
 8/2022       78.774    85.534    49.973    43.952    42.557    29.577    28.039    24.864    32.083    40.381    61.660    30.760    83.351    30.764    68.266    42.301    55.068    24.002    29.580    18.885    24.340    28.316    51.372    39.857    33.498    55.526    37.311    41.693    47.800    24.602    30.668    39.222    25.751    23.937    51.502
 9/2022       63.245    78.414    71.026    73.963    54.688    60.897    43.018    38.291    51.257    52.141    71.788    51.106    66.664    50.356    76.235    52.713    58.824    43.156    43.422    39.011    55.634    59.806    58.194    55.595    64.092    59.075    49.094    47.290    56.003    40.220    60.020    53.886    40.619    39.144    75.088
