segdesc   = GJNC2L_F
2021-02-01
DATE,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
2/2021,25.698,24.902,25.000,24.381,24.873,29.011,26.476,24.384,25.044,24.724,25.096,24.509,25.440,24.319,28.306,30.695,24.595,24.544,25.905,28.295,25.769,24.230,25.077,24.349,26.295,24.421,27.277,24.411,26.122,24.264,24.849,24.594,24.321,27.772,28.677
3/2021,37.000,43.366,49.587,30.474,40.914,58.476,38.740,31.771,55.135,45.423,38.141,45.099,44.836,44.982,65.983,41.838,37.822,37.478,37.357,39.967,40.000,30.465,41.242,50.341,37.438,32.877,50.564,28.619,48.012,30.066,41.173,40.580,34.413,38.678,39.585
4/2021,72.772,46.993,64.394,55.337,109.380,107.644,59.600,48.774,81.159,88.817,56.809,98.708,98.737,81.251,79.737,63.782,55.658,76.434,47.134,73.914,70.033,58.618,66.517,88.470,67.095,81.864,64.967,46.160,75.605,70.071,70.619,70.000,53.768,46.150,46.105
5/2021,105.541,77.909,199.574,177.348,239.741,197.871,120.508,77.290,87.981,117.116,100.759,164.571,260.138,166.680,263.957,130.000,109.822,152.346,132.193,157.688,174.965,60.705,150.368,127.366,154.627,119.434,132.025,104.938,146.500,117.019,140.054,70.171,107.872,113.123,105.066
6/2021,76.027,82.293,285.983,224.021,148.665,130.496,64.232,59.966,40.668,94.396,112.538,87.815,194.212,104.925,313.794,67.666,107.240,128.579,141.440,81.582,80.364,29.030,136.611,35.495,110.256,55.673,56.165,133.354,67.730,123.246,167.143,13.580,62.456,110.628,100.000
7/2021,30.442,42.606,149.631,79.336,41.333,57.094,23.710,21.308,15.640,35.676,49.776,32.216,73.805,25.610,217.040,23.774,27.442,48.663,72.080,18.606,21.469,11.501,28.786,15.114,32.356,17.104,15.997,48.492,30.399,30.000,75.930,12.624,19.341,23.417,29.842
8/2021,28.182,38.748,64.472,55.442,31.683,32.252,30.976,23.168,23.546,29.295,29.349,34.714,37.323,24.836,65.109,22.808,35.804,30.154,48.338,24.133,28.050,18.573,25.122,23.395,27.786,32.662,27.249,31.171,25.897,35.751,32.878,20.955,30.000,33.551,24.983
9/2021,39.994,64.000,52.599,56.933,55.685,60.767,43.192,50.551,36.505,39.813,46.967,45.000,51.223,42.725,55.115,40.361,52.821,42.043,52.450,41.364,40.622,37.067,53.705,50.518,39.920,46.020,55.127,42.473,39.380,40.991,44.642,34.710,58.341,46.435,37.946
10/2021,69.074,67.247,62.502,78.394,107.693,98.763,51.417,55.277,50.023,59.386,53.723,53.537,69.013,56.416,74.264,60.042,79.868,55.886,56.352,53.916,52.405,54.998,57.407,67.057,66.949,101.576,77.081,53.712,52.608,54.524,58.884,46.361,79.703,69.413,50.240
11/2021,53.684,53.813,54.478,58.929,66.664,71.596,48.041,40.777,39.593,49.885,45.956,49.713,52.198,45.317,54.149,49.599,53.214,49.779,43.367,43.148,43.596,42.399,43.711,56.356,50.836,65.084,53.609,42.642,43.547,48.409,47.333,36.216,51.679,46.797,45.216
12/2021,39.717,39.311,45.834,43.446,48.152,49.710,37.849,33.198,31.784,37.843,37.331,38.686,41.659,36.355,45.072,43.949,39.770,42.475,35.945,34.522,35.002,32.651,37.032,39.315,37.630,42.368,39.372,34.988,34.722,46.075,38.222,29.729,38.032,35.376,37.070
1/2022,32.460,33.197,38.856,36.950,39.916,39.292,30.938,27.997,26.968,31.020,31.104,33.408,36.006,31.307,38.458,34.126,33.558,35.239,31.930,29.680,29.752,26.475,31.604,46.074,32.498,35.224,32.135,30.429,29.262,39.767,33.133,25.269,31.991,29.766,33.348
2/2022,27.892,29.849,31.855,31.162,51.378,41.541,25.760,24.122,22.734,27.013,26.609,33.385,30.176,34.944,42.809,29.381,30.329,34.161,33.694,26.792,24.875,24.827,26.792,39.372,27.111,36.617,28.024,29.870,24.218,30.669,28.435,22.122,32.016,29.945,27.571
3/2022,52.581,61.008,40.711,57.742,114.231,57.248,39.024,58.334,35.190,42.360,53.543,64.999,53.648,77.512,53.387,58.322,44.809,45.101,41.158,38.986,31.074,36.630,65.846,51.709,38.520,103.919,36.263,55.373,29.676,50.188,48.267,33.489,42.562,43.580,34.202
4/2022,87.659,112.740,110.026,232.904,255.904,153.383,79.602,133.218,74.353,84.041,153.981,210.560,124.613,118.477,111.300,141.956,116.853,71.049,82.315,76.838,75.580,74.187,163.516,200.513,151.716,165.033,85.540,105.966,88.577,127.354,106.779,61.454,97.097,73.727,85.739
5/2022,221.866,367.877,504.193,475.928,362.033,282.519,147.529,148.599,90.771,170.382,233.679,578.592,213.984,395.967,251.097,429.401,304.819,195.315,165.182,209.668,68.919,187.782,220.397,447.507,223.501,218.857,362.117,299.934,182.849,295.627,106.822,123.017,230.685,145.580,105.029
6/2022,202.315,484.066,503.217,300.774,242.551,141.798,122.221,80.184,66.986,170.289,122.058,444.002,125.369,480.339,128.029,364.725,207.593,205.741,76.059,109.948,28.403,169.829,83.674,298.143,110.243,110.980,383.762,151.771,191.809,361.626,23.905,77.892,191.515,136.329,64.361
7/2022,100.582,198.591,165.144,83.249,87.155,49.409,36.789,24.933,21.251,64.074,43.954,150.875,28.105,278.570,38.041,105.606,71.722,93.377,16.968,23.551,11.555,30.803,25.163,93.109,27.158,33.336,121.860,69.313,41.491,130.715,14.235,20.513,39.055,36.514,20.266
8/2022,52.090,77.606,83.796,46.722,41.451,40.705,27.889,26.606,23.629,32.669,39.468,60.944,26.188,83.037,28.044,67.224,38.064,53.314,23.524,29.279,18.417,24.024,27.944,50.226,35.459,32.688,54.333,33.688,39.993,46.847,22.525,29.909,38.438,24.794,23.762
9/2022,75.082,62.387,76.865,68.130,71.546,53.035,58.460,41.524,36.978,51.828,51.169,71.189,46.272,66.420,47.758,75.387,49.084,57.345,42.375,43.153,38.398,55.281,59.275,57.204,51.133,63.146,57.977,46.013,45.906,55.189,37.837,59.179,53.056,39.210,38.735
10/2022,75.278,71.210,98.305,124.322,111.965,60.750,61.914,55.345,55.909,58.128,59.108,88.401,59.959,84.548,68.169,106.605,62.521,60.358,55.021,54.556,56.465,58.562,75.774,85.170,110.977,86.116,67.747,59.197,59.185,68.992,49.893,83.693,76.536,51.700,67.734
11/2022,60.704,62.597,75.446,79.091,80.149,57.324,46.343,44.329,46.850,50.041,55.109,68.354,48.578,62.077,56.616,71.625,56.007,46.920,44.195,45.525,43.698,44.737,63.849,66.083,70.901,59.913,54.918,49.810,52.664,55.933,39.276,54.144,52.022,46.819,52.651
12/2022,44.831,53.079,57.330,57.742,56.335,46.033,38.351,36.102,35.233,41.064,43.459,56.117,39.300,52.393,50.328,54.522,48.171,39.281,35.490,36.797,33.867,38.003,45.186,50.783,46.593,44.632,46.418,40.350,50.173,46.056,32.610,39.909,40.089,38.526,38.705
