segdesc   = GLDA3L_F
2021-04-01
DATE,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
4/2021,474.503,238.147,167.623,267.577,492.406,563.465,345.883,444.628,532.670,560.314,309.777,482.143,319.911,514.653,296.733,402.400,396.288,271.806,372.648,430.347,454.371,449.907,369.473,663.059,389.654,540.108,393.741,216.695,408.952,400.000,410.782,465.969,323.774,340.154,297.038
5/2021,951.213,335.858,433.658,1121.936,1342.653,1079.669,968.309,672.399,588.165,684.646,424.820,1142.072,949.480,1180.267,971.567,900.000,1155.300,688.930,1273.639,988.666,1452.312,290.384,782.062,1111.769,868.139,760.172,1096.812,397.347,1172.941,465.998,774.320,825.535,923.557,542.450,797.752
6/2021,1607.028,1045.290,2448.253,2329.186,1352.825,1855.837,825.513,1232.936,544.854,1438.565,1643.601,869.593,1785.945,1142.064,2983.061,1024.765,2063.620,1215.829,2611.220,827.893,1103.875,610.927,1595.251,870.345,1478.232,714.345,951.947,1365.935,1440.578,2013.107,2332.060,378.287,1435.154,1400.000,2372.559
7/2021,500.000,655.866,1431.124,837.630,334.273,623.710,212.391,326.281,196.890,600.183,613.368,273.636,643.528,209.701,2091.917,334.712,576.833,703.525,1256.850,133.733,224.086,103.660,323.896,344.743,554.727,128.425,252.058,617.402,744.156,699.334,1344.718,77.229,341.481,305.657,790.908
8/2021,250.000,394.068,557.884,488.665,207.567,253.894,214.929,208.537,220.698,275.386,288.648,218.672,330.719,151.281,662.528,156.829,440.497,331.167,623.777,122.461,215.630,107.365,188.476,194.252,262.836,183.749,246.088,248.417,274.407,363.102,423.453,125.070,304.517,224.691,310.838
9/2021,230.000,373.088,280.327,302.772,244.991,318.375,184.835,227.613,144.554,208.082,290.243,210.833,305.279,195.356,321.886,189.705,394.067,223.348,386.909,164.944,165.151,217.701,316.626,234.365,191.210,192.785,232.724,203.672,182.070,206.731,271.773,123.300,400.026,240.458,238.440
10/2021,475.435,557.631,468.224,523.779,622.190,646.646,252.548,291.649,253.624,406.738,292.892,237.169,387.977,361.058,481.270,382.770,704.113,387.633,378.781,355.897,232.458,332.986,299.951,430.594,438.975,935.776,466.419,275.174,297.951,403.608,446.352,198.301,606.949,532.258,306.204
11/2021,463.380,445.312,446.099,445.277,512.109,615.196,445.120,306.960,263.438,470.080,394.400,303.563,403.022,402.605,448.550,408.332,476.012,494.325,372.164,337.988,313.458,324.589,331.425,583.991,425.540,500.726,427.207,319.333,374.430,425.567,452.137,250.817,515.827,410.563,373.671
12/2021,371.502,387.599,395.974,408.495,387.036,449.149,308.367,285.593,248.852,374.269,344.966,277.767,323.540,341.809,448.020,445.732,381.501,403.835,361.549,269.506,299.938,271.692,322.982,371.753,332.331,360.017,400.512,317.455,338.835,406.762,388.282,249.922,382.006,337.560,350.351
1/2022,350.248,319.713,358.339,391.686,316.755,343.899,268.383,265.500,239.208,301.368,301.911,404.109,294.007,322.464,384.393,385.544,339.794,310.835,345.535,260.459,267.857,239.218,289.744,571.867,305.848,306.279,325.209,310.064,314.027,367.191,352.964,242.751,307.643,301.154,347.578
2/2022,290.518,295.828,295.831,307.479,394.176,365.379,255.883,259.799,214.195,272.779,312.882,488.984,267.422,329.824,361.913,338.394,328.863,303.707,351.761,243.632,214.756,251.525,253.256,534.744,252.971,307.277,295.234,292.792,340.365,318.613,307.779,228.570,283.604,359.531,273.782
3/2022,529.076,629.688,361.424,586.690,1069.938,588.615,354.963,584.518,329.418,421.997,528.789,592.100,471.288,974.311,538.792,744.289,428.810,424.072,470.524,435.765,248.960,430.241,571.492,731.990,353.661,723.833,389.769,526.978,473.384,484.246,462.120,310.404,443.121,558.272,398.951
4/2022,585.002,622.685,699.377,1521.928,2065.688,912.242,627.098,1096.506,606.351,539.473,938.956,1412.525,719.812,786.483,891.001,1327.889,902.329,521.162,734.115,703.088,443.808,549.023,1317.269,1335.244,928.097,966.913,716.968,687.120,683.470,1058.869,886.150,347.310,631.438,560.983,467.342
5/2022,1841.735,1955.362,3704.874,3703.520,3217.056,2561.140,1086.220,1395.580,660.199,1178.161,1767.673,3445.639,1714.159,2219.674,2837.966,3725.431,2363.581,1753.517,1834.248,2081.614,207.340,1309.506,1635.393,2873.769,2137.798,1855.772,2121.984,2346.192,839.556,2238.892,1045.366,737.251,1758.410,1113.060,824.549
6/2022,3375.977,5724.063,6053.343,3601.352,4442.621,1811.445,1896.439,1201.982,1514.332,2729.275,1262.027,4773.341,1546.360,4998.005,2920.311,5027.743,2502.852,3369.730,1488.903,1563.809,331.006,2450.415,1052.152,3781.093,1998.799,1283.649,4048.022,2594.992,2573.564,5443.384,350.496,1112.858,3289.456,2305.359,1210.785
7/2022,2230.731,3457.671,2559.658,1103.136,1808.760,594.314,621.386,532.244,721.904,1138.524,476.983,2015.854,360.898,4230.048,1236.328,1811.897,1464.496,1936.081,344.480,367.758,79.146,642.672,477.487,1632.788,521.173,409.134,2058.797,1512.430,928.744,3921.273,119.302,301.161,1058.666,864.280,405.556
8/2022,919.264,1074.629,1003.777,487.636,592.615,406.350,310.131,388.527,310.605,462.165,339.447,783.887,221.866,1205.503,420.164,936.874,599.660,841.546,230.226,305.420,103.759,301.272,272.549,589.381,353.076,351.647,635.498,501.904,473.767,966.250,167.074,317.504,497.251,355.906,241.621
