segdesc   = GLDA3L_F
2020-08-01
 traces ->      1981      1982      1983      1984      1985      1986      1987      1988      1989      1990      1991      1992      1993      1994      1995      1996      1997      1998      1999      2000      2001      2002      2003      2004      2005      2006      2007      2008      2009      2010      2011      2012      2013      2014      2015
 8/2020      242.725   305.510   279.620   316.249   227.365   235.663   273.976   271.990   254.016   271.391   260.867   271.297   267.922   248.982   265.000   228.485   334.233   232.584   321.930   242.498   284.591   232.679   254.147   235.512   283.385   275.414   286.881   257.873   233.318   295.505   233.229   241.460   316.005   257.259   266.986
 9/2020      270.000   396.115   244.502   273.100   290.162   335.217   258.126   290.276   214.914   239.624   314.738   276.051   331.570   265.410   237.143   254.746   406.979   249.433   305.467   254.244   220.556   328.554   394.722   291.145   236.408   272.423   297.878   257.193   203.084   228.320   246.081   208.207   448.632   305.841   250.389
10/2020      449.331   550.032   390.000   450.368   587.121   572.817   294.385   320.297   305.309   393.038   296.550   276.883   369.218   391.488   349.472   410.717   629.706   383.054   298.671   411.217   258.724   407.434   323.604   443.026   441.413   932.078   481.988   295.724   286.048   388.153   371.764   267.719   579.393   538.481   287.142
11/2020      459.497   466.125   397.887   410.000   507.589   581.148   490.249   339.424   323.903   466.031   406.394   348.105   400.504   438.430   358.923   447.072   449.018   504.328   318.041   397.637   341.521   401.845   360.484   603.064   436.188   542.983   461.583   346.607   370.870   424.343   402.888   325.460   521.588   436.041   359.310
12/2020      347.686   381.046   330.000   349.600   367.058   404.102   325.677   298.122   283.027   352.549   329.888   295.800   299.400   344.511   336.910   444.678   339.668   383.796   286.689   299.717   300.749   316.739   323.729   367.157   322.031   376.273   403.032   318.312   312.828   377.404   322.293   295.501   367.101   341.431   313.425
 1/2021      343.863   331.637   311.562   353.456   313.796   324.428   294.898   285.034   277.056   297.897   298.284   417.835   280.516   334.262   298.454   398.398   313.909   310.000   283.643   295.413   277.826   289.337   299.655   565.448   305.427   335.366   344.386   320.377   301.989   352.536   304.484   291.947   309.461   320.159   320.453
 2/2021      304.444   325.918   276.460   294.253   411.131   363.326   292.983   291.991   260.730   289.261   328.960   523.281   272.841   360.859   306.633   371.800   327.149   321.383   316.124   289.796   238.627   310.000   278.282   566.105   270.571   349.939   329.395   320.499   344.954   326.209   284.492   284.755   303.188   395.223   272.128
 3/2021      557.767   681.491   346.765   584.217  1098.063   589.137   404.150   634.717   386.456   445.148   563.494   643.756   491.695  1033.623   489.318   808.007   427.033   444.198   438.769   500.000   277.545   506.121   614.867   776.262   381.387   779.272   438.452   567.487   487.770   502.022   436.232   377.277   471.379   603.031   401.859
 4/2021      597.610   679.636   674.153  1439.887  2064.405   882.859   692.046  1142.488   676.390   555.334   966.725  1476.662   736.345   834.528   788.208  1404.206   878.659   535.545   650.151   795.816   473.713   654.653  1374.638  1388.229   967.577  1027.758   770.000   728.224   710.737  1087.676   802.807   419.307   651.770   585.359   443.997
 5/2021     1749.999  1962.816  3327.127  3320.604  3097.498  2337.504  1096.003  1397.652   686.442  1123.976  1658.245  3428.906  1627.772  2267.709  2358.513  3737.011  2221.187  1627.760  1540.273  2232.855   211.904  1443.355  1636.610  2842.553  2089.178  1914.821  2140.373  2285.600   811.185  2169.727   831.839   815.579  1697.774  1078.672   710.373
 6/2021     3191.323  5448.628  5507.295  3339.372  4285.528  1703.945  1838.197  1204.042  1478.755  2587.758  1189.390  4628.869  1446.477  4960.728  2591.850  4912.897  2379.848  3073.645  1323.022  1597.516   338.028  2493.441  1040.514  3654.500  1926.454  1287.838  3953.115  2499.219  2400.001  5106.016   280.728  1130.081  3164.841  2241.044  1112.706
 7/2021     2004.772  3110.406  2259.575   969.886  1631.636   530.588   573.361   500.374   670.336  1027.924   432.571  1832.944   322.487  3885.651  1065.444  1649.795  1314.724  1722.162   287.717   358.284    86.298   617.292   446.232  1482.705   476.413   388.103  1887.088  1373.044   820.000  3505.174    92.768   296.252   959.284   791.538   359.627
 8/2021      872.480  1022.361   936.515   450.140   562.700   385.000   308.148   382.886   311.184   444.533   327.675   753.767   212.534  1158.086   375.696   899.239   564.223   797.254   197.088   310.402   108.893   309.513   268.808   565.030   343.296   350.657   615.991   484.653   450.322   915.194   147.194   322.997   476.136   349.273   227.209
 9/2021      628.226   496.794   538.030   426.779   527.064   305.201   315.455   243.767   237.956   407.183   310.362   595.288   256.983   522.230   322.458   689.895   361.256   482.335   233.986   235.021   239.395   432.737   309.864   377.578   310.454   325.000   413.867   289.012   267.189   495.599   144.155   447.762   403.216   277.219   238.887
10/2021      757.287   662.992   722.962   808.003   833.937   339.114   349.214   343.002   403.623   355.862   293.958   619.382   398.234   622.974   502.981   934.053   499.202   402.574   405.814   285.650   315.705   360.437   484.165   631.328  1067.450   534.787   452.540   375.340   440.933   633.060   204.485   587.752   667.156   314.926   441.866
11/2021      590.051   609.177   616.866   646.406   772.690   535.345   351.970   341.870   469.815   454.029   356.043   604.714   435.044   564.201   512.471   647.785   603.389   393.273   390.402   363.866   312.643   385.860   635.342   587.503   599.388   482.444   474.176   445.883   462.452   609.536   259.420   503.358   506.273   372.428   443.155
12/2021      517.814   548.326   560.462   506.524   580.763   386.048   332.304   322.962   372.715   399.748   327.406   512.535   369.705   558.220   555.357   535.893   506.819   381.621   312.289   349.004   259.717   375.278   414.407   481.460   445.224   452.815   473.667   404.839   444.588   535.819   259.088   372.336   423.422   349.981   351.580
 1/2022      439.413   494.672   537.747   421.442   458.422   336.233   304.088   304.477   299.668   348.776   448.320   464.105   345.363   482.980   473.930   480.175   400.601   363.686   298.018   311.275   228.488   336.921   604.767   441.884   381.926   369.951   447.266   374.050   400.989   487.351   241.713   300.091   378.439   344.975   331.867
