segdesc   = GRNU1L_F
2020-12-01
DATE,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
12/2020,29.637,31.112,28.038,27.962,27.962,27.962,27.962,28.554,27.963,28.013,28.000,27.964,27.962,27.962,28.048,28.687,28.209,27.962,28.434,27.971,27.962,27.962,27.992,27.997,28.192,28.339,28.726,28.010,28.142,27.962,28.027,27.962,28.088,27.987,29.095
1/2021,43.074,39.014,34.364,33.745,33.553,33.589,33.587,34.167,33.741,34.095,33.628,33.649,33.590,33.765,34.100,34.867,40.594,33.691,34.635,34.575,33.551,33.694,33.768,33.642,35.179,38.193,34.754,33.771,37.281,33.556,34.108,34.688,33.941,34.000,37.387
2/2021,42.453,43.029,34.186,33.002,32.033,75.705,34.098,32.642,32.648,32.753,36.490,32.942,32.524,32.339,46.334,48.084,38.739,32.354,35.045,41.211,32.101,32.479,42.341,32.454,35.183,36.825,38.103,32.436,38.666,31.960,35.346,35.000,33.469,40.716,48.648
3/2021,82.927,88.412,78.571,59.407,60.003,177.356,70.788,80.864,112.776,79.621,64.847,81.584,89.808,89.161,108.670,91.394,96.334,81.429,81.092,72.658,70.698,60.066,77.150,94.840,80.420,69.899,101.951,62.566,88.439,63.998,71.505,89.299,73.791,81.000,93.195
4/2021,88.989,90.701,95.720,71.051,107.019,212.739,99.275,126.773,152.385,127.608,81.411,75.536,125.641,114.427,91.051,130.458,116.465,128.208,98.814,111.434,88.242,90.590,100.636,133.460,96.778,133.268,99.404,64.037,133.422,88.883,174.515,133.806,78.846,100.000,83.984
5/2021,116.708,224.151,170.505,125.614,128.001,291.715,167.015,145.479,140.933,84.596,90.576,52.188,267.489,144.890,120.710,128.054,331.444,153.106,278.263,157.189,121.245,58.236,66.720,95.541,155.438,208.847,140.000,124.973,171.075,58.460,266.444,115.687,95.376,178.046,87.025
6/2021,203.211,420.610,489.702,282.422,91.074,678.760,135.309,184.843,222.037,226.054,344.167,6.048,447.281,154.798,499.436,433.336,676.568,320.122,549.753,235.000,98.078,175.776,208.255,199.375,309.461,261.898,40.217,300.844,498.447,212.112,509.341,145.878,93.251,433.033,192.284
7/2021,91.538,439.878,364.380,197.696,34.973,212.210,43.315,44.447,129.829,169.416,158.434,6.514,257.992,33.124,502.422,229.184,290.432,393.753,355.061,85.219,18.631,75.056,84.977,160.000,227.656,72.859,5.253,254.472,400.127,198.187,704.456,53.685,32.046,271.620,100.805
8/2021,44.745,220.200,152.849,84.672,27.132,94.896,48.071,36.045,62.202,61.998,81.966,6.968,215.645,31.732,174.642,83.256,160.040,147.771,132.266,45.033,19.406,40.121,41.367,67.000,84.168,47.055,21.835,81.696,133.509,73.348,210.970,28.620,25.887,107.389,44.687
9/2021,26.737,107.108,84.890,56.157,31.565,59.220,31.339,27.520,44.381,38.105,64.452,11.874,76.709,23.965,69.804,48.956,95.532,60.061,87.121,48.039,17.328,35.267,37.560,53.157,45.000,35.994,21.455,57.616,56.618,42.890,85.703,21.364,29.424,72.079,28.483
