segdesc   = GRNU1L_F
2018-10-01
 traces ->      1981      1982      1983      1984      1985      1986      1987      1988      1989      1990      1991      1992      1993      1994      1995      1996      1997      1998      1999      2000      2001      2002      2003      2004      2005      2006      2007      2008      2009      2010      2011      2012      2013      2014      2015
10/2018       60.379    50.049    53.327    51.027    54.782    51.483    50.284    49.093    50.023    50.296    49.926    49.874    63.591    51.093    50.670    51.000    53.965    49.731    49.799    53.107    50.151    49.529    49.373    58.904    50.548    54.381    60.351    51.588    53.378    53.458    65.711    50.948    50.097    50.456    53.843
11/2018       60.688    47.118    55.084    47.564    57.765    50.488    48.737    47.117    47.550    54.206    55.392    48.569    55.017    50.573    50.598    56.513    50.816    48.213    46.895    51.000    55.870    47.197    47.937    78.647    48.490    52.553    58.184    53.254    51.232    51.900    55.983    54.992    48.435    48.514    52.209
12/2018       42.631    33.946    36.659    33.867    36.204    35.607    35.203    33.986    34.209    36.715    37.909    34.284    36.024    34.938    41.187    42.699    34.869    36.118    33.870    34.693    36.374    33.902    33.915    41.610    35.342    36.872    37.012    36.099    35.059    35.347    36.384    37.008    34.332    36.000    38.175
 1/2019       56.059    44.383    45.604    42.163    45.000    43.686    42.888    42.248    42.792    45.137    45.669    42.972    44.888    45.198    47.057    75.127    43.086    44.259    42.339    43.082    43.788    42.588    42.690    53.256    49.664    48.167    45.353    46.319    45.774    45.047    49.995    44.997    44.338    48.716    57.757
 2/2019       55.805    44.700    43.236    40.674   110.660    43.999    40.919    42.363    41.674    48.686    47.235    42.006    42.472    58.349    59.355    56.679    41.269    43.715    47.768    41.094    41.115    52.796    42.157    49.656    45.720    50.168    41.115    47.025    40.439    45.000    46.726    42.518    51.054    59.084    52.571
 3/2019      106.324    99.803    73.830    74.572   243.638    80.796    95.000   132.514    90.086    76.385   139.386   118.840   123.302   125.581   104.075   127.676    96.298    92.467    79.210    84.908    72.804    86.817   120.049   109.352    79.516   120.709    69.658    97.936    71.250    82.353   111.301    84.178    91.440   108.209    93.335
 4/2019      115.906   123.457   132.233   137.584   360.188   124.422   134.284   186.223   141.226    96.406   125.000   186.816   137.952   105.136   154.449   147.518   160.475   107.952   113.024   117.933   104.778   109.257   174.945   145.484   145.193   114.660    69.605   136.085    90.250   227.020   170.402    84.970   108.519    98.834    95.090
 5/2019      330.538   259.187   262.026   205.590   477.914   253.326   144.514   202.440    99.338   124.822   144.418   340.884   175.000   151.563   175.757   447.296   196.902   292.874   148.414   169.700    77.599    77.141   133.331   257.822   243.123   195.937   133.215   173.604    60.020   354.738   174.548   115.789   192.160   117.297   135.444
 6/2019      611.408   677.567   455.386   215.410  1086.161   218.287   172.679   325.813   278.177   460.527    68.028   534.482   182.898   600.512   615.311   860.873   379.704   628.993   225.357   166.697   242.094   253.803   275.002   450.540   320.673    89.750   315.000   525.258   225.477   649.924   208.746   144.791   474.743   280.815   237.476
 7/2019      594.907   467.081   304.365    87.364   353.823    80.202    38.853   178.689   200.000   226.818    43.800   290.593    39.182   600.984   325.100   361.186   444.982   402.140    74.494    49.173   111.162   106.652   205.247   319.596    89.082    18.032   258.555   410.145   198.827   861.431    86.666    56.761   290.936   141.227    97.426
 8/2019      254.762   172.833   111.030    47.725   129.390    61.721    33.572    76.000    66.813   101.680    29.173   216.955    34.168   192.087   103.313   177.470   150.042   138.163    41.080    31.070    48.358    45.950    80.560   102.737    51.846    35.796    78.556   130.439    67.871   232.846    39.899    34.055   107.757    55.100    44.002
 9/2019      117.072    91.356    68.427    44.950    74.377    37.430    26.336    51.000    40.226    70.755    26.614    79.118    25.314    73.299    56.942   102.238    61.165    87.957    44.505    24.236    39.601    39.749    59.065    53.459    38.483    27.893    55.455    55.243    41.049    91.396    26.792    33.606    71.419    35.434    26.777
10/2019      179.614    96.689    83.078    55.769    89.807    34.695    30.469    52.776    56.459    51.332    28.127    71.970    57.315    69.847    59.770   101.218    67.157    64.962    46.236    30.166    45.625    35.384    61.971    56.528    63.776    60.517    51.355    62.216    38.415    89.003    33.495    58.552   130.304    42.114    43.344
11/2019       91.364    81.673    61.222    57.710    80.499    39.014    38.801    50.672    53.386    60.683    34.724    64.782    48.656    66.409    65.688    74.917    60.495    61.401    43.716    43.221    41.521    40.104    85.931    56.201    53.969    49.616    55.628    63.495    45.359    79.113    46.163    44.933    74.079    44.272    52.757
12/2019       72.750    65.983    51.452    42.219    66.779    36.117    34.213    44.836    41.394    51.493    30.268    55.200    37.588    65.435    63.627    62.309    54.115    55.169    35.140    34.998    34.727    34.929    51.625    50.619    46.006    35.802    46.357    51.995    39.636    67.857    38.773    34.952    58.020    40.981    45.462
 1/2020       66.445    58.046    45.733    34.337    57.561    31.798    28.968    40.544    35.315    44.849    27.607    49.920    34.911    55.308    77.197    54.993    47.705    49.933    31.082    29.808    31.153    31.712    44.367    51.195    42.915    30.125    42.561    45.638    36.491    62.845    32.874    31.491    53.986    46.618    41.093
 2/2020       66.034    55.521    45.410   109.103    58.323    33.499    32.741    39.118    42.952    46.331    30.676    49.217    55.452    69.257    61.746    53.023    48.837    56.490    32.785    31.569    44.483    34.662    45.061    49.480    47.855    30.864    44.983    44.510    37.638    61.791    34.725    43.378    65.943    46.131    45.582
 3/2020      119.792    78.943    71.978   208.177    87.071    76.215   107.049    77.814    61.590   122.494    93.054   111.812   113.487   102.329   115.687   103.013    87.245    79.918    67.187    55.440    69.465   101.105    90.964    76.290   104.478    52.010    82.865    68.843    65.386   117.943    66.254    72.673   109.518    75.453    84.404
 4/2020      174.455   148.009   143.819   339.475   154.850   120.631   158.448   135.306    85.989   121.029   162.150   143.721    98.146   159.199   139.816   166.928   117.678   116.767   101.838    88.352    96.623   155.696   129.736   142.307   103.023    56.073   124.470    90.324   201.756   198.749    70.213    97.507   109.359    86.111    96.968
 5/2020      408.300   374.498   350.624   525.852   394.563   162.140   172.037   111.999   138.315   204.529   320.752   252.002   165.438   251.415   475.997   270.937   359.176   203.761   172.084    67.159    93.199   134.874   275.922   311.842   219.986   141.031   200.407    69.340   352.476   241.332    96.407   223.884   240.853   146.047   297.042
 6/2020     1018.737   579.738   283.911  1113.966   279.303   174.823   281.724   313.128   484.500    84.292   495.507   206.386   615.513   709.459   875.259   488.654   770.439   257.604   165.355   210.648   274.315   267.245   478.827   339.819    85.591   342.279   561.595   301.401   686.194   231.712   113.642   517.046   364.512   220.554   579.466
 7/2020      580.635   308.067   105.982   359.457   104.608    31.938   164.723   192.719   212.951    45.796   279.126    42.172   592.366   327.014   359.182   454.937   405.650    78.407    44.576    89.977   108.826   192.291   323.848    88.072    15.133   246.164   412.045   220.194   820.617    88.293    44.514   306.821   161.565    87.193   562.804
 8/2020      205.463   112.383    54.106   129.104    73.786    29.556    69.494    64.145    93.367    29.051   209.193    37.512   185.937   103.997   175.093   146.539   137.445    44.086    26.937    38.833    44.236    75.827   101.397    52.177    32.466    73.516   128.535    71.540   217.582    45.802    26.647   111.624    60.988    38.701   242.093
 9/2020      113.484    79.067    53.042    79.627    48.453    25.469    50.370    44.303    73.386    29.707    81.897    31.384    76.695    63.471   109.818    68.581    97.564    52.244    22.785    36.737    41.255    59.845    56.658    42.547    29.613    57.697    58.554    45.708    94.402    34.782    30.667    77.425    42.977    25.943   121.621
10/2020      109.628    86.688    59.794    89.392    42.623    27.868    48.808    54.680    49.213    28.368    68.962    60.144    68.705    61.795   100.795    70.212    65.906    52.016    27.216    41.408    33.560    60.929    55.669    64.839    58.907    48.672    61.177    39.867    87.233    39.404    53.578   130.353    46.902    41.296   175.000
11/2020       90.702    64.493    60.919    79.028    47.184    36.639    47.415    52.843    58.877    35.086    62.324    49.691    65.801    67.868    74.520    62.758    62.797    46.447    40.385    37.647    38.449    81.083    55.293    54.273    47.118    53.418    62.681    46.381    76.721    52.942    40.821    72.904    50.138    49.698    88.590
12/2020       72.894    54.639    44.741    65.576    43.680    31.610    41.693    41.990    49.415    30.397    52.846    38.875    64.789    64.030    61.779    56.253    56.392    37.416    32.244    31.242    33.278    48.062    49.593    46.389    33.939    44.115    51.101    40.350    66.010    43.261    31.116    57.398    47.039    42.934    70.394
 1/2021       64.548    48.736    39.265    56.762    36.169    27.016    37.447    34.754    43.072    27.776    47.860    36.139    54.716    78.219    54.549    49.666    51.139    33.242    27.384    28.264    30.292    42.472    50.279    43.163    28.636    40.857    44.879    37.240    61.383    36.054    28.085    53.668    49.541    38.520    64.222
