segdesc   = LEMC2H_F
2020-11-01
 traces ->      1981      1982      1983      1984      1985      1986      1987      1988      1989      1990      1991      1992      1993      1994      1995      1996      1997      1998      1999      2000      2001      2002      2003      2004      2005      2006      2007      2008      2009      2010      2011      2012      2013      2014      2015
11/2020        0.431     0.431     0.500     0.431     0.431     0.445     0.908     0.908     0.431     0.431     0.821     0.432     0.431     0.431     0.684     0.431     0.473     0.431     0.440     0.431     0.481     0.431     0.435     1.046     0.459     0.431     0.431     0.431     0.431     0.431     0.431     0.542     0.431     0.431     0.601
12/2020        0.423     0.378     0.407     0.378     0.378     0.391     0.498     0.527     0.390     0.378     0.509     0.378     0.378     0.378     0.452     0.378     0.444     0.378     0.538     0.378     0.395     0.378     0.384     0.576     0.433     0.378     0.387     0.484     0.378     0.378     0.389     0.415     0.378     0.379     0.425
 1/2021        0.382     0.319     0.331     0.319     0.326     0.380     0.377     0.387     0.328     0.319     0.374     0.319     0.319     0.320     0.354     0.325     0.368     0.319     0.408     0.333     0.327     0.319     0.330     0.406     0.588     0.329     0.337     0.354     0.320     0.319     0.334     0.356     0.328     0.335     0.365
 2/2021        0.342     0.246     0.257     0.246     0.268     0.489     0.389     0.290     0.255     0.248     0.332     0.277     0.246     0.254     0.382     0.490     0.278     0.246     0.385     0.321     0.254     0.253     0.333     0.300     0.481     0.269     0.335     0.261     0.287     0.246     0.266     0.266     0.275     0.361     0.533
 3/2021        0.591     0.424     0.505     0.443     0.926     1.613     0.544     0.643     1.565     0.790     0.395     0.637     0.626     1.046     1.452     0.781     1.384     0.642     0.755     0.568     0.715     0.437     0.701     2.138     0.794     0.509     1.220     0.426     1.142     0.287     0.784     0.947     0.557     0.688     1.123
 4/2021        2.432     1.467     0.878     1.944     5.254     5.887     4.139     2.280     6.988     3.461     1.574     5.168     3.854     3.383     3.196     1.841     3.602     1.880     1.416     3.420     4.226     1.476     1.782     7.583     5.134     2.217     2.182     2.399     2.151     2.319     2.327     3.161     1.824     1.889     1.463
 5/2021        6.101     9.695     9.763    19.774    19.747    16.797    18.349     5.650    12.105     9.745     6.352    17.509    21.526    14.224    11.555     8.334    17.412    11.299     8.255     9.844    22.168     2.131     7.865    19.335    24.506     6.909     9.461    14.422    15.988     7.315     7.437     6.790     7.211     7.039     5.275
 6/2021        9.758    18.151    29.836    24.713    33.678    28.799    23.485    12.327     9.938    15.779    15.504    12.572    27.822    13.709    29.408     3.420    24.360    13.293    15.125     5.018     9.045     0.676     5.781    11.481    27.519     3.068     7.203    27.740     8.352    12.661    16.216     2.604     5.469    10.625    14.735
 7/2021        4.606     6.850    15.874     6.755     6.861    10.853     5.152     4.538     3.156     7.897     6.101     4.845     6.945     3.145    17.479     1.338     5.335     5.309     9.171     1.561     2.653     0.401     1.720     2.972     7.556     2.566     2.424     7.564     2.376     2.927     4.083     1.402     1.604     2.575     4.656
 8/2021        2.827     6.351     6.726     5.730     2.738     4.729     3.625     8.357     4.188     6.098     3.560     3.920     3.502     2.982     5.743     1.337     4.497     2.646    11.084     1.488     4.440     0.332     1.511     1.644     3.802     2.627     4.672     3.010     1.322     2.948     2.036     0.781     1.954     2.454     1.907
 9/2021        1.336     6.543     2.294     3.961     3.552     4.485     2.203     5.969     1.582     4.016     7.663     2.975     3.371     3.044     3.059     1.831     6.793     2.205     5.956     1.125     1.653     1.428     3.147     1.585     4.186     2.836     2.292     3.309     1.422     1.725     1.547     0.577     5.602     2.354     1.603
10/2021        3.994     3.884     3.353     3.115     3.751     5.054     1.669     4.033     1.966     4.127     2.196     1.576     1.836     1.547     1.951     2.014     5.392     1.518     1.986     1.200     1.178     0.926     1.193     2.339     5.499     7.249     1.425     2.142     1.349     2.210     2.781     0.493     2.508     3.195     0.948
