segdesc   = MPSC2L_F
2021-04-01
DATE,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
4/2021,86.185,44.997,37.989,40.516,68.459,65.501,66.897,66.601,95.246,90.841,51.647,86.275,57.754,74.051,47.357,61.580,54.489,47.188,47.348,74.250,69.255,71.850,58.997,90.567,64.000,78.505,70.047,40.949,63.410,64.825,60.908,86.721,56.668,53.965,60.181
5/2021,158.079,102.340,106.676,204.097,205.418,158.745,147.294,131.655,138.944,151.822,105.050,185.968,147.726,169.514,135.264,163.730,154.094,121.149,183.025,169.212,221.484,95.717,131.137,179.711,155.263,130.960,173.336,107.350,192.455,95.760,118.141,159.172,150.000,126.311,142.439
6/2021,198.693,174.154,281.174,295.923,216.951,241.208,147.798,172.348,113.740,246.481,204.550,156.062,215.660,200.080,331.701,143.751,279.297,150.341,328.190,124.568,177.141,107.194,199.213,159.934,165.491,132.247,179.764,203.336,200.000,222.224,271.577,81.368,221.990,202.035,347.497
7/2021,75.332,88.557,169.235,139.732,64.529,99.597,51.840,64.910,42.601,104.300,97.027,59.390,92.634,59.891,308.914,56.048,97.213,74.184,200.572,39.796,52.350,33.574,56.787,57.166,64.321,49.196,65.451,83.980,91.693,66.000,125.389,31.053,73.533,61.356,121.009
8/2021,45.352,69.779,79.335,80.439,41.925,50.094,40.146,43.833,45.112,54.405,51.892,55.690,45.936,40.657,102.780,34.421,58.701,42.079,93.449,39.415,47.869,27.657,41.057,38.671,44.921,47.501,50.736,44.528,46.000,46.281,52.470,30.808,53.796,44.241,54.109
9/2021,26.632,51.016,31.112,37.454,35.965,41.447,25.731,31.932,23.885,31.422,25.286,34.170,33.554,28.224,40.997,22.469,35.813,22.187,38.538,24.365,24.977,20.861,45.200,29.000,24.188,27.174,34.994,23.234,25.506,22.885,26.205,20.001,52.615,32.404,30.689
10/2021,33.123,40.409,33.364,41.739,73.597,59.996,25.410,30.621,28.882,56.885,27.153,29.258,36.677,31.550,49.734,36.151,50.109,34.340,38.665,26.337,27.950,34.485,36.396,34.261,44.700,57.583,41.176,26.829,32.500,29.203,33.123,23.132,59.277,52.712,32.535
11/2021,30.131,27.555,28.550,33.701,41.610,40.874,24.623,23.594,22.986,47.366,25.197,24.532,28.265,28.856,37.012,27.048,34.675,28.809,30.884,22.930,27.620,21.993,25.609,29.779,33.834,37.964,31.165,23.696,30.578,28.906,27.701,19.536,35.904,32.156,30.174
12/2021,24.763,24.085,27.196,28.886,28.749,30.475,21.817,21.539,20.645,34.080,22.993,22.631,24.270,24.402,34.090,23.466,27.833,26.626,28.520,20.422,23.782,18.799,23.739,24.317,25.102,26.717,24.341,21.348,25.062,24.472,24.525,18.177,28.408,24.739,28.344
1/2022,21.513,21.586,26.509,25.860,24.664,25.268,19.285,19.315,18.506,27.280,20.056,20.602,21.676,21.678,29.680,19.910,24.924,22.685,27.583,18.259,21.032,16.877,21.040,24.953,21.658,23.986,21.043,19.251,21.920,21.732,22.295,16.344,24.939,21.729,26.252
2/2022,17.874,18.302,20.278,21.726,34.704,23.782,15.876,15.893,15.861,23.442,17.287,18.985,17.753,22.253,26.809,16.305,21.828,22.487,27.478,18.365,17.243,19.422,17.417,21.341,17.567,22.380,17.180,16.784,17.917,17.798,18.549,13.539,23.218,21.894,21.739
