segdesc   = MPSC2L_F
2019-06-04
 traces ->      1981      1982      1983      1984      1985      1986      1987      1988      1989      1990      1991      1992      1993      1994      1995      1996      1997      1998      1999      2000      2001      2002      2003      2004      2005      2006      2007      2008      2009      2010      2011      2012      2013      2014      2015
 6/2019      517.659   471.963   524.357   620.044   525.000   558.778   561.267   557.745   517.524   525.209   533.118   502.581   531.235   544.590   494.863   546.657   578.551   476.286   505.155   498.132   527.219   542.967   557.658   503.903   553.073   512.772   544.745   512.772   513.316   521.272   487.927   544.081   524.727   490.892   615.003
 7/2019      275.556   239.000   259.434   303.473   222.633   265.663   217.810   235.948   228.710   259.660   271.239   258.651   231.506   199.335   316.534   260.175   232.824   275.613   275.431   247.181   237.608   216.207   199.718   241.903   216.305   288.673   211.904   203.460   264.206   223.643   250.011   216.579   221.025   227.990   249.787
 8/2019       86.972   115.393    98.270   113.850    78.996    85.972    84.025    84.023    95.106    82.903    92.540   112.614    74.389    70.116    93.472    77.463    91.684    88.938   104.511    90.950    92.757    72.330    76.491    83.093    82.947   107.089    87.765    76.154    79.901    89.976    77.763    79.792    89.737    86.000    77.830
 9/2019       54.216    91.032    51.641    63.637    66.129    73.918    55.028    63.668    55.000    55.529    52.077    68.500    61.282    53.482    54.948    50.701    63.260    50.277    57.277    54.920    51.303    52.790    84.847    59.041    50.849    61.319    65.573    47.629    48.964    49.126    47.361    50.583    90.413    64.189    52.757
10/2019       47.861    55.835    42.136    52.160    91.735    75.089    41.356    46.127    46.335    69.018    41.272    44.506    49.758    43.962    52.032    54.250    63.504    51.478    44.345    43.181    41.287    56.889    52.460    49.000    61.762    82.377    56.021    40.496    44.586    43.950    43.664    41.437    75.165    72.850    42.244
11/2019       44.376    41.057    37.469    44.144    55.634    54.699    39.825    37.784    38.656    59.831    38.945    38.546    40.614    41.000    40.896    42.777    46.236    44.065    37.266    38.340    40.550    40.226    39.437    43.312    48.758    57.225    45.396    36.694    42.322    43.279    38.008    36.233    49.715    47.494    39.931
12/2019       38.226    37.000    36.385    38.782    40.341    42.832    36.401    35.355    35.715    44.776    36.286    36.174    35.947    35.981    38.158    38.374    38.396    41.401    35.001    35.157    36.112    35.883    37.172    36.940    38.671    42.672    37.171    34.100    36.144    38.015    34.769    34.347    40.070    38.094    38.204
 1/2020       33.216    33.000    34.767    34.531    34.549    35.854    32.158    31.544    31.845    36.160    31.737    32.592    31.997    31.866    33.220    32.884    34.148    35.449    33.344    31.313    31.860    31.965    32.884    36.360    33.492    37.899    32.205    30.590    31.666    33.570    31.383    30.690    35.174    33.474    34.734
 2/2020       28.465    29.000    27.974    30.175    48.133    34.165    27.433    27.043    27.981    32.159    28.035    30.232    27.292    32.524    31.605    27.957    30.703    34.765    34.008    30.618    27.130    33.604    28.332    31.978    28.292    35.593    27.321    27.531    27.049    28.554    27.102    26.288    33.340    33.308    30.344
 3/2020       40.000    42.000    27.023    44.601    84.215    38.025    36.660    59.822    39.438    41.386    40.344    48.172    46.962    63.636    41.728    51.190    45.950    45.531    37.167    42.397    30.844    44.858    64.715    34.846    36.077    81.651    26.828    50.298    30.360    44.243    48.276    34.384    34.568    56.184    31.133
 4/2020       65.644    51.564    57.804   109.996   146.294   118.536    81.643   140.955    80.523    74.523    97.495   125.832    92.556    80.527    99.058   104.100    72.933    61.245    94.142    84.723    71.152    80.320   126.292    86.000   108.747   121.034    75.501    88.465    74.270    94.564    98.758    64.611    78.237    95.766    66.543
