segdesc   = NAVC2H_F
2020-01-31
 traces ->      1981      1982      1983      1984      1985      1986      1987      1988      1989      1990      1991      1992      1993      1994      1995      1996      1997      1998      1999      2000      2001      2002      2003      2004      2005      2006      2007      2008      2009      2010      2011      2012      2013      2014      2015
 2/2020        1.953     1.483     1.534     1.514     1.639     1.958     1.933     1.517     1.542     1.556     1.791     1.541     1.554     1.515     2.306     2.373     1.686     1.498     1.878     2.032     1.720     1.602     1.773     1.616     1.651     1.752     1.841     1.477     1.844     1.459     1.715     1.495     1.571     1.927     2.321
 3/2020        3.070     2.645     2.710     2.836     3.918     4.715     3.139     2.873     4.917     4.017     2.156     3.124     3.672     4.646     6.418     3.658     4.208     3.386     3.774     3.764     3.773     3.056     3.461     5.184     2.967     3.988     5.192     2.950     4.443     2.670     4.360     4.172     3.507     3.848     5.367
 4/2020        7.753     6.935     4.855     4.731    12.335    12.258     9.099     5.774     8.674    10.897     5.567     8.573     7.531    10.708     8.261     6.773     5.235     6.213     6.351     9.644    11.163     6.706     5.885     7.265     7.111    10.708     6.973     5.547     6.843     6.833     7.414     8.728     5.278     5.620     5.936
 5/2020       15.907    16.429    14.526    17.756    27.108    21.885    17.369    10.180    12.121    19.201    13.720    20.619    22.266    25.877    18.999    20.316    16.594    18.092    19.336    20.713    29.773     9.623    16.907    17.588    26.753    20.744    15.052    12.933    18.104    11.786    13.203    14.524    11.315    13.047    16.708
 6/2020       15.878    21.746    25.136    16.735    28.352    26.448    15.919    15.530     9.272    24.335    21.541    14.426    21.127    22.843    30.031    10.487    15.308    16.075    19.622    11.571    14.668     5.455    12.525     9.914    21.081    11.912    10.772    15.089    11.425    14.058    18.820     6.079    10.058    13.909    27.061
 7/2020        6.929    12.088    14.095     5.722     9.524    11.163     4.640     5.048     3.372     8.880     9.204     4.609     5.944     4.802    18.782     4.160     5.240     7.425     8.281     2.926     3.690     2.062     3.186     2.992     6.329     4.553     3.458     4.141     3.783     3.692     5.451     2.525     4.142     3.628     7.779
 8/2020        4.114     8.464     4.688     6.555     6.472     5.141     4.091     3.820     2.642     6.017     5.807     6.036     8.569     4.068     6.968     2.755     6.093     3.136     7.856     2.222     3.463     1.718     2.538     2.252     3.966     4.917     2.688     2.520     2.161     3.071     3.637     1.926     3.170     2.290     3.011
 9/2020        4.315     8.129     2.636     3.818     6.682     7.807     2.519     3.132     2.554     3.885     3.947     4.186     7.256     5.690     5.086     2.904     6.097     2.342     3.899     2.042     2.310     1.588     4.255     3.019     2.734     4.860     3.459     2.627     2.831     2.955     3.338     2.291     5.439     1.837     2.570
10/2020        4.999     3.661     3.088     3.940     7.514     9.355     2.107     2.183     3.291     4.885     2.239     2.279     2.888     3.041     3.531     2.751     5.591     2.834     2.462     3.131     2.145     2.172     2.242     2.962     4.211     8.225     3.647     2.336     2.416     2.109     4.985     1.788     3.739     2.655     2.245
11/2020        2.816     2.774     2.110     2.580     3.357     4.176     2.511     1.668     1.843     3.583     2.073     2.043     2.199     2.916     2.359     2.462     2.680     3.234     1.974     2.255     2.053     1.838     2.162     2.528     2.506     3.202     1.800     1.998     2.142     1.902     2.480     1.586     2.139     1.802     2.514
