segdesc   = NVRN5L_F
2018-10-31
 traces ->      1981      1982      1983      1984      1985      1986      1987      1988      1989      1990      1991      1992      1993      1994      1995      1996      1997      1998      1999      2000      2001      2002      2003      2004      2005      2006      2007      2008      2009      2010      2011      2012      2013      2014      2015
11/2018       13.074    13.693    16.060    15.623    13.295    16.475    13.650    15.329    15.515    12.449    14.460    18.363    12.723    15.899    19.201    13.015    15.500    13.737    19.128    13.048    14.001    12.744    19.694    14.257    13.168    12.602    12.656    12.915    13.993    13.191    12.423    16.170    13.897    16.352    12.804
12/2018       11.769     8.607    12.143    10.458    14.763    12.187    11.145    10.637    10.602     8.374     9.347    10.541     9.209    10.548    14.015     9.041    14.518    10.172    14.964     8.551     9.092     9.250    10.542    12.625    10.972     8.989     8.980    32.367    10.489     8.479    15.366    10.355     9.727    11.025     9.908
 1/2019        9.576     8.520    11.072     7.908    14.548    11.428     9.540     7.819     9.306     8.179     7.492     8.229    13.478     8.979    10.926     8.426    12.559     9.880    10.275    10.372     9.368     8.116     8.963    10.845    30.176     8.436     9.238    19.969    10.848     8.898    10.547    11.106    14.516     8.810    11.032
 2/2019        8.665    10.307    12.697    10.753    11.848    24.299    15.435    10.359    14.539     8.651    13.880    14.899    18.084    13.697    23.172    15.740    14.713    11.295    11.673    10.569    13.527     7.996    11.957    13.017    58.014     7.813    17.037    14.432    19.140     8.249    13.993    12.833    13.969    12.987    19.970
 3/2019       19.421    54.374    37.260    41.239    64.257    45.188    30.037    31.732    56.855    26.129    32.355    41.790    96.609    35.998   111.391    22.680    77.313    27.879    18.469    24.992    43.720    15.438    33.167    53.927    85.822    20.366    44.429    88.193    43.210    38.025    34.866    31.389    30.871    26.650    36.970
 4/2019       37.830    77.052    74.298    81.350   137.938   162.175    71.990    49.072   130.326    74.324    47.886   107.608   177.745    85.507   104.634    40.610   111.354    49.334    51.867    62.778   110.971    31.538    37.811   103.731   151.157    68.411    63.479   221.346    74.134   151.849    76.830    66.366    48.650    43.847    29.649
 5/2019       86.144   167.758   148.085   230.771   266.293   191.272   157.707    83.781   158.925   129.410   111.782   172.452   275.064   178.635   189.309   109.885   216.394   131.373   150.483   106.471   255.502    44.609    93.328   158.339   317.905   129.792   153.559   244.135   236.604   138.827   109.853   105.082    89.492    94.263    93.557
 6/2019       85.207   192.776   238.524   230.857   290.470   265.186   135.029   129.513   124.229   139.726   199.485   107.023   255.943   153.154   267.477    55.982   219.556   129.676   160.304    50.510   117.058    24.567    68.930    86.409   251.022    65.475   104.925   270.920   140.002   172.293   175.145    44.716    86.672   111.553   148.533
 7/2019       40.568    89.800   134.751    74.313    79.525   101.325    35.804    39.268    35.538    55.780    78.176    41.144    73.207    33.296   172.152    26.879    56.635    57.384    77.060    16.354    31.443    12.499    18.920    27.159    74.451    37.443    28.861    76.568    39.319    44.258    49.640    25.454    30.716    27.470    38.234
 8/2019       26.201    55.252    49.151    59.435    42.808    31.101    29.545    41.826    31.854    34.195    43.253    50.574    75.200    28.304    64.494    16.489    53.946    31.822    79.947    16.028    37.923    10.713    17.388    18.352    34.598    44.065    31.941    41.023    19.054    38.743    26.492    13.688    28.904    19.590    20.511
 9/2019       22.513    64.379    21.105    39.486    64.917    42.194    17.583    27.677    26.189    28.343    47.574    37.231    70.118    40.385    37.208    22.818    68.216    18.313    53.484    13.128    18.047    16.951    36.509    35.698    28.901    35.435    27.925    37.250    18.693    37.489    21.850    14.503    62.010    17.132    17.961
10/2019       51.932    35.938    39.979    57.996    89.549    63.613    14.649    23.682    32.359    38.773    18.086    17.788    28.448    26.261    30.151    21.752    62.080    35.571    19.808    24.505    15.240    17.451    15.555    35.555    57.383    88.165    31.620    26.666    19.800    27.017    47.624    10.454    37.000    29.055    14.171
11/2019       22.022    24.631    19.520    28.030    36.612    45.636    28.239    16.443    15.030    27.330    25.246    16.360    22.124    30.020    18.037    18.856    28.856    43.639    12.139    17.856    13.220    18.833    16.638    29.439    25.027    29.812    12.142    22.724    15.460    17.324    21.807     9.454    20.684    13.161    13.974
