segdesc   = NVRN5L_F
2021-01-01
DATE,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
1/2021,12.124,10.786,11.667,10.187,10.816,11.710,11.594,10.186,11.194,11.580,10.041,10.392,13.353,11.134,11.189,12.752,11.194,10.818,12.140,15.836,11.505,10.425,11.573,11.237,18.957,11.500,10.903,10.436,12.809,11.530,10.217,12.122,16.410,10.459,13.988
2/2021,11.913,11.794,12.662,9.937,11.881,21.561,18.893,11.534,14.303,11.909,13.420,12.097,18.264,14.163,22.032,22.166,14.107,11.915,14.311,16.207,14.843,9.267,13.677,13.600,45.266,11.315,18.231,11.485,15.350,9.813,11.316,14.000,14.992,14.062,24.184
3/2021,27.285,59.029,34.052,23.437,55.108,41.133,38.731,32.380,52.832,43.329,26.954,31.115,80.740,40.493,95.396,31.646,65.462,33.476,23.621,36.126,51.273,17.756,37.000,58.135,86.769,29.707,54.006,41.942,31.542,36.446,29.055,37.231,33.451,29.552,48.842
4/2021,62.037,82.000,55.995,44.228,129.214,125.772,107.027,56.240,122.404,141.992,46.649,82.307,157.386,97.648,114.750,68.922,110.171,63.192,60.133,119.640,145.879,45.365,51.682,127.222,175.970,106.942,77.382,105.360,55.959,119.555,57.783,80.245,60.234,44.607,47.046
5/2021,125.421,178.649,111.389,156.157,238.426,165.154,221.376,91.437,144.156,203.519,101.017,167.852,288.520,206.378,195.087,181.137,214.142,147.318,172.000,209.101,341.049,60.223,128.819,181.311,374.557,199.331,182.368,177.241,173.543,127.071,89.777,117.102,103.015,96.141,121.697
6/2021,146.744,249.447,240.653,173.288,301.778,240.412,225.871,160.000,107.908,303.535,215.003,101.467,320.123,190.291,347.177,98.438,255.538,159.192,234.524,123.211,158.031,44.822,101.291,87.200,317.749,105.079,122.802,245.742,97.589,187.197,151.866,54.146,106.746,125.174,227.826
7/2021,43.522,90.063,97.759,27.617,50.634,70.148,36.329,32.468,26.765,83.313,56.680,36.000,62.006,15.644,186.748,28.706,40.362,47.834,93.855,3.951,14.948,16.682,21.475,6.038,65.641,37.658,24.682,42.250,29.007,32.138,28.756,27.333,34.217,20.201,39.374
8/2021,29.141,57.527,32.000,48.800,23.992,16.646,22.872,49.068,32.948,40.654,42.015,50.133,63.825,27.550,56.539,22.055,43.691,34.370,104.058,8.053,33.771,13.966,21.054,19.831,26.695,50.368,38.191,18.044,18.153,37.891,25.219,16.375,32.158,21.356,12.384
9/2021,27.120,76.635,13.966,37.782,58.096,42.073,10.884,31.306,27.257,32.000,60.506,35.899,66.719,43.703,30.265,28.018,76.322,21.423,67.535,18.238,12.683,21.512,42.530,39.198,24.109,41.901,33.601,33.303,18.778,37.529,22.065,17.107,79.744,21.996,21.725
10/2021,64.628,44.061,41.888,54.966,91.852,71.704,14.158,28.951,32.979,52.122,20.238,18.332,27.956,28.900,29.996,27.580,70.138,40.931,22.460,32.087,18.427,21.196,19.320,38.773,68.938,122.639,35.337,25.165,20.210,28.544,47.240,12.517,43.477,35.563,17.642
11/2021,31.046,35.429,23.495,30.213,44.334,58.720,39.918,24.252,18.679,42.501,31.576,19.490,28.603,37.993,24.048,27.463,36.581,52.701,19.744,27.511,18.874,22.425,21.994,35.759,36.077,44.985,18.020,25.447,16.749,21.553,25.138,12.454,28.659,20.266,19.740
12/2021,18.092,26.968,19.379,31.613,27.794,31.524,22.010,17.915,15.309,25.590,20.236,16.223,24.803,25.350,21.710,25.964,24.830,33.964,18.282,18.256,18.641,12.236,20.403,21.659,25.239,24.144,41.352,21.047,12.653,24.441,17.533,11.441,20.099,16.651,19.749
1/2022,15.366,23.731,15.942,31.423,25.379,23.037,16.588,15.504,14.129,19.019,15.937,20.054,21.670,19.685,20.124,20.761,22.490,20.525,19.500,16.911,16.797,10.326,16.455,48.768,22.242,20.228,27.732,19.745,12.248,18.132,17.767,16.154,16.545,16.573,16.575
2/2022,15.996,25.420,17.998,29.810,51.527,37.922,17.996,19.177,13.539,25.604,24.372,24.962,26.204,43.596,29.160,22.862,23.091,24.705,18.664,19.885,15.099,13.547,18.455,79.228,19.388,37.989,20.567,27.724,10.844,21.522,19.535,16.093,22.745,27.380,13.753
3/2022,74.108,71.693,63.602,161.031,127.016,104.304,50.149,82.183,36.928,64.488,78.517,139.788,67.662,201.885,39.372,143.859,63.355,48.842,39.208,68.705,24.310,39.416,90.780,133.579,39.132,127.466,96.556,62.442,44.443,50.758,56.692,31.952,55.511,56.972,28.362
4/2022,114.724,130.118,120.566,264.045,294.725,218.640,86.231,200.076,108.907,122.159,209.736,258.690,164.102,172.141,72.590,193.880,123.964,101.854,110.810,177.692,43.100,54.275,189.149,249.623,134.774,135.301,255.384,105.141,169.127,112.931,131.212,45.964,102.147,52.833,62.600
