segdesc   = NVRN5L_F
2018-04-30
 traces ->      1981      1982      1983      1984      1985      1986      1987      1988      1989      1990      1991      1992      1993      1994      1995      1996      1997      1998      1999      2000      2001      2002      2003      2004      2005      2006      2007      2008      2009      2010      2011      2012      2013      2014      2015
 5/2018      105.489    97.325    80.172    98.006    90.365    94.470    99.387    91.557    79.128    72.266    87.810   119.071   116.047    98.284   110.320    82.572   101.542    73.949    82.436    80.406   107.000    78.051    98.970    79.668    92.000    88.879   128.440    90.395    96.377    70.123    88.678    90.841    92.159    98.036   165.656
 6/2018       68.057    26.792    45.138    27.395    33.032    37.337    29.765    35.296    12.036    18.531    39.058    48.062    24.073    21.766    57.275     5.624    37.462     8.681    19.700     9.477     7.348     5.793    14.188     8.246    10.663     5.816    23.000    27.550    19.785    13.458    37.264     4.964     9.929    29.137   156.704
 7/2018       25.249     8.233    21.782    11.855     8.204    22.971     3.211    12.682    20.133    34.952    18.926     9.969     2.078     9.505    19.510    22.334    10.669    27.159    29.462    12.562    15.000    18.328     8.786    19.581    12.694    33.178     1.690    10.920    11.135    25.527     6.189    22.943    17.957     7.495    24.989
 8/2018       31.136    39.972    28.470    43.044    29.000    23.063    27.864    45.859    30.030    33.007    33.893    48.553    54.065    27.128    39.389    20.283    41.454    26.655    72.767    20.007    33.732    17.635    21.288    18.360    22.961    46.296    34.740    27.230    18.083    30.920    24.163    17.536    29.473    21.906     5.437
 9/2018       28.369    53.066    17.854    32.563    53.499    40.734    19.144    30.355    24.712    29.000    51.198    34.084    52.763    38.969    28.985    26.783    66.706    18.639    57.008    16.867    17.590    25.820    42.357    37.062    22.819    37.935    31.504    28.715    19.132    31.567    22.260    17.970    71.115    22.452    12.625
10/2018       60.998    29.183    34.372    51.899    70.801    59.007    16.329    25.198    28.194    36.954    18.612    18.221    22.949    26.587    23.727    25.302    55.932    37.610    21.169    28.608    14.395    24.067    19.390    33.707    44.385   109.200    31.758    20.732    19.935    23.611    45.891    12.815    39.220    32.085    19.053
11/2018       29.779    27.280    18.007    28.052    34.391    51.402    34.096    22.512    15.131    32.830    29.764    18.464    19.978    34.489    16.321    25.763    28.554    48.417    16.552    22.460    13.412    26.334    21.595    28.833    20.054    40.376    16.492    18.720    16.493    16.508    24.755    12.896    27.503    19.387    21.044
12/2018       17.790    20.886    14.888    31.388    22.087    26.947    17.484    17.222    12.618    19.166    18.567    15.730    16.640    22.499    14.428    24.102    19.677    30.167    15.446    14.679    12.839    15.490    20.022    19.293    14.689    21.945    40.421    15.422    12.526    20.207    17.423    11.822    19.578    16.563    21.053
 1/2019       15.334    18.360    12.145    29.035    20.290    19.704    12.761    15.094    12.084    13.965    14.407    19.665    14.484    17.186    13.528    19.313    18.001    17.551    16.967    13.902    11.576    13.301    16.204    44.906    13.269    18.634    26.972    15.301    12.249    14.640    17.894    17.039    15.940    16.777    17.495
 2/2019       16.141    20.460    14.792    29.993    45.158    33.571    14.909    20.015    11.981    21.132    23.399    24.952    19.494    40.727    22.156    21.936    19.289    21.741    16.596    18.175    10.767    16.259    18.427    77.808    11.918    36.855    19.926    24.166    10.943    18.289    19.938    16.436    21.752    27.962    15.279
 3/2019       77.507    62.264    57.507   162.919   114.280    97.275    45.662    82.335    34.537    58.063    77.256   147.278    53.172   193.276    31.309   144.773    54.527    42.151    36.129    65.986    18.924    44.452    90.393   130.114    28.240   122.618    95.581    53.376    45.925    44.931    56.735    34.028    53.892    57.083    29.657
 4/2019      116.153   116.244   109.370   270.573   274.923   205.163    76.925   195.333   100.860   104.454   200.263   258.761   140.274   162.131    59.452   187.958   111.294    91.198   100.995   174.758    35.719    58.658   183.779   243.714   107.823   131.383   252.314    94.091   170.900   100.375   122.959    47.138   100.089    49.360    66.948
 5/2019      268.814   241.806   323.780   448.101   303.504   335.732   116.565   225.418   185.653   208.182   290.810   415.346   263.399   299.664   159.360   368.842   254.205   237.491   155.383   406.863    41.655   144.318   264.089   475.480   183.615   267.582   333.186   320.101   164.518   156.892   170.610    83.624   173.051   145.008   134.128
 6/2019      276.756   382.996   301.425   474.548   407.895   313.091   185.372   136.259   171.188   307.712   152.874   370.089   191.787   422.755    44.727   378.463   185.128   304.186    43.531   175.357    20.822    97.975   117.475   389.570    54.504   144.653   340.385   152.319   200.941   234.092    56.775    73.485   171.421   205.403   112.529
 7/2019      100.958   183.997    74.446   111.776   154.033    66.863    38.204    20.954    55.534    95.847    42.520    85.592    21.022   252.649    27.088    73.513    59.072   139.217     1.454    21.746    14.903     4.283    16.475   101.499    29.641    21.279    73.337    21.252    27.864    42.779    21.443    30.756    17.858    36.279    38.321
 8/2019       64.754    52.880    62.056    40.382    32.389    34.110    51.082    25.520    33.785    39.089    50.656    74.765    15.760    71.606    20.683    61.793    23.693   119.701    20.202    39.522    13.310    22.068     4.882    33.888    48.089    37.754    30.035     2.414    39.247    12.515    18.720    30.275    12.209     7.758    28.712
 9/2019       82.974    15.630    41.109    73.440    53.975    17.229    33.102    17.342    28.004    68.139    38.250    75.178    39.170    36.597    26.881    90.842    12.852    74.650    17.067    10.859    20.645    43.911    34.290    27.807    39.944    28.774    34.487    21.614    40.621    12.663    19.230    75.864    14.710     9.284    27.161
10/2019       47.504    52.439    66.779   109.466    86.192    19.036    31.111    33.923    48.630    22.268    19.099    32.522    30.962    34.431    26.591    80.328    45.322    25.822    29.916    14.577    20.374    19.888    44.433    74.894   119.465    38.671    27.813    23.334    31.018    53.986    15.094    41.327    43.422    15.668    64.149
11/2019       38.662    29.562    39.168    53.007    70.221    46.485    26.770    21.745    39.378    37.422    26.115    32.388    41.365    27.389    26.512    42.314    59.348    22.475    25.851    20.800    22.228    23.510    41.699    38.902    43.885    21.599    31.200    21.188    24.194    30.089    14.765    27.505    24.588    20.829    31.091
12/2019       29.696    24.966    40.342    35.310    37.704    26.082    20.104    18.016    23.376    24.705    21.957    28.420    27.959    24.876    25.284    29.656    38.607    20.815    16.871    20.496    11.791    21.897    25.570    27.125    23.708    46.491    26.609    17.010    27.416    21.631    14.109    19.243    20.356    20.842    18.325
 1/2020       26.206    20.995    40.276    32.035    27.854    19.919    17.514    16.618    17.366    19.588    26.011    24.759    21.785    23.056    20.125    26.986    23.798    21.945    15.677    18.552     9.947    17.745    54.434    23.848    19.932    31.962    25.156    16.185    20.681    21.794    18.678    15.643    20.090    17.273    15.616
 2/2020       30.420    23.447    39.595    66.320    45.630    23.604    22.973    16.783    25.277    30.313    32.336    31.315    49.884    33.984    23.119    28.260    29.082    21.749    20.059    17.240    13.899    21.575    88.609    21.806    39.403    25.169    36.514    14.863    25.250    24.595    18.898    23.247    31.914    15.784    17.340
 3/2020       80.264    77.041   189.892   144.925   117.573    57.099    89.399    40.600    63.894    92.075   172.019    74.438   210.657    43.573   146.334    73.593    53.580    45.368    68.645    26.674    40.277    95.376   144.652    41.561   127.515   113.285    73.729    54.257    56.127    66.792    36.076    55.184    64.889    29.544    77.415
 4/2020      139.440   136.193   307.285   313.030   242.483    95.056   204.724   117.249   115.512   229.876   284.609   176.289   182.848    78.611   191.450   135.952   112.072   118.976   180.975    44.551    53.789   193.825   262.635   140.893   138.355   266.693   118.391   186.622   119.240   140.392    49.544   100.317    56.491    70.152   119.412
