segdesc   = RBPC2H_F
2019-04-01
 traces ->      1981      1982      1983      1984      1985      1986      1987      1988      1989      1990      1991      1992      1993      1994      1995      1996      1997      1998      1999      2000      2001      2002      2003      2004      2005      2006      2007      2008      2009      2010      2011      2012      2013      2014      2015
 4/2019       13.569     8.846     7.645     9.235    11.842    12.298    13.548    11.344    14.206    14.181     6.825    12.631     9.381    15.998     7.246     9.099     9.725     8.336    10.677    12.643    13.666    12.351    10.551    10.790    10.014    14.431     9.957     9.818    11.968    13.038    12.827    14.108     9.890    11.391     9.627
 5/2019       24.907    19.498    19.191    30.057    29.591    28.833    26.105    22.868    21.119    25.327    19.781    30.323    27.451    31.399    22.217    31.450    29.756    24.511    30.974    29.562    39.502    23.164    25.996    33.182    29.497    30.820    32.338    22.765    35.296    20.776    22.089    29.458    25.962    22.351    26.868
 6/2019       23.579    21.508    30.225    24.968    26.479    32.711    19.774    26.693    13.574    30.365    26.689    19.521    23.368    26.307    30.514    15.622    27.923    20.162    34.294    14.916    18.751    16.895    19.458    20.619    23.160    15.782    20.896    20.394    18.435    21.582    28.346    14.332    22.148    24.136    39.074
 7/2019        9.275    11.368    15.541     8.511     8.748    13.133     6.036     9.417     4.597    10.588    11.331     6.836     6.758     5.081    16.489     5.079     7.992     8.833    14.525     3.167     3.815     3.084     3.961     4.937     6.545     5.059     5.533     5.153     5.501     5.678     8.535     3.441     7.070     6.059    11.282
 8/2019        3.766     7.108     5.122     6.255     5.196     4.348     3.828     4.257     2.490     5.033     5.318     5.439     6.626     3.558     6.246     2.354     6.817     2.821     7.372     1.670     2.680     1.592     2.079     2.041     2.981     4.529     2.915     2.197     1.905     4.091     3.301     1.684     3.483     2.221     2.867
 9/2019        3.691     6.369     1.858     3.324     4.870     6.347     2.200     2.920     2.005     3.252     3.246     3.457     6.482     5.083     3.952     2.281     5.306     1.799     3.422     1.446     1.595     1.361     3.888     2.667     1.832     4.090     3.166     2.075     2.255     2.836     2.926     1.894     4.954     1.440     1.966
10/2019        4.263     2.915     2.371     3.393     6.901     9.752     1.588     2.039     3.465     4.029     1.664     1.718     2.335     2.284     2.646     2.207     5.103     2.046     1.993     2.200     1.439     1.941     1.779     2.489     3.862     7.840     3.718     1.857     2.004     1.842     4.570     1.427     3.437     2.110     1.638
11/2019        2.272     1.745     1.438     1.810     2.819     3.715     1.933     1.406     1.574     2.712     1.387     1.392     1.521     2.001     1.580     1.652     2.680     2.119     1.487     1.562     1.387     1.398     1.488     2.146     2.026     3.699     1.557     1.555     1.727     1.606     2.034     1.222     1.876     1.397     1.955
12/2019        1.472     1.421     1.326     1.531     1.694     1.875     1.353     1.369     1.247     1.639     1.300     1.301     1.347     1.495     1.456     1.429     1.587     1.738     1.412     1.245     1.265     1.192     1.387     1.435     1.392     1.781     1.990     1.278     1.315     1.424     1.431     1.190     1.443     1.264     1.576
 1/2020        1.263     1.302     1.236     1.485     1.534     1.515     1.210     1.228     1.136     1.351     1.193     1.213     1.298     1.353     1.301     1.302     1.374     1.333     1.323     1.163     1.183     1.115     1.238     1.513     1.255     1.410     1.316     1.188     1.184     1.290     1.343     1.133     1.264     1.194     1.475
 2/2020        1.102     1.167     1.117     1.251     1.748     1.656     1.084     1.126     1.015     1.294     1.120     1.079     1.165     1.681     1.660     1.171     1.225     1.282     1.291     1.086     1.107     1.039     1.127     1.320     1.171     1.387     1.122     1.216     1.039     1.221     1.169     1.090     1.374     1.476     1.383
 3/2020        1.577     1.706     1.618     2.929     6.208     3.640     1.809     3.503     2.126     1.484     1.728     2.094     3.658     6.197     2.180     3.876     2.902     3.233     2.090     2.150     1.712     1.752     4.439     2.137     2.149     8.414     1.997     3.063     1.568     2.884     4.201     2.028     3.628     4.026     1.715
 4/2020        6.134     4.141     4.683    15.522    17.042    16.142     7.847    15.460     9.475     8.069    11.476     8.244    12.804     9.778     8.146    10.222     7.051     8.846     9.174    11.591     5.804     5.724    10.958    11.173    11.529    12.013    10.006     9.315     9.382     9.751    12.982     5.287     9.352     5.852     8.429
 5/2020       24.060    21.750    29.714    37.686    27.239    26.113    13.508    17.065    13.540    23.784    27.360    34.876    27.009    26.437    15.192    30.664    23.137    24.490    13.670    32.858     6.591    14.551    21.192    38.750    16.151    18.662    29.462    29.168    18.750    16.491    13.878    10.075    13.854    14.051    12.593
 6/2020       25.727    33.377    23.917    34.345    29.072    19.563    15.510    10.622    11.700    27.778    16.183    29.029    18.432    36.247     5.487    25.709    15.587    21.108     4.240    13.960     2.609     8.366    10.708    31.693     6.246    11.943    26.852    14.089    17.320    17.483     6.463     7.253    11.105    17.468     9.048
 7/2020       11.878    14.500     7.496    11.293    11.742     5.784     5.872     3.678     5.143    10.761     5.379     8.051     3.808    19.479     2.852     7.734     6.782     8.383     1.637     3.040     1.280     2.173     2.953     9.405     2.908     3.439     6.578     4.215     4.723     5.160     2.158     3.353     2.948     4.448     4.850
 8/2020        7.172     4.641     6.078     5.375     4.319     3.900     3.337     2.178     4.049     5.186     5.131     7.572     3.237     7.108     1.873     6.139     2.481     6.235     1.319     2.458     1.078     1.644     1.678     3.512     3.707     2.356     2.445     1.680     3.673     2.757     1.361     2.666     1.615     1.974     3.032
 9/2020        6.624     1.989     3.262     5.118     6.135     2.170     2.569     1.921     2.783     3.270     3.358     6.238     4.670     4.094     1.959     5.277     1.703     3.067     1.212     1.469     1.007     3.117     2.326     2.003     3.629     2.926     2.266     2.097     2.620     2.502     1.636     4.215     1.211     1.624     3.243
