segdesc   = TPIC2L_F
2021-01-01
DATE,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
1/2021,3.399,3.399,3.400,3.400,3.400,3.400,3.400,3.399,3.400,3.400,3.400,3.399,3.400,3.400,3.400,3.400,3.399,3.400,3.400,3.400,3.400,3.400,3.399,3.399,3.399,3.400,3.400,3.399,3.400,3.399,3.400,3.399,3.399,3.400,3.399
2/2021,3.050,2.899,2.903,2.899,2.900,2.901,2.900,2.900,2.900,2.900,2.899,2.898,2.900,2.900,2.914,2.899,2.899,2.900,2.900,2.900,2.900,2.900,2.900,2.899,2.899,2.900,2.900,2.899,2.900,2.900,2.900,2.899,2.899,2.899,3.110
3/2021,3.314,2.971,3.742,2.851,3.253,3.878,3.092,2.916,3.838,4.016,3.189,3.200,3.188,3.381,3.809,2.851,3.540,3.247,3.545,2.892,3.121,2.926,3.257,4.904,2.851,2.927,5.100,2.851,3.649,2.851,3.149,4.046,2.900,2.851,4.508
4/2021,9.788,4.065,3.896,3.318,6.965,9.114,6.000,6.016,10.563,10.031,4.758,9.158,6.281,6.357,4.818,5.433,5.088,4.520,5.208,7.130,6.509,7.607,5.889,10.343,5.288,7.398,7.494,2.954,4.891,5.453,4.940,13.006,4.280,4.154,7.679
5/2021,23.835,16.306,11.789,19.164,32.543,24.706,27.570,18.009,24.120,17.802,16.993,24.236,27.986,21.459,14.990,36.682,21.747,16.976,18.004,28.910,24.878,14.141,18.506,23.460,21.973,20.000,20.378,15.697,25.174,12.722,12.469,20.294,18.551,18.042,15.983
6/2021,28.722,37.365,45.267,42.112,40.742,39.104,28.386,28.645,26.597,32.546,37.381,20.958,59.944,32.010,75.647,50.713,44.404,24.951,47.019,31.377,26.081,14.346,33.671,18.097,33.606,23.809,20.230,59.525,34.089,36.094,44.274,9.868,34.000,40.648,37.165
7/2021,11.584,23.866,34.685,23.601,16.632,20.642,13.368,15.000,12.590,14.545,19.060,10.341,37.671,13.688,86.746,26.382,19.697,13.437,35.374,12.518,10.930,6.470,13.477,8.566,17.074,10.064,9.434,37.800,19.977,14.027,28.987,6.379,15.018,16.262,14.772
8/2021,5.876,8.443,11.809,9.366,7.469,8.017,6.884,6.226,6.759,6.328,7.140,6.647,11.395,6.092,24.646,9.171,8.470,5.672,11.532,6.374,6.034,3.755,6.051,4.925,7.546,5.618,5.453,11.274,7.297,7.000,9.501,4.043,7.369,7.326,6.250
9/2021,4.316,6.720,6.237,5.822,5.892,6.871,5.039,5.000,4.683,4.610,4.869,5.295,7.421,4.573,11.629,6.299,5.841,3.941,6.587,4.641,4.293,3.064,6.055,4.009,4.893,4.582,4.457,6.763,4.952,4.560,5.732,3.341,5.972,6.431,4.643
10/2021,4.902,6.458,6.337,6.098,11.850,8.435,4.985,5.116,5.128,7.042,5.126,4.619,8.470,5.209,11.153,7.261,6.673,5.185,6.776,5.030,4.498,4.584,5.647,4.477,6.680,7.267,5.466,7.246,6.014,5.027,6.690,3.571,7.183,9.356,4.845
11/2021,4.654,4.945,5.446,4.997,7.858,6.345,4.469,4.083,4.319,6.598,4.403,3.942,7.037,4.762,8.668,6.025,5.311,4.069,5.606,4.256,4.596,3.135,4.365,4.025,5.795,5.279,4.372,6.316,5.427,5.074,5.363,3.031,5.157,5.993,4.728
12/2021,3.992,4.482,4.993,4.579,5.584,5.009,4.077,3.743,3.917,4.853,4.087,3.581,6.039,4.106,7.781,5.638,4.729,3.841,5.169,3.941,3.880,2.747,3.979,3.458,4.529,4.087,3.536,5.640,4.501,4.143,4.752,2.788,4.409,4.762,4.255
1/2022,3.510,4.064,4.481,4.103,4.912,4.527,3.658,3.356,3.525,3.994,3.673,3.208,5.416,3.631,6.848,4.943,4.272,3.270,4.643,3.540,3.395,2.443,3.566,3.072,3.940,3.628,3.120,5.087,3.972,3.619,4.261,2.502,4.006,4.210,3.938
2/2022,2.868,3.330,3.666,3.388,4.026,3.724,3.004,2.739,2.896,3.225,2.998,2.649,4.434,2.983,5.600,4.037,3.500,2.660,3.817,2.895,2.773,1.990,2.909,2.517,3.213,2.984,2.569,4.175,3.248,2.958,3.506,2.059,3.302,3.554,3.253
3/2022,2.874,4.117,3.678,3.690,4.691,3.914,3.041,3.401,3.795,3.560,3.241,2.855,4.926,3.823,5.558,4.446,3.846,3.403,3.858,3.087,2.786,2.271,4.713,2.481,3.170,5.941,2.543,4.687,3.209,3.122,4.721,2.092,3.205,5.467,3.498
4/2022,3.684,4.033,3.569,6.650,11.118,7.730,5.595,9.028,8.988,4.963,8.702,5.451,7.573,4.517,8.129,5.572,4.762,4.745,7.530,5.477,6.752,4.465,9.842,4.373,7.771,8.300,2.441,5.424,5.308,4.651,12.996,3.074,4.215,11.352,7.810
5/2022,19.554,14.736,34.394,43.515,42.040,41.769,18.487,26.821,19.244,24.128,29.548,28.509,28.134,16.527,52.064,33.290,21.230,19.179,31.502,25.384,14.735,20.020,27.533,23.126,30.263,27.088,19.523,33.233,15.317,15.658,19.797,16.315,25.424,23.425,22.390
6/2022,45.684,49.225,90.429,59.371,59.338,37.435,26.321,31.241,31.279,40.930,25.584,62.643,40.105,80.263,58.783,76.629,27.045,45.173,25.780,26.678,11.579,35.892,21.487,34.357,35.906,24.860,71.378,45.072,38.107,68.271,8.778,26.819,50.650,45.093,23.702
7/2022,27.817,32.145,49.142,22.491,29.635,15.705,11.815,13.245,12.484,17.355,11.487,36.549,15.557,84.065,26.782,34.208,12.714,29.747,10.025,10.248,5.223,12.998,8.897,15.476,12.627,10.306,39.392,25.875,13.137,42.823,5.772,10.859,18.018,16.051,8.956
8/2022,11.222,12.871,18.532,10.559,12.210,9.232,6.302,8.049,6.667,8.089,8.121,12.874,7.850,28.125,11.056,14.196,6.612,11.593,6.672,6.633,3.739,6.669,5.858,8.136,7.714,6.683,13.572,10.267,7.885,14.713,4.473,6.898,9.262,7.908,5.728
9/2022,8.870,7.352,10.702,8.385,10.259,7.155,5.583,5.829,5.244,6.020,6.769,8.819,6.233,13.984,8.177,9.619,4.977,7.316,5.311,5.047,3.301,7.071,5.043,5.579,6.524,5.729,8.585,7.104,5.517,8.422,3.971,5.951,8.466,6.222,4.530
