segdesc   = TPIC2L_F
2020-04-01
 traces ->      1981      1982      1983      1984      1985      1986      1987      1988      1989      1990      1991      1992      1993      1994      1995      1996      1997      1998      1999      2000      2001      2002      2003      2004      2005      2006      2007      2008      2009      2010      2011      2012      2013      2014      2015
 4/2020       10.054     4.701     4.269     4.346     6.968     5.889     6.424     6.217     8.428     9.050     5.378     9.747     4.876     6.072     4.619     5.998     4.515     4.442     4.405     7.341     6.562     7.694     6.000     6.840     6.043     7.678     6.034     4.094     4.751     5.879     5.278     9.326     4.599     5.164     6.192
 5/2020       29.573    16.297    12.505    24.459    30.705    22.000    28.223    20.722    25.235    21.145    18.300    32.466    21.002    24.409    12.608    27.413    22.190    19.015    16.992    29.817    28.893    18.581    21.045    27.149    23.136    23.752    24.052    15.880    26.998    14.522    13.411    28.323    21.225    18.129    19.100
 6/2020       38.206    31.843    45.175    50.578    35.000    36.111    27.076    32.143    27.421    41.081    35.951    27.079    38.261    37.823    54.776    28.871    49.621    27.534    48.076    25.925    30.631    22.338    37.920    28.790    31.738    28.398    29.666    38.808    34.668    40.688    43.104    17.050    43.423    34.688    57.025
 7/2020       14.997    17.166    31.361    26.560    13.345    17.942    12.190    15.742    11.885    19.277    16.488    12.705    20.071    15.000    57.212    13.179    21.081    15.191    34.501    10.434    12.189     8.664    14.233    13.458    14.480    10.877    13.403    20.125    18.097    15.000    25.005     8.251    18.249    12.468    22.930
 8/2020        8.000     8.092    13.056    12.034     7.473     8.430     7.571     7.612     7.616     8.734     7.722     8.776     8.577     7.585    20.248     6.930    10.205     7.262    13.316     6.711     7.536     5.493     7.388     7.149     8.158     7.039     7.658     8.539     8.086     8.554    10.181     5.686     9.610     7.383     9.748
 9/2020        5.761     6.920     6.983     7.384     6.071     7.361     5.635     6.115     5.360     6.094     5.437     6.745     6.192     5.625    10.307     5.319     6.984     4.946     7.462     5.025     5.376     4.406     7.294     5.523     5.474     5.738     6.000     5.723     5.624     5.611     6.301     4.629     7.596     6.791     6.844
10/2020        5.797     6.029     6.359     6.932    11.204     8.096     5.006     5.555     5.266     7.997     5.157     5.433     6.553     5.745     9.458     5.522     7.106     5.714     6.827     4.889     5.055     5.599     6.124     5.399     6.726     7.933     6.429     5.659     6.128     5.527     6.618     4.431     8.074     8.888     6.364
11/2020        5.444     4.606     5.469     5.708     7.401     6.075     4.490     4.486     4.441     7.417     4.438     4.656     5.442     5.239     7.401     4.578     5.675     4.512     5.643     4.157     5.099     3.968     4.768     4.830     5.842     5.814     5.175     4.935     5.535     5.525     5.314     3.780     5.920     5.664     6.081
12/2020        4.713     4.175     5.018     5.249     5.215     4.811     4.099     4.124     4.033     5.552     4.124     4.246     4.607     4.543     6.628     4.273     5.067     4.256     5.203     3.855     4.341     3.516     4.356     4.198     4.580     4.561     4.257     4.392     4.603     4.548     4.711     3.490     5.055     4.523     5.501
 1/2021        4.158     3.788     4.505     4.712     4.586     4.356     3.680     3.704     3.632     4.608     3.710     3.810     4.128     4.025     5.822     3.736     4.579     3.642     4.675     3.468     3.811     3.137     3.908     3.744     3.991     4.055     3.768     3.965     4.067     3.983     4.226     3.138     4.580     4.006     5.068
 2/2021        3.399     3.106     3.687     3.891     3.761     3.588     3.023     3.026     2.986     3.729     3.031     3.144     3.379     3.308     4.759     3.051     3.753     2.967     3.844     2.839     3.116     2.560     3.192     3.070     3.258     3.336     3.102     3.255     3.328     3.258     3.479     2.580     3.772     3.389     4.179
 3/2021        3.409     3.885     3.701     4.233     4.412     3.778     3.062     3.748     3.892     4.090     3.278     3.457     3.831     4.167     4.712     3.469     4.108     3.727     3.886     3.062     3.133     2.852     5.025     3.037     3.219     6.342     3.079     3.765     3.292     3.428     4.693     2.621     3.675     5.270     4.437
 4/2021        4.184     3.820     3.591     7.539    10.778     7.560     5.614     9.630     9.088     5.482     8.741     6.102     6.412     4.833     7.132     4.662     5.012     5.050     7.565     5.706     7.120     5.030    10.179     5.049     7.794     8.689     2.918     4.644     5.391     4.946    12.955     3.663     4.662    11.024     8.853
 5/2021       20.521    14.005    34.368    46.471    41.428    41.118    18.494    28.256    19.396    25.197    29.487    31.570    25.908    17.096    49.198    32.072    21.742    19.659    31.611    25.786    15.183    20.925    27.989    25.328    30.142    27.738    20.651    31.918    15.414    16.098    19.782    17.747    26.466    22.914    23.874
 6/2021       47.033    47.814    90.457    59.548    58.952    37.143    26.344    31.297    31.432    42.096    25.591    64.182    38.325    81.541    57.178    73.796    27.441    45.807    25.883    26.105    11.930    36.978    21.811    35.022    35.726    25.317    73.429    43.000    38.273    69.177     8.772    27.537    51.924    44.439    24.821
 7/2021       28.459    31.687    49.209    22.262    29.481    15.592    11.843    13.239    12.569    17.835    11.524    36.037    14.778    84.780    26.163    32.173    12.950    30.146    10.050    10.007     5.464    13.438     9.090    15.474    12.619    10.554    40.164    24.257    13.221    43.226     5.765    11.089    18.437    15.860     9.572
 8/2021       11.532    12.674    18.553    10.663    12.100     9.145     6.317     8.108     6.723     8.381     8.155    12.894     7.424    28.309    10.710    13.595     6.769    11.774     6.682     6.587     3.943     6.944     6.009     8.339     7.724     6.873    13.848     9.650     7.943    14.869     4.466     7.068     9.508     7.797     6.215
 9/2021        9.114     7.212    10.713     8.584    10.160     7.082     5.595     5.968     5.292     6.257     6.800     8.969     5.862    14.079     7.866     9.257     5.106     7.443     5.318     5.013     3.478     7.319     5.174     5.823     6.536     5.893     8.773     6.749     5.563     8.522     3.966     6.300     8.677     6.132     4.945
10/2021        7.332     6.199     9.165    13.715    10.236     5.965     4.851     5.501     6.882     5.594     5.053     8.635     5.646    11.296     7.756     8.686     5.617     6.521     4.887     4.434     4.440     5.759     4.859     6.712     8.379     6.016     7.900     6.795     5.177     8.263     3.582     6.501    10.378     5.406     4.754
11/2021        5.660     5.327     7.576     9.176     7.786     5.328     3.865     4.640     6.464     4.816     4.317     7.177     5.145     8.762     6.471     6.983     4.436     5.399     4.140     4.538     3.021     4.456     4.358     5.826     6.235     4.827     6.882     6.101     5.209     6.740     3.044     4.544     6.770     5.227     4.555
12/2021        5.145     4.879     6.977     6.683     6.254     4.876     3.542     4.214     4.741     4.475     3.928     6.165     4.455     7.863     6.058     6.271     4.185     4.978     3.835     3.830     2.644     4.063     3.761     4.555     4.883     3.938     6.162     5.105     4.265     6.029     2.801     3.903     5.447     4.715     3.906
 1/2022        4.663     4.375     6.270     5.890     5.644     4.379     3.176     3.794     3.896     4.025     3.520     5.530     3.944     6.921     5.320     5.668     3.576     4.472     3.447     3.351     2.352     3.640     3.344     3.963     4.318     3.477     5.560     4.514     3.729     5.416     2.516     3.569     4.824     4.354     3.428
 2/2022        3.822     3.577     5.172     4.828     4.640     3.595     2.592     3.116     3.146     3.288     2.906     4.528     3.239     5.660     4.347     4.646     2.912     3.677     2.821     2.738     1.916     2.970     2.739     3.231     3.544     2.861     4.564     3.692     3.048     4.455     2.071     2.949     4.062     3.595     2.799
 3/2022        4.636     3.587     5.532     5.539     4.851     3.638     3.251     4.030     3.480     3.537     3.117     5.026     4.087     5.619     4.768     5.033     3.666     3.717     3.014     2.751     2.197     4.779     2.703     3.187     6.580     2.835     5.094     3.655     3.212     5.751     2.106     2.858     6.032     3.843     2.799
 4/2022        4.495     3.487     8.682    12.174     8.768     6.205     8.852     9.259     4.849     9.029     5.710     7.681     4.752     8.193     5.880     5.903     4.992     7.366     5.398     6.713     4.392     9.915     4.588     7.777     8.929     2.696     5.813     5.755     4.731    14.390     3.088     3.896    12.032     8.171     3.518
 5/2022       15.577    34.171    49.034    44.174    44.080    19.295    26.364    19.619    23.833    29.963    29.245    28.306    16.870    52.238    33.941    23.583    19.545    31.244    25.121    14.674    19.861    27.670    23.544    30.241    28.229    20.003    34.094    15.947    15.703    21.123    16.287    24.645    24.234    22.963    18.074
 6/2022       50.631    90.205    63.011    60.852    38.777    27.078    30.894    31.628    40.658    25.903    63.523    40.234    81.187    58.918    77.501    28.753    45.655    25.612    26.483    11.541    35.707    21.577    34.751    35.869    25.641    72.471    45.757    38.950    68.456     9.548    26.801    49.567    46.026    24.172    44.638
 7/2022       32.777    49.077    23.732    30.289    16.332    12.255    13.106    12.651    17.263    11.684    36.904    15.623    84.619    26.828    34.493    13.666    30.008     9.941    10.191     5.202    12.940     8.935    15.650    12.610    10.669    39.823    26.201    13.472    42.932     6.396    10.866    17.708    16.415     9.178    28.545
 8/2022       13.171    18.477    11.304    12.555     9.672     6.615     7.960     6.782     8.030     8.277    13.009     7.889    28.234    11.069    14.322     7.284    11.723     6.606     6.598     3.723     6.638     5.883     8.243     7.700     6.946    13.694    10.458     8.120    14.740     5.006     6.906     9.091     8.153     5.894    11.330
 9/2022        7.560    10.655     8.995    10.546     7.520     5.855     5.759     5.341     5.972     6.900     8.916     6.263    14.029     8.189     9.708     5.537     7.412     5.255     5.021     3.287     7.045     5.065     5.662     6.511     5.952     8.657     7.246     5.705     8.435     4.437     5.958     8.323     6.427     4.669     8.834
10/2022        6.512     9.114    14.120    10.599     6.363     5.087     5.335     6.930     5.330     5.140     8.549     6.103    11.256     8.057     9.105     6.037     6.494     4.829     4.416     4.251     5.522     4.756     6.586     8.354     6.069     7.792     7.289     5.308     8.204     4.020     6.434    10.030     5.678     4.492     7.155
11/2022        5.601     7.531     9.729     8.081     5.679     4.067     4.486     6.506     4.584     4.392     7.161     5.567     8.728     6.738     7.341     4.793     5.376     4.089     4.533     2.863     4.257     4.266     5.769     6.212     4.871     6.787     6.581     5.328     6.673     3.426     4.451     6.503     5.474     4.323     5.459
12/2022        5.136     6.933     7.052     6.520     5.204     3.731     4.068     4.777     4.257     3.997     6.114     4.843     7.831     6.309     6.580     4.522     4.956     3.787     3.835     2.497     3.878     3.675     4.474     4.862     3.976     6.073     5.536     4.372     5.964     3.159     3.785     5.208     4.943     3.692     4.947
 1/2023        4.608     6.230     6.200     5.885     4.676     3.348     3.658     3.927     3.826     3.583     5.478     4.293     6.892     5.544     5.944     3.875     4.452     3.403     3.344     2.218     3.472     3.265     3.878     4.299     3.511     5.479     4.894     3.824     5.356     2.840     3.443     4.610     4.561     3.235     4.481
 2/2023        3.769     5.139     5.080     4.839     3.840     2.733     3.003     3.171     3.124     2.957     4.484     3.527     5.636     4.532     4.874     3.157     3.660     2.785     2.730     1.806     2.832     2.675     3.159     3.528     2.889     4.498     4.003     3.126     4.405     2.337     2.842     3.884     3.765     2.640     3.672
 3/2023        3.781     5.498     5.653     5.057     3.886     3.400     3.818     3.506     3.369     3.170     4.954     4.398     5.594     4.961     5.201     3.927     3.700     2.977     2.719     2.085     4.630     2.638     3.113     6.561     2.863     5.023     3.968     3.292     5.697     2.375     2.749     5.836     4.017     2.638     4.463
 4/2023        3.662     8.644    12.268     9.000     6.469     9.020     8.945     4.875     8.834     5.764     7.484     5.044     8.166     6.072     6.062     5.244     7.349     5.363     6.540     4.284     9.755     4.523     7.436     8.911     2.720     5.744     5.912     4.810    14.322     3.344     3.697    11.818     8.352     3.364     4.254
 5/2023       34.564    48.955    43.267    44.516    19.603    26.580    18.829    23.879    29.726    29.352    27.306    17.333    52.182    34.391    22.974    19.919    31.209    25.060    14.189    19.712    27.454    23.456    29.216    28.213    20.051    33.972    15.436    15.813    21.058    16.637    22.805    23.992    23.169    17.852    14.085
 6/2023       90.749    62.963    61.642    38.997    27.323    31.060    31.730    40.699    25.735    63.636    40.503    82.090    58.886    77.920    29.550    46.026    25.586    26.428    11.935    35.523    21.419    34.670    36.176    25.625    72.587    45.665    39.748    68.647     9.508    27.120    50.075    45.748    24.339    44.399    50.057
