segdesc   = VCRC2H_F
2021-04-01
DATE,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
4/2021,14.648,6.177,6.150,8.743,9.825,15.048,14.662,9.825,14.883,16.277,6.419,13.924,9.503,15.412,7.809,9.638,9.650,7.486,14.431,12.921,14.939,10.375,8.047,18.379,9.634,15.015,11.167,7.778,10.319,8.639,9.479,14.222,10.873,10.000,7.637
5/2021,37.932,22.639,17.702,41.037,40.711,41.682,39.060,25.289,23.998,43.357,19.564,43.899,35.000,49.851,22.487,37.072,39.059,24.841,40.584,34.457,60.475,23.323,33.553,51.821,38.055,37.315,51.072,25.841,52.718,19.367,27.201,33.285,27.781,27.727,28.799
6/2021,57.293,40.957,52.171,52.209,51.037,68.935,43.237,54.045,21.336,69.625,43.915,34.228,43.000,51.511,62.591,23.019,60.411,31.418,91.101,20.999,30.694,24.356,32.957,31.871,37.539,25.730,43.370,39.432,33.498,35.780,61.115,19.400,35.214,44.168,82.837
7/2021,28.271,20.049,25.657,18.778,16.070,33.749,13.209,20.400,9.092,32.838,18.506,15.313,14.219,15.000,35.974,8.902,18.030,15.579,54.662,7.475,10.837,7.567,10.761,11.143,13.094,13.312,16.221,14.629,11.235,10.732,19.754,8.591,11.597,13.109,29.068
8/2021,17.509,22.589,14.208,20.525,9.742,18.886,12.329,30.420,11.580,24.376,12.676,15.131,11.490,11.780,17.408,7.667,17.666,10.194,51.192,7.523,18.054,5.356,9.272,7.628,12.688,11.800,25.301,8.763,7.459,10.904,11.019,5.716,12.000,11.706,13.549
9/2021,8.734,23.990,6.983,15.270,12.158,19.723,7.735,19.496,5.652,17.112,25.826,11.544,11.165,12.634,11.224,7.038,25.418,8.531,31.241,5.431,7.597,8.763,13.015,11.000,10.203,10.931,14.840,9.489,6.491,7.119,7.911,4.152,24.869,11.228,9.784
10/2021,17.028,14.882,12.358,11.756,14.332,22.281,6.647,15.489,7.463,18.552,9.858,6.916,7.227,8.280,8.696,8.198,19.047,6.543,13.410,5.871,5.920,6.523,8.226,11.090,15.766,34.975,12.328,6.639,6.533,8.621,10.475,3.734,14.880,16.802,7.171
11/2021,8.493,7.889,5.799,7.122,8.289,13.069,6.679,8.952,4.181,11.895,6.105,5.385,5.206,6.461,5.914,4.979,8.814,6.120,8.796,4.742,4.922,4.221,5.321,7.764,8.830,12.981,6.916,5.102,5.028,5.378,6.610,3.121,7.374,8.500,6.351
12/2021,5.944,5.833,4.680,5.771,5.713,8.954,4.842,6.203,3.327,8.024,4.998,4.470,4.320,5.076,5.139,4.100,6.360,4.940,7.491,3.486,4.265,3.426,4.416,5.271,5.456,7.213,5.753,3.974,3.978,3.900,5.218,2.842,5.550,5.551,5.516
1/2022,4.796,4.803,3.954,4.952,4.733,6.453,3.875,5.010,2.795,6.004,4.182,3.772,3.722,4.303,4.407,3.316,5.267,3.675,6.419,2.914,3.656,2.912,3.579,4.955,4.355,5.473,4.645,3.339,3.351,3.243,4.360,2.438,4.574,4.519,4.895
2/2022,3.711,3.773,3.129,3.823,4.412,7.391,3.025,3.917,2.195,4.828,3.391,2.945,2.958,4.127,4.433,2.576,4.144,3.309,5.301,2.308,2.902,2.614,2.828,4.271,3.469,4.590,3.583,2.844,2.612,2.590,3.304,2.055,4.054,4.795,3.834
3/2022,4.437,5.477,4.201,11.861,11.639,11.064,4.212,10.590,3.984,5.174,4.831,5.370,5.470,12.637,5.284,12.602,6.516,5.781,6.414,4.967,3.561,4.316,10.202,9.981,4.612,16.512,4.444,5.363,3.021,4.627,6.849,3.213,9.148,10.056,4.764
4/2022,9.619,12.679,14.181,33.094,33.573,36.210,12.018,41.480,14.660,16.953,28.771,25.178,19.326,20.804,9.478,24.894,17.271,10.160,21.664,23.061,7.700,9.413,36.599,32.417,19.018,24.616,19.675,11.171,11.675,13.715,24.515,6.803,19.659,13.941,12.205
5/2022,55.635,54.923,86.896,98.660,79.471,102.429,37.563,68.686,52.919,57.503,82.378,88.199,69.478,58.177,52.531,93.001,67.203,58.425,57.724,109.291,16.008,48.008,88.500,106.396,53.495,75.969,76.451,83.620,35.072,44.801,53.768,20.023,56.662,44.880,40.423
6/2022,90.550,126.697,109.534,152.351,128.570,124.581,74.395,52.695,65.545,93.996,54.389,120.817,62.972,131.014,27.465,136.283,59.973,109.573,31.201,59.476,8.341,42.086,47.915,127.508,28.858,50.367,105.708,46.347,60.154,90.806,29.498,28.028,73.216,86.802,49.597
7/2022,39.129,68.881,38.896,41.873,58.699,37.961,27.964,19.552,31.860,35.684,23.687,37.840,18.290,82.470,11.326,35.210,27.044,62.314,11.506,18.082,4.226,13.790,16.612,43.262,15.791,19.453,32.239,15.575,17.013,27.817,12.541,9.837,20.357,29.610,25.590
8/2022,32.075,25.888,28.033,16.992,23.697,20.785,31.949,17.781,22.846,18.531,18.738,19.691,12.901,27.350,8.595,26.685,15.015,50.761,9.853,23.539,3.263,10.506,10.145,22.682,12.827,26.588,15.354,9.169,14.065,13.229,7.691,10.001,15.129,13.202,15.927
9/2022,32.395,12.610,20.567,19.500,24.128,12.846,22.461,9.991,17.482,32.975,15.388,17.558,14.491,16.486,8.395,33.548,12.548,33.046,8.072,11.060,7.098,15.027,13.950,16.973,12.307,16.911,15.380,8.348,9.836,10.003,6.024,23.880,14.766,10.488,8.583
