segdesc   = VCRC2H_F
2020-05-01
 traces ->      1981      1982      1983      1984      1985      1986      1987      1988      1989      1990      1991      1992      1993      1994      1995      1996      1997      1998      1999      2000      2001      2002      2003      2004      2005      2006      2007      2008      2009      2010      2011      2012      2013      2014      2015
 5/2020       57.106    46.540    35.524    59.800    54.907    49.550    55.000    43.525    49.594    52.458    45.543    66.011    56.272    56.631    44.014    60.486    59.070    45.461    56.247    58.811    69.133    47.811    56.432    59.160    54.902    58.972    72.195    50.865    70.339    37.576    45.703    57.211    48.925    49.679    56.860
 6/2020       61.006    41.999    44.546    39.539    40.678    43.846    44.620    48.552    29.293    40.000    46.258    42.606    39.129    35.868    54.023    23.067    47.377    28.186    50.306    27.027    25.806    29.699    34.260    23.260    30.420    27.874    40.421    40.866    30.575    36.349    49.138    25.313    35.576    43.553    87.180
 7/2020       31.366    20.579    19.806    16.442    14.868    25.658    15.000    19.633    13.040    23.947    19.537    20.078    14.536    12.618    29.240    10.386    16.420    14.904    33.778    10.333    10.843    10.568    12.950    10.115    12.147    15.557    17.053    16.734    11.940    12.508    17.203    11.583    13.344    14.622    31.154
 8/2020       16.950    21.153    11.804    17.076     8.721    14.711    12.162    27.721    12.992    18.801    12.582    15.771    11.007     9.714    14.539     8.252    15.565     9.730    39.034     8.691    15.971     6.803     9.873     6.533    11.552    12.000    23.349     9.382     7.411    11.229     9.682     6.927    12.147    11.728    13.347
 9/2020        9.485    24.445     6.941    14.511    12.020    18.038     8.441    19.741     7.363    15.233    27.016    12.940    11.787    11.811    11.000     8.206    24.052     9.154    27.831     6.892     7.559    10.621    14.155    10.434    10.448    11.865    15.261    10.760     7.074     8.228     7.960     5.570    25.685    12.085    10.768
10/2020       18.277    15.981    12.210    11.855    14.194    21.250     7.550    16.197     9.385    17.459    11.156     8.283     8.094     8.032     8.939     9.606    19.162     7.502    12.336     7.523     6.184     8.323     9.416    10.998    15.946    37.119    13.156     7.996     7.319     9.964    10.946     5.211    16.003    17.562     8.347
11/2020        9.296     8.783     5.864     7.307     8.366    12.631     7.477     9.492     5.579    10.845     7.122     6.523     5.896     6.285     6.137     6.033     8.998     6.949     8.032     6.043     5.156     5.608     6.368     7.740     9.118    13.973     7.550     6.189     5.670     6.190     6.945     4.358     8.202     9.257     7.355
12/2020        6.615     6.572     4.877     5.941     5.890     8.638     5.480     6.681     4.548     7.255     5.881     5.437     4.927     4.923     5.344     5.001     6.543     5.621     6.830     4.579     4.480     4.626     5.337     5.254     5.780     7.921     6.346     4.922     4.546     4.709     5.505     3.951     6.266     6.227     6.410
 1/2021        5.371     5.432     4.151     5.096     4.906     6.171     4.409     5.419     3.845     5.492     4.938     4.601     4.250     4.173     4.591     4.072     5.432     4.227     5.854     3.849     3.845     3.941     4.355     4.948     4.651     6.058     5.133     4.157     3.843     3.977     4.611     3.396     5.185     5.108     5.664
 2/2021        4.164     4.272     3.293     3.934     4.594     7.222     3.445     4.245     3.021     4.441     3.995     3.596     3.377     4.030     4.609     3.166     4.280     3.782     4.858     3.042     3.054     3.436     3.440     4.270     3.708     5.071     3.966     3.502     3.001     3.175     3.499     2.816     4.588     5.294     4.434
