segdesc   = YDLC2L_F
2021-02-01
DATE,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
2/2021,21.007,18.456,17.958,17.419,17.388,38.375,24.940,17.388,17.395,17.417,17.995,18.063,17.942,17.530,23.490,22.018,18.000,18.154,23.044,24.882,18.783,17.471,18.426,17.612,19.318,17.388,19.515,17.388,18.270,17.388,17.687,17.637,17.388,19.893,30.405
3/2021,50.383,48.315,54.136,28.960,33.463,116.316,44.233,26.771,79.583,58.565,37.803,50.055,45.206,53.682,74.770,49.101,44.079,48.000,55.047,46.943,44.194,31.484,59.033,70.289,37.840,36.284,76.298,25.350,57.553,26.720,42.071,67.255,34.873,40.811,66.552
4/2021,130.007,79.691,71.985,75.553,157.014,237.675,108.818,116.912,184.133,141.689,91.399,126.960,140.643,118.867,90.699,135.287,83.674,123.317,129.837,149.728,127.136,109.192,177.213,130.852,103.835,150.634,108.528,65.398,135.409,125.000,159.408,138.080,103.089,107.356,80.376
5/2021,323.732,183.129,271.570,344.266,364.829,331.991,173.792,257.496,191.053,163.710,265.298,249.413,396.223,219.335,448.567,284.422,269.477,270.000,274.612,339.980,267.220,112.311,414.357,192.083,287.224,219.890,236.033,268.046,310.749,274.967,477.995,134.216,332.165,277.198,192.319
6/2021,298.265,275.000,514.857,456.962,219.832,307.388,73.980,270.210,119.643,245.432,326.441,156.679,442.499,124.361,672.180,263.924,300.381,343.485,365.373,239.905,160.789,111.946,408.357,96.057,365.852,126.359,130.518,418.630,292.290,527.342,727.848,59.792,185.051,334.075,258.370
7/2021,41.001,76.575,150.848,78.943,38.702,51.904,15.054,32.781,21.998,43.426,50.736,28.593,88.161,22.614,213.052,40.000,38.717,96.361,73.673,26.667,21.783,14.514,53.358,19.764,61.401,17.273,20.551,96.358,51.626,79.371,196.163,11.451,22.531,36.883,36.289
8/2021,14.758,17.825,29.906,22.954,18.611,17.545,11.942,13.008,15.557,14.416,16.000,12.908,22.064,11.729,34.554,15.639,20.425,24.601,19.781,13.147,12.574,9.209,17.131,10.280,17.105,11.492,10.795,19.570,16.213,20.006,32.794,9.687,13.507,22.429,12.898
9/2021,8.739,12.761,10.000,12.941,9.752,12.203,5.318,12.334,7.451,6.381,9.922,5.823,12.297,5.091,13.434,7.862,80.840,9.818,9.559,18.139,6.386,3.965,13.850,10.087,10.895,22.644,13.143,10.339,7.378,8.634,20.707,3.460,17.341,23.285,6.231
10/2021,42.272,19.667,27.991,19.371,33.734,42.393,7.329,11.657,9.010,21.808,10.206,8.295,29.365,19.450,34.626,14.946,62.020,31.640,12.703,30.630,10.523,12.504,13.402,23.902,25.582,41.812,33.915,11.938,18.223,16.276,24.561,6.463,46.215,24.399,8.926
11/2021,40.109,26.223,30.275,35.605,33.790,41.672,17.337,17.167,17.311,34.842,20.546,19.463,27.993,21.266,37.255,43.790,28.286,33.021,18.673,19.281,17.376,16.549,22.593,33.771,27.643,42.726,29.623,20.465,28.963,48.076,26.014,15.402,47.234,23.229,19.855
12/2021,38.176,20.578,23.481,26.382,25.666,28.881,18.270,19.035,17.814,24.029,19.260,17.905,22.453,18.632,39.064,44.492,21.960,36.053,20.087,19.084,17.285,18.067,25.433,18.958,23.224,24.714,18.517,22.169,20.638,29.019,25.359,17.083,27.094,25.919,22.768
1/2022,28.154,17.838,19.817,21.203,20.917,21.054,15.027,16.648,16.071,18.291,17.152,15.934,20.575,17.859,24.250,27.792,21.339,21.660,21.487,17.794,16.006,14.163,19.973,25.495,20.934,20.455,16.252,18.659,17.753,22.344,23.798,13.857,19.266,18.871,23.699
2/2022,26.118,16.938,16.734,17.861,56.156,34.325,12.488,14.050,14.418,17.003,16.081,14.432,18.434,30.102,28.913,27.004,21.157,32.631,29.084,15.814,13.853,20.064,19.600,24.996,16.340,23.368,13.712,20.284,14.984,17.718,20.963,11.655,21.505,38.778,18.158
3/2022,75.616,61.603,31.522,46.069,211.654,49.545,26.533,83.293,57.801,46.921,55.216,57.107,71.830,85.687,73.391,95.490,71.147,84.863,51.142,52.231,31.889,59.440,108.332,41.340,42.836,123.159,29.332,93.214,29.412,79.979,74.737,40.087,60.199,78.789,36.074
4/2022,175.776,92.251,214.121,279.517,462.868,151.660,161.347,234.183,163.434,121.526,133.502,227.656,161.996,108.146,317.724,269.164,208.554,200.497,173.332,148.609,114.796,191.745,244.403,151.457,311.343,168.712,128.253,236.349,142.658,388.901,157.451,110.547,214.722,106.432,82.227
5/2022,545.699,415.346,1120.468,736.239,609.573,325.041,432.809,296.981,230.606,407.506,319.958,693.494,386.254,631.514,740.849,884.639,623.714,516.388,463.177,406.528,139.942,509.651,381.410,529.414,634.187,403.261,622.397,675.621,371.997,893.320,209.720,356.982,604.885,312.160,259.594
6/2022,611.482,807.160,1033.951,456.714,522.060,104.766,449.673,201.145,354.348,411.342,186.727,717.573,221.477,872.636,569.207,826.501,501.755,563.035,321.060,249.651,138.288,513.680,204.298,537.933,356.856,180.340,778.203,547.466,639.704,1273.293,71.696,214.466,556.248,312.929,180.980
7/2022,199.872,264.058,236.006,86.625,103.844,23.568,62.163,39.107,66.296,73.023,37.898,182.805,42.452,342.438,115.681,159.954,159.987,132.432,39.399,35.912,18.264,77.839,40.360,120.639,51.380,32.383,198.222,121.895,104.372,478.406,15.842,28.871,76.251,46.742,26.649
8/2022,31.091,38.024,46.599,29.104,27.159,14.051,16.861,18.283,16.443,18.805,13.732,32.483,15.211,42.961,27.052,39.755,32.399,26.528,15.109,15.344,9.905,18.531,15.455,22.748,19.449,14.618,30.854,26.116,21.711,55.917,11.300,14.131,29.945,14.008,10.044
9/2022,20.447,12.648,26.924,15.712,18.834,7.371,15.528,8.998,7.460,11.817,6.369,17.109,7.738,15.289,14.804,98.491,13.984,13.362,19.506,8.461,4.475,14.060,14.745,12.948,30.774,16.797,17.060,13.337,9.468,28.694,4.822,16.956,28.476,6.916,4.926
10/2022,27.877,31.289,34.115,42.549,51.912,9.763,14.760,10.755,23.390,12.567,8.802,34.924,23.107,36.929,22.695,85.041,37.819,16.498,32.746,12.779,12.878,13.873,29.522,28.926,51.573,38.679,18.602,24.787,17.395,32.287,8.340,46.662,29.770,9.678,36.484
11/2022,33.816,32.908,51.096,42.414,49.826,19.970,20.043,18.949,36.462,22.872,19.839,33.439,24.629,39.374,53.192,39.917,38.302,22.133,20.922,19.726,16.734,23.019,39.609,30.881,51.452,33.190,26.662,35.713,49.412,32.987,17.428,48.343,27.823,20.600,36.057
12/2022,27.133,25.813,38.970,32.600,35.265,20.630,21.799,19.527,25.027,21.402,18.263,26.756,21.558,40.975,52.693,30.985,41.177,23.457,20.662,19.366,18.234,25.820,23.128,25.887,30.826,21.420,28.168,26.415,29.930,32.155,19.053,27.732,30.499,23.614,33.339
1/2023,23.937,21.990,32.629,26.930,26.648,17.212,19.245,17.599,19.140,19.153,16.270,24.563,20.570,25.718,34.188,30.058,25.651,24.700,19.280,17.939,14.323,20.348,29.527,23.251,25.930,18.948,24.211,22.961,23.199,30.198,15.618,19.451,22.827,24.453,25.162
2/2023,22.257,18.598,27.594,60.120,40.669,14.353,16.268,15.700,17.732,17.809,14.727,21.748,32.613,30.343,32.668,28.459,36.468,32.128,17.094,15.414,20.182,19.904,28.501,18.262,28.511,16.006,25.251,19.429,18.465,26.586,13.158,21.203,43.517,18.697,22.454
3/2023,70.134,33.585,61.508,221.047,56.924,28.539,87.335,56.531,47.846,57.639,57.372,78.646,89.750,76.037,107.758,82.150,92.251,55.247,53.840,32.422,59.481,109.562,45.724,43.741,140.038,31.982,104.333,33.713,81.335,85.290,41.752,59.422,87.310,37.020,68.113
4/2023,103.979,220.162,326.666,496.098,166.042,166.371,245.285,166.193,124.519,138.755,227.821,170.102,113.500,327.722,290.287,234.309,211.058,183.653,152.117,116.355,192.203,248.360,164.930,313.608,186.967,132.375,254.770,154.371,392.262,169.479,113.499,208.594,116.175,84.399,160.865
5/2023,446.055,1149.604,791.955,620.919,343.657,446.188,308.542,233.537,418.769,327.608,699.855,399.080,648.876,754.937,927.419,670.202,536.217,480.228,416.027,145.300,513.748,386.285,559.862,643.667,431.981,638.239,706.582,368.654,901.130,221.285,366.264,582.063,328.171,263.765,505.867
6/2023,835.525,1043.276,469.110,533.662,109.207,456.935,204.413,364.988,415.479,188.895,720.912,232.686,884.837,571.939,839.100,521.279,570.938,325.522,252.106,145.216,515.251,204.906,548.990,376.023,185.707,787.616,555.497,672.705,1279.107,75.997,217.848,582.543,318.340,182.008,612.887
7/2023,268.732,236.963,92.485,112.318,26.797,63.020,40.327,71.603,73.306,38.948,183.002,47.334,344.258,116.348,162.151,173.996,134.610,40.837,36.582,20.327,77.875,40.497,122.254,54.788,34.663,199.808,124.367,114.996,479.002,19.161,29.722,81.429,48.901,26.784,210.499
8/2023,40.365,47.080,34.247,29.660,16.804,17.268,19.256,17.084,18.937,14.498,32.437,17.311,43.541,27.662,41.295,36.805,27.952,16.220,15.887,10.922,18.512,15.563,23.721,20.094,16.242,31.570,28.112,24.255,56.171,14.838,14.568,29.669,15.540,10.157,31.197
9/2023,14.399,27.312,20.332,20.339,9.683,15.913,9.831,7.879,11.911,7.122,17.061,9.380,15.772,15.350,100.767,16.979,14.679,20.679,8.931,5.303,14.092,14.756,13.871,29.788,18.491,17.693,15.116,11.485,28.920,8.133,17.488,29.783,8.147,5.029,18.964
10/2023,33.306,34.494,48.092,54.631,12.419,15.106,11.677,23.005,12.609,9.611,34.853,25.021,37.428,23.239,86.612,40.895,17.814,34.236,13.307,13.905,13.876,29.590,29.958,53.039,40.969,19.237,26.541,18.534,32.510,11.864,47.507,30.228,11.219,36.584,27.445
11/2023,34.754,51.475,46.800,52.153,22.671,20.371,19.859,37.607,22.922,20.653,33.381,26.946,39.850,53.840,41.033,41.407,23.309,22.123,20.228,17.442,23.011,39.683,31.760,53.271,34.988,27.243,37.287,52.249,33.194,20.710,49.155,28.364,22.222,36.126,32.937
12/2023,27.491,39.309,36.730,37.695,23.319,22.122,20.397,25.975,21.430,19.025,26.707,23.550,41.428,53.336,32.064,44.840,24.601,21.823,19.851,19.352,25.812,23.171,26.709,31.976,23.039,28.737,27.944,32.012,32.362,22.231,28.283,30.849,25.239,33.366,26.498
