segdesc   = YDLC2L_F
2018-04-30
 traces ->      1981      1982      1983      1984      1985      1986      1987      1988      1989      1990      1991      1992      1993      1994      1995      1996      1997      1998      1999      2000      2001      2002      2003      2004      2005      2006      2007      2008      2009      2010      2011      2012      2013      2014      2015
 5/2018      408.149   330.525   317.974   407.253   344.877   341.592   369.082   416.865   302.045   306.851   377.554   426.902   419.124   344.859   479.903   370.000   342.142   345.525   354.197   371.298   376.118   309.396   443.641   349.088   417.278   409.546   378.703   357.634   353.834   372.154   357.110   351.194   387.000   381.807   380.617
 6/2018      539.402   380.114   463.742   375.791   322.216   363.401   245.421   299.033   256.829   376.392   307.285   350.000   343.130   235.980   582.242   302.004   411.562   421.489   403.551   358.706   224.865   281.173   321.667   315.674   496.885   229.847   252.668   353.707   332.446   514.729   401.052   210.888   213.575   358.255   572.729
 7/2018       70.215    89.735    99.158    54.196    52.000    52.625    42.350    34.032    39.382    61.088    43.726    63.886    58.282    38.115   129.110    41.053    49.945   113.777    70.294    36.295    28.951    30.196    37.493    45.434    72.510    28.086    35.538    64.997    54.666    71.170    82.341    27.485    26.514    36.519    71.683
 8/2018       17.102    19.097    22.113    17.842    17.300    15.699    15.713    14.048    17.067    15.859    15.106    17.270    16.624    14.271    22.106    15.084    21.180    23.244    17.302    13.847    14.080    13.424    14.063    14.762    17.640    13.956    13.753    16.000    15.682    17.761    17.573    13.601    13.612    22.333    17.857
 9/2018       10.000    14.401     9.089    10.788     8.441    11.009     8.106    13.792     8.628     7.870    10.188     8.682     9.774     7.662    10.410     8.245    76.442     9.573     8.753    19.625     7.797     7.743    11.949    14.704    11.570    24.489    15.406     9.694     7.857     8.504    13.973     7.086    17.108    23.309    10.010
10/2018       45.915    23.020    27.599    18.184    33.727    41.979    11.407    14.277    11.296    25.032    12.064    12.499    27.686    23.452    32.683    16.062    65.136    32.517    12.995    31.079    13.118    18.210    13.034    29.165    28.156    46.815    38.750    12.532    19.472    17.093    19.858    11.368    48.196    27.112    14.359
11/2018       43.300    29.589    30.481    34.414    33.726    41.724    21.810    19.998    19.640    37.792    22.451    23.666    26.915    24.872    35.440    47.088    30.563    33.995    18.890    21.011    19.773    21.488    22.369    39.164    29.837    47.324    33.461    21.067    29.869    48.532    22.187    20.283    48.887    25.682    25.213
12/2018       41.489    23.507    23.840    25.123    25.550    29.054    22.502    21.560    20.005    26.427    21.007    21.667    21.523    21.988    37.623    44.071    24.084    36.969    20.300    20.849    19.562    22.813    25.217    23.068    25.338    28.137    21.840    22.512    21.769    29.829    21.729    21.611    28.504    28.461    28.383
 1/2019       30.755    20.565    20.155    20.445    20.821    21.199    18.837    19.087    18.115    20.437    18.785    19.552    19.706    21.048    23.261    28.521    23.382    22.538    21.788    19.471    18.157    18.501    19.719    30.105    22.901    23.524    19.363    19.219    18.846    23.046    20.381    18.076    20.535    21.187    28.468
 2/2019       28.402    19.326    17.028    17.240    56.277    34.502    15.734    16.171    16.166    18.847    17.505    17.701    17.694    33.230    28.030    28.054    23.009    33.487    29.405    17.633    15.702    24.080    19.391    28.967    17.996    26.194    16.371    21.378    15.920    18.309    18.052    15.242    22.649    41.319    22.780
 3/2019       79.862    65.550    32.005    47.068   212.738    49.787    30.367    90.996    60.236    49.498    57.601    69.229    70.438    90.950    71.704   102.293    74.334    85.990    52.191    56.728    34.170    65.586   107.569    46.678    45.287   131.433    32.418    95.441    30.479    81.130    67.217    46.005    61.989    81.430    43.316
 4/2019      184.390    97.475   215.256   283.277   464.178   150.655   174.725   244.634   170.804   127.388   135.303   249.173   156.196   114.211   311.826   282.669   215.451   201.414   175.661   162.863   119.881   205.760   241.918   170.805   320.048   177.945   133.999   246.691   144.191   391.526   142.496   124.316   218.412   107.978    93.751
 5/2019      557.374   422.874  1102.775   715.840   609.903   321.316   456.612   299.770   238.585   414.905   312.679   741.016   368.592   645.318   713.433   896.553   627.004   512.815   457.971   412.478   143.200   530.516   371.770   572.562   637.299   412.910   641.608   670.114   370.870   885.863   191.391   389.957   603.777   307.169   284.806
 6/2019      615.129   807.900  1024.262   435.725   521.491   104.404   460.134   197.767   359.090   413.631   186.554   709.467   217.605   878.241   563.542   818.053   502.929   561.943   319.640   240.946   139.513   522.181   202.553   539.648   357.587   182.703   785.464   534.245   638.367  1265.128    68.708   212.889   556.193   313.130   174.851
