segdesc   = GBRW4R_F
2018-05-31
 traces ->      1981      1982      1983      1984      1985      1986      1987      1988      1989      1990      1991      1992      1993      1994      1995      1996      1997      1998      1999      2000      2001      2002      2003      2004      2005      2006      2007      2008      2009      2010      2011      2012      2013      2014      2015
 6/2018      387.365   403.377   394.801   410.669   378.716   392.457   404.338   396.332   388.040   394.786   400.000   411.791   423.801   402.549   461.376   386.322   468.744   422.716   435.456   382.684   383.485   374.894   383.264   420.159   409.647   380.494   409.946   411.436   503.344   442.535   394.044   374.072   372.768   376.443   425.450
 7/2018      125.908   130.085   144.630   129.154   125.000   108.445   143.328    99.457   124.997   125.523   104.857   153.147   145.396   103.678   153.052   103.844   144.585   176.677   117.198   122.249   115.845   105.832   117.108   183.514   117.903   103.323   104.059   118.266   205.361   156.693   147.521   108.108   107.609   151.516   150.720
 8/2018       67.211    90.515    96.404    73.747    69.290    65.895    92.791    59.922    68.922    68.244    71.989    74.964   151.661    61.334    80.342    59.828   106.093    92.848    69.192    65.752    61.236    60.905    63.130    97.577    70.000    60.690    71.758    63.380    89.218    76.712    70.861    58.959    60.245    76.713    70.293
 9/2018       38.498    58.641    57.358    54.711    51.749    40.776    49.258    38.448    47.453    46.245    56.950    47.436    56.166    39.617    43.816    38.157    67.951    47.115    55.105    51.213    38.990    47.554    47.000    62.135    41.465    39.579    44.493    46.556    44.022    46.589    41.681    36.804    48.033    52.622    44.619
10/2018       49.072    94.945    69.636    69.981    60.017    54.316    45.005    41.692    49.854    57.753    47.452    45.250    53.857    53.344    50.959    45.493    71.648    55.232    47.333    52.131    42.708    52.000    43.658    61.438    48.716    61.404    66.200    48.282    54.142    45.968    50.709    41.328    56.023   113.641    47.822
11/2018       50.730    55.431    56.779    48.033    54.518    48.489    42.890    41.615    43.733    50.378    47.000    43.062    46.577    47.207    48.479    46.040    50.227    46.439    43.196    45.199    49.876    44.385    42.438    58.743    44.820    46.502    53.861    49.202    50.912    45.533    47.078    46.513    46.700    59.953    45.252
12/2018       45.384    43.329    43.290    39.962    40.382    38.690    38.281    36.794    38.009    41.081    41.109    37.884    40.000    38.923    48.092    42.809    41.009    41.552    38.022    38.054    39.639    37.854    37.093    43.788    39.601    40.815    41.313    40.130    41.675    39.075    38.804    39.577    38.745    46.636    41.875
 1/2019       40.473    38.760    37.563    34.659    34.868    33.372    33.543    32.436    33.192    34.996    35.500    33.842    35.000    34.007    37.768    42.665    35.412    35.431    33.487    33.272    33.533    33.196    33.006    37.283    38.548    37.302    34.914    36.473    35.929    35.166    35.042    33.687    34.312    42.440    44.842
 2/2019       37.928    33.885    32.000    29.954    71.892    30.097    28.311    29.252    29.063    33.876    30.444    29.926    29.523    40.040    40.728    34.555    29.817    31.781    32.608    28.563    28.391    37.174    29.344    32.276    32.087    33.832    29.174    33.323    30.157    31.851    32.068    29.034    36.178    44.856    37.564
 3/2019       56.165    48.561    41.754    38.636   135.061    45.437    42.740    64.704    48.848    41.798    53.638    53.765    52.390    71.960    58.139    60.042    49.392    50.000    43.096    43.131    37.697    46.350    61.614    54.745    41.285    71.168    37.703    54.248    41.031    40.267    59.966    44.388    50.542    75.352    54.223
