segdesc   = GJNC2L_F
2018-05-31
 traces ->      1981      1982      1983      1984      1985      1986      1987      1988      1989      1990      1991      1992      1993      1994      1995      1996      1997      1998      1999      2000      2001      2002      2003      2004      2005      2006      2007      2008      2009      2010      2011      2012      2013      2014      2015
 6/2018       17.312    18.203    22.019    58.790    18.251    19.036    19.582    17.477    18.058    18.194    18.616    19.059    20.030    17.755    21.296    19.048    25.825    20.032    20.485    19.000    19.949    17.373    18.797    18.034    20.698    18.177    18.227    19.004    20.778    19.510    17.910    17.071    17.529    18.681    22.787
 7/2018       11.954    10.105    14.664    15.713    10.600    12.150    11.101    12.141    10.020    11.116    11.119    13.071    11.092    10.517    16.437    11.008    10.995    10.058    11.000    10.509    10.908    10.758    10.010    10.718    10.849    11.263    10.068    10.370    10.916    10.977    12.030    11.439    11.101    10.429    11.351
 8/2018       19.309    23.330    21.583    28.866    18.095    18.816    20.339    18.707    19.377    19.000    18.091    22.254    18.108    17.505    19.647    17.718    25.139    17.901    24.758    18.096    19.113    17.939    17.996    18.387    19.606    24.674    19.366    18.655    18.456    23.039    18.263    18.935    23.099    22.130    17.998
 9/2018       34.089    48.826    33.606    41.517    39.656    44.720    35.330    44.852    32.716    32.138    37.313    35.233    34.384    34.227    34.307    35.000    42.948    32.388    40.159    34.328    32.989    36.211    42.451    44.260    32.620    39.621    46.569    33.932    32.944    33.210    33.985    32.809    50.231    37.541    33.064
10/2018       60.827    57.718    45.612    62.261    82.185    76.276    44.616    50.188    45.682    50.000    45.850    44.709    51.341    47.034    52.021    52.983    67.391    45.341    47.061    46.538    44.556    53.624    48.384    58.753    56.228    89.798    66.590    45.635    45.594    46.436    47.945    44.384    70.760    58.468    45.550
11/2018       44.730    45.361    37.784    44.479    49.702    55.370    39.962    36.064    34.504    40.345    37.596    40.088    37.167    35.941    36.182    42.531    43.884    38.735    34.326    35.443    35.277    39.800    35.034    47.487    41.046    55.843    44.825    34.455    35.769    39.460    36.866    33.374    44.440    38.752    39.000
12/2018       32.808    32.559    30.846    32.052    35.562    38.377    30.958    29.023    27.252    30.000    29.816    29.993    28.321    28.056    29.294    36.756    32.767    32.243    27.666    27.679    27.539    30.469    29.002    32.896    29.693    35.794    33.091    27.658    27.989    37.467    28.886    27.161    32.620    28.939    31.755
 1/2019       26.921    27.261    25.528    27.124    28.983    29.815    25.000    24.390    22.931    24.265    24.462    25.701    23.963    23.856    24.443    28.274    27.529    26.452    24.359    23.543    23.070    24.738    24.405    39.570    25.416    29.599    26.924    23.929    23.323    32.168    24.730    23.074    27.189    24.164    28.247
 2/2019       24.673    26.155    22.062    24.574    41.709    34.221    22.076    22.484    20.471    22.556    22.280    28.170    21.321    29.394    31.292    25.982    26.594    27.874    28.227    22.947    20.461    24.494    21.989    35.669    22.507    33.033    25.000    25.801    20.450    26.099    22.651    21.334    29.080    26.173    25.123
 3/2019       49.786    57.178    31.125    50.363    98.056    50.119    35.669    58.212    33.293    38.308    49.236    63.383    42.711    70.524    42.210    56.375    41.000    37.804    36.386    35.815    27.203    37.230    58.109    49.887    34.258    96.566    34.073    50.148    26.492    45.692    40.886    34.237    40.497    38.579    32.082
 4/2019       83.141   106.815    91.000   214.168   228.567   134.768    74.353   130.138    69.901    76.698   139.885   204.770    98.959   107.891    83.817   139.411   109.249    60.786    71.505    74.598    67.966    75.105   146.943   199.030   135.836   156.725    82.538    99.762    81.672   115.921    88.233    63.527    89.672    65.108    79.216
 5/2019      207.078   341.493   428.338   439.523   333.922   256.136   133.827   141.936    84.169   150.862   209.219   555.130   180.438   365.134   201.644   408.546   283.393   166.394   141.368   191.205    61.518   184.890   202.029   438.403   205.000   210.199   344.586   269.980   167.888   268.322    91.687   125.136   218.311   132.386    97.114
 6/2019      193.703   462.033   468.275   278.516   230.900   132.780   113.507    75.211    63.180   157.618   113.584   415.742   111.470   459.543   112.723   351.625   198.186   188.048    69.246    98.586    25.242   167.885    78.493   282.903   104.192   107.693   370.525   140.000   181.053   343.563    20.059    73.697   184.476   129.281    59.397
 7/2019       96.739   191.744   156.452    75.420    82.135    45.687    34.334    23.555    20.003    59.712    40.594   138.779    24.542   269.462    32.561    97.798    68.169    87.443    15.484    21.214    10.429    30.416    23.157    86.383    25.286    31.750   118.023    61.061    39.000   125.489    12.905    20.661    37.235    34.352    19.092
 8/2019       49.515    74.005    78.120    42.627    37.911    37.505    25.694    25.117    22.311    30.115    36.695    57.353    22.758    79.187    24.088    63.362    35.470    49.283    21.528    26.929    16.669    23.441    25.803    47.334    33.000    30.971    51.878    30.470    37.327    43.971    20.168    27.989    36.445    23.269    22.398
 9/2019       73.665    61.128    73.838    66.464    68.688    50.934    56.581    40.888    36.117    49.959    49.460    68.977    42.876    65.029    43.923    74.676    47.566    54.997    40.415    41.459    36.474    55.085    57.120    56.057    49.355    61.914    56.947    44.368    44.486    53.613    35.738    59.467    52.000    38.209    37.885
10/2019       74.725    70.567    95.835   121.798   109.708    59.199    60.876    55.057    55.272    56.877    57.978    87.376    57.017    83.759    64.507   104.762    61.453    58.723    53.339    53.471    54.607    58.831    74.339    84.564   109.162    85.415    67.279    58.079    58.212    67.959    47.966    82.366    75.867    51.165    67.062
11/2019       60.241    62.010    73.313    76.160    78.461    55.789    45.462    43.992    46.264    48.911    54.057    67.064    45.947    61.438    53.383    70.305    55.007    45.488    42.664    44.464    42.181    44.969    62.517    65.072    69.684    59.404    54.510    48.737    51.737    55.042    37.493    53.586    51.529    46.183    52.179
12/2019       44.454    52.544    55.546    56.032    54.864    44.680    37.536    35.855    34.714    40.027    42.504    55.211    36.892    51.798    47.369    53.704    47.249    37.935    34.105    35.811    32.489    38.227    44.144    50.136    45.677    44.176    46.042    39.297    49.306    45.234    30.912    39.728    39.636    38.035    38.370
 1/2020       37.813    44.847    47.955    46.894    43.948    37.002    31.968    30.681    28.237    33.539    36.845    48.326    31.799    44.548    37.114    45.904    39.368    33.769    29.270    30.470    26.332    32.700    50.756    44.012    38.069    36.446    40.558    33.380    42.490    39.530    26.374    33.520    33.650    33.859    31.371
 2/2020       35.163    38.022    41.822    62.049    47.533    31.866    28.514    26.760    25.657    29.704    37.616    41.775    36.916    50.695    32.909    42.080    39.005    36.638    27.532    26.353    25.590    28.820    44.775    38.245    40.713    32.761    40.513    28.529    34.107    34.921    23.794    34.813    34.469    29.675    27.875
 3/2020       68.447    46.849    73.230   130.558    62.291    45.762    64.794    40.358    40.044    59.345    74.410    68.263    79.154    59.641    64.908    60.703    50.528    43.373    39.255    32.336    36.819    69.224    57.022    50.953   113.779    40.799    67.805    33.804    53.500    58.131    35.208    44.159    51.144    34.931    51.971
 4/2020      133.942   123.065   275.454   273.598   175.248    92.246   146.023    82.627    80.186   165.279   229.213   149.195   124.734   125.911   154.174   151.462    80.651    91.432    80.443    77.833    77.300   174.325   223.847   184.747   175.447    94.160   132.143   101.404   139.995   122.612    64.771   104.018    81.081    91.336    87.464
 5/2020      408.102   541.963   505.553   376.679   288.521   162.701   156.730    97.138   169.083   240.424   604.195   234.439   409.149   259.856   448.252   344.210   209.385   169.213   209.564    69.951   196.123   222.504   472.004   240.926   225.500   398.351   329.158   201.476   320.664   111.707   129.691   244.778   155.491   106.332   218.827
 6/2020      482.172   503.394   299.998   243.895   145.542   124.900    80.796    70.414   164.585   121.036   435.341   129.922   483.611   132.306   367.157   213.244   209.244    73.788   104.941    27.977   159.724    81.196   293.987   114.761   110.686   384.145   158.557   191.194   357.185    26.188    76.040   184.717   140.024    63.273   200.387
 7/2020      193.740   162.339    84.499    87.717    50.516    37.857    25.870    22.381    60.378    44.643   145.929    32.625   271.223    39.480   103.058    74.602    92.414    17.069    22.949    11.756    29.738    25.089    91.391    31.401    33.563   118.501    70.566    41.758   127.078    15.973    21.678    39.362    36.863    20.672   100.694
 8/2020       76.536    85.125    49.843    43.779    42.849    29.818    27.936    24.894    31.783    40.538    61.747    31.040    81.312    30.831    67.740    41.865    53.969    24.337    29.646    18.856    24.307    28.389    51.158    40.069    32.935    54.798    37.011    41.689    47.155    24.654    29.883    38.872    25.920    23.840    52.147
