segdesc   = GRNU1L_F
2018-05-31
 traces ->      1981      1982      1983      1984      1985      1986      1987      1988      1989      1990      1991      1992      1993      1994      1995      1996      1997      1998      1999      2000      2001      2002      2003      2004      2005      2006      2007      2008      2009      2010      2011      2012      2013      2014      2015
 6/2018      412.841   429.308   425.149   442.213   400.798   419.700   434.795   416.329   417.687   421.350   424.207   431.756   452.396   425.000   490.604   410.920   495.546   477.830   464.018   407.582   406.831   397.494   424.423   441.646   434.807   406.708   433.872   434.939   535.127   472.377   418.478   395.399   398.648   400.502   448.611
 7/2018      150.062   159.338   170.969   152.173   152.000   128.721   167.647   121.990   145.865   152.906   127.022   186.291   167.497   126.088   178.031   125.371   170.352   207.484   141.246   144.785   140.953   127.832   158.110   214.395   142.497   123.504   123.508   142.552   246.880   186.788   174.622   130.502   127.522   176.011   180.822
 8/2018       72.265   128.746    98.450    81.310    74.439    70.463    97.844    63.564    75.063    73.368    81.401    80.168   159.933    67.116    84.278    64.081   114.581   101.810    73.413    68.733    67.010    66.413    70.545   100.879    74.406    64.502    76.043    68.041    96.495    81.475    75.000    62.142    63.831    84.555    75.044
 9/2018       46.401    84.918    72.653    65.432    62.720    50.333    59.382    45.702    56.449    51.303    70.756    55.788    66.493    46.772    51.848    47.251    81.611    56.000    67.374    64.754    46.327    57.525    58.162    73.232    49.996    48.401    53.953    60.459    52.029    55.899    49.748    42.959    56.648    67.731    51.209
10/2018       62.854   157.520    82.361    82.247    71.889    68.840    53.007    47.779    59.251    68.155    56.355    52.111    65.502    78.352    59.653    54.894    87.601    66.893    55.981    66.404    50.153    64.046    52.857    75.947    56.227    74.766    87.379    58.469    64.000    53.487    62.711    48.739    82.527   130.678    58.171
11/2018       66.188    77.688    69.038    59.206    67.928    62.691    53.008    51.311    54.209    61.574    62.875    53.958    58.794    63.329    58.955    60.992    63.585    59.429    53.200    58.084    60.221    55.735    54.682    91.020    54.896    60.000    68.285    60.159    63.430    56.376    59.834    58.629    61.907    72.514    57.379
12/2018       47.085    48.963    43.579    40.349    41.000    41.375    39.544    37.539    38.765    41.602    43.152    38.602    40.378    41.292    47.614    46.785    42.349    43.041    38.579    39.168    40.182    38.804    39.192    48.049    39.826    41.427    42.179    40.766    42.106    39.906    39.856    40.390    40.722    46.524    42.925
 1/2019       52.405    55.543    47.897    44.628    42.941    44.228    43.031    39.868    41.752    43.898    44.448    41.510    45.390    45.554    48.110    70.793    45.292    47.092    42.151    41.344    41.757    41.310    42.102    52.695    48.504    46.816    44.580    45.236    46.010    45.000    46.454    41.579    44.737    54.037    56.652
 2/2019       53.794    55.585    45.923    41.842   107.479    44.458    39.698    40.276    40.309    47.130    46.046    40.588    41.990    60.432    58.755    54.146    42.153    45.000    46.617    39.875    39.186    51.546    41.723    48.823    44.159    48.281    40.093    45.603    43.741    43.892    44.412    40.179    51.148    64.494    51.235
 3/2019      103.979   121.953    76.234    75.432   247.012    81.137    93.626   130.729    89.828    76.223   138.026   117.157   115.997   137.894   104.747   126.035    98.826    94.912    79.353    85.346    71.636    87.396   120.315   108.335    79.011   120.842    69.543    97.924    74.134    81.932   107.291    82.546    93.185   121.200    95.000
