segdesc   = LEMC2H_F
2018-05-31
 traces ->      1981      1982      1983      1984      1985      1986      1987      1988      1989      1990      1991      1992      1993      1994      1995      1996      1997      1998      1999      2000      2001      2002      2003      2004      2005      2006      2007      2008      2009      2010      2011      2012      2013      2014      2015
 6/2018        1.977     1.977     2.034     2.289     1.977     1.979     2.002     2.333     1.977     1.977     2.528     1.977     1.977     2.179     2.152     2.069     2.923     1.977     2.134     1.977     1.977     1.977     1.977     1.982     1.977     1.977     1.977     1.977     1.993     1.977     1.977     1.977     1.977     1.977     2.252
 7/2018        2.449     0.996     1.135     1.381     1.055     2.426     0.947     1.451     1.161     3.175     1.792     1.744     0.944     1.035     1.347     1.053     1.426     1.655     3.508     0.946     0.985     0.944     1.057     0.954     0.944     2.291     1.277     1.840     0.952     1.090     1.038     1.279     1.015     1.083     1.970
 8/2018        2.055     2.932     1.993     2.477     0.801     1.903     1.504     5.931     2.777     3.668     1.688     2.282     1.140     1.727     1.767     1.183     2.422     1.353     7.915     1.184     2.838     0.701     1.182     0.676     1.357     2.480     3.345     1.244     0.676     1.912     0.894     0.753     1.594     1.661     1.124
 9/2018        1.025     3.458     0.785     1.754     1.629     2.363     1.170     4.780     0.990     2.720     5.426     1.685     1.811     2.090     1.517     1.692     4.539     1.347     4.914     0.852     1.006     1.831     2.733     0.847     2.271     2.503     1.777     1.838     0.876     1.179     0.842     0.564     4.725     1.736     1.124
10/2018        2.870     2.265     1.716     1.743     2.131     3.224     0.820     3.510     1.368     3.344     1.589     0.919     0.863     1.018     0.906     1.860     3.991     0.944     1.576     1.019     0.651     1.198     1.071     1.496     3.278     6.850     1.157     1.159     0.906     1.661     1.877     0.482     1.967     2.486     0.631
11/2018        1.072     1.109     0.801     0.823     0.961     1.523     1.188     1.680     0.755     1.984     0.996     0.698     0.579     0.878     0.555     0.899     1.517     1.148     0.942     0.890     0.500     0.735     0.717     1.243     1.366     2.240     0.631     0.784     0.663     0.968     1.057     0.393     1.040     1.041     0.642
12/2018        0.633     0.720     0.522     0.596     0.597     0.865     0.647     0.949     0.531     1.061     0.734     0.528     0.454     0.571     0.460     0.686     0.870     0.846     0.770     0.532     0.432     0.531     0.596     0.702     0.721     1.100     0.620     0.526     0.432     0.574     0.590     0.343     0.722     0.643     0.532
 1/2019        0.490     0.559     0.419     0.469     0.519     0.623     0.458     0.721     0.424     0.712     0.563     0.424     0.379     0.439     0.391     0.508     0.665     0.566     0.655     0.410     0.365     0.421     0.453     0.778     0.554     0.800     0.460     0.416     0.343     0.453     0.482     0.298     0.569     0.522     0.491
 2/2019        0.372     0.428     0.320     0.371     0.632     0.625     0.340     0.548     0.325     0.583     0.459     0.324     0.300     0.456     0.552     0.377     0.506     0.520     0.568     0.313     0.288     0.403     0.340     0.614     0.433     0.687     0.341     0.360     0.261     0.352     0.351     0.251     0.565     0.705     0.416
 3/2019        0.551     0.705     0.520     1.193     2.161     0.831     0.792     2.472     0.921     0.644     0.897     0.784     1.152     1.733     0.851     1.959     1.144     1.189     0.890     0.899     0.481     0.874     2.379     1.055     0.735     2.924     0.514     1.312     0.302     0.955     1.408     0.524     1.038     1.628     0.640
