segdesc   = MPSC2L_F
2018-05-31
 traces ->      1981      1982      1983      1984      1985      1986      1987      1988      1989      1990      1991      1992      1993      1994      1995      1996      1997      1998      1999      2000      2001      2002      2003      2004      2005      2006      2007      2008      2009      2010      2011      2012      2013      2014      2015
 6/2018       75.727    76.789    87.317   115.949    80.935    82.816    88.435    80.040    79.896    79.527    85.507    81.914    86.611    77.166    83.277    84.633   102.782    79.248    83.356    79.202    81.271    75.627    81.270    76.177    82.495    81.000    79.370    78.023    83.692    81.403    75.131    74.908    77.105    79.073    98.803
 7/2018       39.217    31.967    38.253    48.810    32.499    38.855    34.623    34.000    33.393    36.655    38.005    38.302    34.070    31.388    50.637    36.300    38.434    33.000    38.690    33.996    32.749    32.040    31.999    32.700    33.961    39.730    33.432    31.319    35.207    33.712    31.530    31.719    34.295    33.704    39.347
 8/2018       29.490    42.052    32.697    41.751    26.169    28.904    30.860    30.000    37.440    29.307    30.505    41.255    25.720    25.592    28.909    25.274    32.649    27.827    34.005    32.021    32.717    25.624    28.735    26.262    31.382    39.059    32.703    27.070    25.610    31.443    24.780    27.468    33.989    30.453    26.745
 9/2018       25.098    46.385    22.649    29.476    33.009    37.889    27.181    32.295    25.812    26.074    22.905    35.225    30.759    25.509    24.702    22.986    30.433    21.675    26.256    26.000    22.844    25.110    47.169    27.595    23.483    29.833    33.571    21.444    21.365    21.719    20.519    22.918    49.724    32.711    24.604
10/2018       24.259    29.451    20.001    26.979    54.786    44.596    19.909    23.493    23.667    39.289    19.349    22.119    26.271    21.954    27.160    28.841    33.748    26.674    21.831    21.108    19.453    30.960    28.246    25.000    34.608    48.049    30.430    19.334    21.782    21.535    21.256    19.859    43.560    39.854    20.303
11/2018       23.992    22.084    18.803    23.953    32.660    32.796    20.970    19.306    20.110    36.117    19.821    19.913    21.610    22.000    21.691    23.188    24.914    24.467    18.871    19.789    21.284    21.338    21.006    23.589    28.281    34.061    24.518    18.605    22.649    23.512    19.388    17.964    27.469    25.993    20.786
12/2018       19.340    19.196    18.032    19.921    21.907    23.805    18.317    17.397    17.784    25.219    17.865    18.149    18.092    18.113    19.636    19.783    19.727    22.389    17.072    17.345    17.905    18.030    19.315    18.756    20.422    23.700    19.000    16.574    17.979    19.610    16.880    16.490    21.337    19.924    19.445
 1/2019       15.915    16.393    17.293    16.936    17.828    18.505    15.345    14.832    15.130    18.860    14.743    15.734    15.348    15.254    16.000    15.857    16.914    18.050    16.256    14.728    15.000    15.365    16.259    18.758    16.691    20.306    15.615    14.240    14.864    16.538    14.678    14.078    17.860    16.683    17.160
 2/2019       13.305    14.000    12.943    14.424    27.523    17.967    12.652    12.240    13.036    16.485    12.889    14.773    12.614    16.471    15.400    13.011    15.165    18.263    17.658    15.104    12.331    17.580    13.520    16.183    13.557    19.079    12.782    12.598    12.180    13.573    12.332    11.676    17.160    17.231    14.542
 3/2019       25.008    27.000    14.252    28.004    60.325    24.134    21.918    40.822    24.249    26.622    24.798    30.460    30.977    45.043    26.486    32.835    29.151    28.953    22.626    27.034    17.055    29.311    43.892    21.225    22.221    55.179    14.150    33.876    16.658    28.661    30.513    19.761    21.186    35.569    17.850
 4/2019       44.620    33.679    38.918    77.162   106.073    77.068    58.381   103.789    56.667    53.089    67.395    94.410    65.057    57.399    71.899    76.912    50.471    41.630    64.339    57.342    49.417    56.058    92.937    60.000    77.978    79.101    52.557    62.405    51.468    69.825    71.466    44.646    52.435    68.027    43.478
 5/2019      158.488   126.315   417.187   327.652   300.539   277.589   129.927   180.689   113.911   161.278   185.823   272.764   185.882   191.000   287.331   299.010   169.228   194.173   200.147   244.342    69.126   159.686   208.777   246.207   195.937   220.882   250.882   240.149   101.956   151.929   107.540   111.629   227.986   172.524    98.495
 6/2019      307.223   357.866   685.373   387.297   398.180   281.231   171.759   152.848   179.116   284.019   173.537   415.821   213.661   536.324   293.413   513.136   193.105   345.842   157.895   204.747    54.010   236.778   147.964   291.483   198.283   187.861   496.294   265.000   247.760   433.477    47.813   153.701   347.398   327.438   114.800
 7/2019      175.828   212.102   328.774   120.425   164.063    94.000    69.074    64.186    71.625   133.299    66.824   194.904    66.581   496.503   118.060   185.947    93.685   215.412    47.872    58.526    21.160    67.826    54.050   116.291    73.434    65.910   220.447   138.558    73.761   215.279    21.695    53.388   107.221    99.707    43.530
 8/2019       93.033    81.233   124.706    54.127    62.435    51.507    38.772    48.318    37.588    56.965    51.033    66.966    37.614   136.265    48.266    79.615    43.376    84.537    38.307    44.944    16.651    40.349    34.156    54.574    51.000    46.016    77.805    51.315    42.682    66.411    20.828    37.885    53.761    42.112    27.670
 9/2019       72.056    38.175    66.341    51.159    57.963    37.824    36.000    31.152    29.130    33.564    40.322    53.193    32.527    60.421    34.863    54.120    28.018    43.507    29.991    28.960    17.173    54.358    32.427    33.861    35.417    40.480    43.777    33.417    25.778    37.485    17.602    52.030    44.911    31.920    22.104
10/2019       48.592    34.572    60.767    85.224    69.394    32.362    30.074    31.857    48.967    30.625    29.035    48.974    31.356    58.826    45.009    62.080    36.597    37.419    27.707    27.748    27.206    37.738    34.062    50.766    62.013    40.997    41.325    35.773    28.338    39.216    17.839    51.404    61.218    29.467    24.522
11/2019       33.254    29.445    49.449    48.527    47.607    30.600    22.909    25.493    41.315    28.122    24.222    38.071    28.616    44.451    33.979    43.095    30.523    29.923    24.093    27.404    16.383    26.689    29.258    38.012    41.075    30.762    35.843    33.002    28.052    32.515    14.952    30.301    37.386    27.569    23.035
12/2019       29.299    27.993    42.863    34.348    36.155    27.414    20.855    22.928    29.023    25.738    22.345    33.101    24.275    40.401    30.096    35.276    28.131    27.529    21.401    23.569    13.721    24.791    23.898    28.708    29.161    24.001    32.767    27.398    23.608    29.136    13.932    23.779    29.201    25.910    18.494
 1/2020       26.257    27.178    38.330    29.563    30.266    24.310    18.682    20.532    22.860    22.542    20.329    29.639    21.552    35.132    25.661    31.604    24.049    26.642    19.118    20.838    12.342    21.996    24.538    24.802    26.099    20.748    29.593    24.019    20.945    26.480    12.540    20.849    25.705    23.874    15.891
 2/2020       22.932    21.534    32.957    41.346    28.848    20.663    15.890    18.203    20.636    20.049    19.352    25.030    23.083    32.647    21.609    28.194    24.519    27.634    19.641    17.672    16.134    18.953    21.703    20.688    24.898    17.521    26.161    20.412    17.768    22.709    10.812    20.703    26.008    20.946    13.718
