segdesc   = NVRN5L_F
2018-05-31
 traces ->      1981      1982      1983      1984      1985      1986      1987      1988      1989      1990      1991      1992      1993      1994      1995      1996      1997      1998      1999      2000      2001      2002      2003      2004      2005      2006      2007      2008      2009      2010      2011      2012      2013      2014      2015
 6/2018       10.000     7.960    20.903    37.047     8.673    19.439    12.113    15.161     8.389    10.703    23.180    15.510    10.544    19.736    27.706    20.766    31.593     8.804    11.571     6.984     8.692     6.242    10.537     8.829     9.102     7.945     7.316     8.426    23.941     8.104     7.006     5.354     5.705     6.857    47.767
 7/2018       20.830     4.820     7.461     3.784     5.136    15.376     3.205     4.647     4.382    20.921    11.378    12.783     0.903     2.749    15.166     9.037     6.873    13.554    22.325     1.512     4.192     2.878     1.446     4.301     2.199    23.469     4.005     7.442     4.593     7.132     6.000    12.018    10.007     4.868     8.257
 8/2018       26.337    33.327    23.945    37.561    25.000    20.061    24.072    39.048    26.919    29.212    29.593    40.103    46.532    24.104    32.929    18.477    36.268    24.067    61.693    18.049    30.107    15.963    18.962    16.565    20.513    41.986    29.179    23.942    16.179    27.678    20.987    15.742    26.105    19.081    19.549
 9/2018       22.531    41.654    15.141    26.890    44.159    34.605    16.496    25.246    21.333    25.000    42.162    27.469    44.110    33.236    24.366    23.495    56.204    16.308    48.024    14.721    15.066    22.658    36.454    32.319    19.713    33.281    26.102    24.470    16.501    27.360    18.867    15.649    60.521    18.999    17.981
10/2018       45.975    21.523    27.934    41.829    56.191    47.093    13.368    19.350    23.365    30.112    15.343    14.590    18.688    22.000    18.997    21.301    45.018    31.717    17.603    23.952    11.808    20.189    16.073    28.154    36.723    91.918    24.806    17.015    16.443    19.524    37.348    10.698    32.087    25.834    14.102
11/2018       24.123    22.702    15.703    24.341    28.701    44.685    29.712    19.159    13.474    28.437    25.988    15.327    17.212    30.430    13.687    23.114    24.441    43.352    14.400    20.000    11.693    23.589    18.993    25.824    17.745    35.890    13.624    16.171    14.434    14.491    21.161    11.441    24.136    16.109    15.395
12/2018       14.499    17.594    12.932    27.500    18.872    23.344    15.000    14.868    11.302    16.820    16.014    12.896    14.188    19.748    11.836    21.595    16.898    27.007    13.424    13.046    11.182    13.924    17.549    17.290    12.961    19.556    34.949    13.299    10.888    18.094    14.774    10.472    17.184    14.007    15.320
 1/2019       13.508    16.655    11.293    27.323    18.770    18.248    11.668    14.032    11.609    13.227    13.280    17.687    13.252    16.157    11.967    18.581    16.617    16.899    15.910    13.263    10.813    12.833    15.223    43.025    12.562    17.837    24.900    14.224    11.455    14.137    16.379    16.231    15.000    15.384    13.483
 2/2019       14.935    19.388    14.295    29.156    43.316    31.996    14.230    19.347    11.839    20.699    22.599    23.434    18.660    39.689    20.876    21.694    18.428    21.523    16.082    17.872    10.379    16.101    17.912    76.705    11.628    36.285    18.881    23.426    10.558    18.125    19.000    16.130    21.124    26.868    12.204
 3/2019       73.651    60.311    56.223   158.738   110.541    93.512    44.233    78.996    34.005    57.060    75.256   141.041    51.044   188.525    29.777   142.765    51.669    41.648    35.239    64.957    18.366    43.887    87.941   128.182    27.591   120.432    93.000    51.743    44.866    44.329    53.904    33.421    52.230    54.000    25.643
 4/2019      110.000   113.652   107.176   264.927   270.247   200.279    73.483   188.603    98.983   102.746   194.573   250.634   135.773   159.125    55.489   186.837   106.630    90.566    98.942   173.302    34.965    58.370   180.944   241.668   105.808   130.263   246.116    90.390   167.577    99.465   116.160    46.568    98.356    46.816    57.029
 5/2019      253.077   230.000   305.454   434.071   291.176   321.458   109.015   216.918   179.025   201.761   279.533   394.560   252.956   288.837   148.716   360.185   244.660   229.180   150.468   396.307    40.318   140.744   256.078   462.107   177.781   260.884   319.292   305.201   157.399   151.092   159.408    81.014   167.835   137.506   121.297
 6/2019      267.200   370.241   291.161   462.437   396.745   304.855   178.044   132.488   166.719   300.339   148.608   358.246   186.386   411.293    42.290   370.397   180.000   296.181    42.298   171.469    20.273    95.917   114.635   380.791    53.135   141.487   331.007   147.862   194.838   227.956    54.059    71.697   167.277   199.016   106.078
