segdesc   = RBPC2H_F
2018-05-31
 traces ->      1981      1982      1983      1984      1985      1986      1987      1988      1989      1990      1991      1992      1993      1994      1995      1996      1997      1998      1999      2000      2001      2002      2003      2004      2005      2006      2007      2008      2009      2010      2011      2012      2013      2014      2015
 6/2018        3.381     3.241     3.574     4.568     3.340     3.654     3.681     3.643     3.234     3.434     3.847     3.765     3.513     3.711     3.323     3.255     4.033     3.234     3.357     3.264     3.234     3.252     3.234     3.333     3.265     3.234     3.234     3.260     3.891     3.265     3.234     3.234     3.293     3.234     5.223
 7/2018        3.080     1.783     1.703     1.748     1.799     2.530     1.505     1.870     1.666     2.505     2.357     1.803     1.453     1.649     2.318     2.171     2.307     2.092     1.991     1.429     1.514     1.419     1.508     1.593     1.418     2.341     1.685     1.544     1.726     1.654     1.525     1.631     2.545     1.704     2.364
 8/2018        2.593     3.486     1.700     3.850     2.813     2.454     2.238     2.393     1.678     3.192     3.120     3.395     4.217     2.377     2.486     1.598     4.269     1.622     4.074     1.183     1.804     1.141     1.466     1.358     1.753     3.076     1.697     1.459     1.204     2.451     1.866     1.186     2.289     1.367     1.543
 9/2018        2.980     4.596     1.151     2.539     3.599     4.809     1.489     2.174     1.524     2.409     2.525     2.494     4.738     3.620     2.533     1.772     4.198     1.291     2.479     1.097     1.161     1.053     2.885     1.955     1.277     3.222     2.187     1.565     1.693     2.041     1.969     1.466     3.996     1.061     1.387
10/2018        3.499     2.260     1.684     2.704     5.111     7.043     1.159     1.593     2.424     3.205     1.310     1.308     1.802     1.683     1.960     1.759     4.077     1.517     1.454     1.755     1.046     1.564     1.327     1.865     2.588     6.422     2.793     1.422     1.550     1.393     3.198     1.108     2.867     1.613     1.179
11/2018        1.877     1.359     1.032     1.404     2.186     2.952     1.483     1.055     1.174     2.137     1.083     1.069     1.189     1.521     1.146     1.289     1.929     1.643     1.040     1.253     1.016     1.119     1.157     1.620     1.305     3.123     1.161     1.207     1.340     1.243     1.448     0.941     1.512     1.089     1.428
12/2018        1.171     1.103     0.942     1.169     1.301     1.467     1.022     1.021     0.978     1.239     1.014     0.999     1.045     1.124     1.052     1.120     1.216     1.354     0.981     0.978     0.920     0.949     1.089     1.089     0.984     1.468     1.508     0.978     0.994     1.091     1.056     0.917     1.144     0.976     1.142
 1/2019        0.989     1.010     0.878     1.146     1.177     1.188     0.909     0.913     0.897     1.007     0.928     0.932     1.008     1.016     0.933     1.021     1.061     1.033     0.919     0.913     0.860     0.888     0.973     1.164     0.907     1.144     0.989     0.916     0.889     0.989     1.001     0.872     0.997     0.921     1.082
 2/2019        0.832     0.873     0.769     0.931     1.228     1.244     0.778     0.803     0.771     0.932     0.851     0.801     0.874     1.186     1.176     0.890     0.916     0.961     0.871     0.827     0.777     0.808     0.852     0.991     0.812     1.088     0.812     0.914     0.753     0.910     0.843     0.820     1.040     1.151     0.974
 3/2019        1.247     1.353     1.189     2.200     4.907     2.899     1.399     2.670     1.746     1.110     1.382     1.613     2.825     4.760     1.666     2.959     2.276     2.291     1.481     1.708     1.229     1.443     3.517     1.658     1.648     7.373     1.414     2.510     1.159     2.259     3.016     1.611     2.553     2.988     1.311
 4/2019        4.347     2.869     3.481    12.339    15.211    13.822     6.395    13.387     8.274     6.112     9.078     6.499    11.190     8.209     6.325     8.747     5.829     7.104     6.981     9.336     4.565     4.695     9.551     9.155     9.531    10.985     8.049     7.433     7.650     8.211    11.498     4.368     8.204     4.945     6.940
 5/2019       21.858    18.830    25.575    35.995    26.290    25.833    12.189    16.040    12.841    21.422    26.001    32.235    25.514    24.735    13.980    28.670    21.486    22.439    12.733    31.421     5.763    13.105    20.156    35.391    15.190    18.285    27.164    26.922    17.150    15.218    13.205     9.133    12.717    12.363    11.579
 6/2019       25.168    32.948    23.705    34.388    28.866    19.193    14.915    10.523    11.412    27.254    16.152    29.253    18.640    35.458     5.335    25.900    15.692    20.901     4.145    14.183     2.426     8.451    10.666    31.800     6.135    11.942    26.988    14.180    17.208    17.165     6.331     7.012    11.195    17.121     8.687
 7/2019       12.120    14.906     7.683    11.461    12.186     5.962     5.908     3.648     5.080    11.018     5.426     8.503     3.883    19.971     2.653     7.372     6.881     8.560     1.466     3.039     1.077     2.084     2.880     9.862     2.779     3.418     6.829     4.269     4.535     5.276     2.068     3.163     2.880     4.372     4.604
 8/2019        7.250     4.757     5.866     5.567     4.144     3.793     3.258     2.117     3.919     5.234     4.973     6.992     3.140     7.177     1.674     6.592     2.418     6.201     1.156     2.391     0.886     1.556     1.645     3.526     3.503     2.319     2.446     1.639     3.655     2.647     1.253     2.519     1.584     1.887     2.844
 9/2019        6.533     1.792     3.288     5.012     6.135     2.160     2.471     1.808     2.660     3.192     3.417     6.731     4.574     4.065     1.828     5.147     1.637     3.013     1.045     1.420     0.826     2.990     2.189     1.969     3.405     2.777     2.212     2.027     2.564     2.436     1.520     3.974     1.131     1.526     3.067
10/2019        2.993     2.329     3.269     7.155     9.471     1.549     1.776     3.247     3.421     1.612     1.620     2.398     2.045     2.682     1.859     4.971     1.864     1.696     1.728     1.274     1.285     1.327     2.126     3.987     6.734     3.350     1.914     1.816     1.640     4.013     1.138     2.778     1.769     1.259     3.563
11/2019        1.735     1.399     1.686     2.878     3.614     1.889     1.143     1.435     2.255     1.333     1.283     1.554     1.785     1.598     1.279     2.586     1.939     1.226     1.250     1.235     0.911     1.144     1.808     2.072     3.218     1.319     1.663     1.562     1.432     1.781     0.959     1.431     1.147     1.522     1.874
12/2019        1.413     1.289     1.389     1.719     1.810     1.318     1.088     1.116     1.301     1.252     1.200     1.376     1.325     1.472     1.121     1.496     1.603     1.158     0.954     1.120     0.761     1.079     1.194     1.428     1.495     1.660     1.354     1.169     1.244     1.220     0.934     1.068     1.026     1.208     1.153
 1/2020        1.295     1.202     1.376     1.555     1.465     1.178     0.978     1.014     1.061     1.150     1.118     1.325     1.201     1.315     1.013     1.292     1.223     1.085     0.888     1.047     0.713     0.967     1.255     1.288     1.161     1.103     1.227     1.048     1.129     1.138     0.883     0.929     0.963     1.147     0.970
 2/2020        1.160     1.085     1.147     1.771     1.590     1.054     0.886     0.905     1.013     1.078     0.993     1.189     1.468     1.676     0.911     1.151     1.173     1.052     0.830     0.976     0.677     0.882     1.112     1.202     1.138     0.939     1.243     0.919     1.068     0.992     0.860     1.021     1.238     1.081     0.844
 3/2020        1.684     1.560     2.624     6.289     3.465     1.765     2.827     1.938     1.161     1.651     1.855     3.725     5.529     2.200     2.980     2.743     3.027     1.736     1.658     1.537     1.264     3.692     1.773     2.206     7.664     1.640     3.156     1.385     2.589     3.716     1.628     2.719     3.402     1.386     1.220
 4/2020        4.122     4.643    14.263    17.164    15.948     7.790    14.261     9.146     6.684    11.401     7.348    12.951     9.330     8.212     8.860     6.862     8.592     8.468     9.296     5.521     4.388    10.023     9.905    11.805    11.492     9.008     9.044     8.878     9.400    12.404     4.504     8.207     5.320     7.973     4.986
 5/2020       21.855    29.760    37.549    27.309    26.048    13.473    16.448    13.304    22.654    27.340    33.844    27.118    26.122    15.248    28.853    23.043    24.200    13.311    31.471     6.394    12.776    20.469    36.756    16.275    18.301    28.724    29.243    18.379    16.237    13.623     9.499    13.089    13.453    11.888    22.540
 6/2020       33.418    23.905    34.658    29.088    19.536    15.492    10.620    11.605    27.416    16.155    29.614    18.450    36.130     5.496    25.943    15.537    21.014     4.077    14.185     2.505     7.801    10.518    32.181     6.269    11.804    26.677    14.512    17.183    17.367     6.342     7.155    10.825    17.181     8.794    25.309
 7/2020       14.493     7.474    11.487    11.744     5.767     5.853     3.652     5.068    10.620     5.351     8.539     3.812    19.441     2.857     7.365     6.737     8.328     1.502     3.026     1.189     1.970     2.851     9.887     2.918     3.339     6.508     4.374     4.649     5.085     2.064     3.187     2.804     4.323     4.528    11.748
 8/2020        4.632     6.049     5.584     4.321     3.889     3.318     2.116     3.976     5.066     5.089     7.024     3.242     7.085     1.875     6.582     2.440     6.175     1.191     2.378     0.993     1.489     1.584     3.530     3.720     2.259     2.390     1.704     3.580     2.680     1.272     2.530     1.529     1.871     2.880     7.047
