segdesc   = TPIC2L_F
2018-05-31
 traces ->      1981      1982      1983      1984      1985      1986      1987      1988      1989      1990      1991      1992      1993      1994      1995      1996      1997      1998      1999      2000      2001      2002      2003      2004      2005      2006      2007      2008      2009      2010      2011      2012      2013      2014      2015
 6/2018       16.607    16.474    17.799    24.275    16.213    17.517    18.223    17.414    17.670    16.745    17.865    18.113    18.489    16.132    16.842    17.043    19.531    16.824    16.495    16.132    17.000    16.428    17.453    16.243    17.355    17.879    17.024    16.588    17.124    16.885    16.084    16.084    16.411    16.887    18.976
 7/2018        7.888     7.631     8.000    10.228     7.598     9.203     8.080     8.318     8.285     8.222     8.118     9.252     8.241     7.376     9.459     8.046     8.602     8.099     7.899     7.994     7.917     7.694     7.995     7.683     8.125     8.452     8.037     7.488     7.841     7.738     7.694     7.997     7.959     7.701     8.735
 8/2018        5.881     6.019     6.637     7.840     5.691     6.320     6.589     5.983     6.767     5.863     5.785     7.806     5.813     5.476     6.396     5.690     6.776     5.764     6.150     6.000     6.302     5.576     5.738     5.740     6.624     6.458     6.400     5.666     5.627     6.637     5.992     5.765     6.848     6.204     5.929
 9/2018        3.783     5.051     3.883     4.644     4.153     5.292     4.304     4.500     4.117     3.883     3.812     5.197     4.150     3.753     4.700     3.914     4.341     3.709     3.934     3.820     3.904     3.803     5.323     4.000     3.964     4.533     4.500     3.718     3.714     3.903     3.817     3.908     5.068     5.153     4.000
10/2018        4.597     5.315     4.442     5.288     9.902     7.052     4.500     4.879     4.815     6.542     4.347     4.872     5.457     4.609     5.756     4.878     5.406     5.262     4.578     4.394     4.347     5.727     5.256     4.683     6.017     7.584     5.840     4.497     5.000     4.627     5.072     4.401     6.626     8.149     4.466
11/2018        4.120     3.772     3.624     4.062     6.034     4.812     3.800     3.672     3.801     5.836     3.515     3.911     4.255     4.000     4.229     3.789     4.010     3.884     3.551     3.494     4.201     3.797     3.787     3.951     4.911     5.150     4.400     3.706     4.293     4.462     3.797     3.513     4.284     4.759     4.159
12/2018        2.982     2.890     2.812     3.155     3.507     3.259     2.931     2.857     2.917     3.585     2.767     3.015     3.002     2.897     3.194     3.000     3.002     3.116     2.772     2.742     3.000     2.847     2.924     2.886     3.208     3.395     3.033     2.775     2.977     3.055     2.827     2.746     3.106     3.220     3.157
 1/2019        2.993     2.998     2.880     3.229     3.519     3.397     3.002     2.928     3.000     3.346     2.843     3.088     3.070     2.919     3.172     2.980     3.100     3.025     2.843     2.815     2.998     2.900     2.994     2.936     3.183     3.452     3.061     2.863     2.996     3.042     2.896     2.816     3.270     3.262     3.344
 2/2019        1.988     1.998     1.914     2.168     2.346     2.278     2.002     1.942     2.002     2.193     1.885     2.070     2.041     1.950     2.105     1.976     2.063     2.000     1.901     1.871     1.991     1.920     1.985     1.954     2.109     2.308     2.047     1.911     1.992     2.021     1.940     1.879     2.202     2.252     2.268
 3/2019        2.612     3.387     2.517     3.158     3.703     3.174     2.657     3.257     3.519     3.213     2.711     3.016     3.116     3.391     2.713     2.998     3.031     3.369     2.526     2.671     2.624     2.808     4.393     2.526     2.724     6.000     2.659     3.000     2.574     2.816     3.705     2.499     2.794     4.792     3.186
 4/2019        3.313     3.233     2.432     6.119     9.552     6.616     5.000     8.692     8.291     4.420     7.777     5.452     5.462     3.963     4.863     4.061     3.838     4.529     5.798     5.119     6.320     4.799     9.107     4.374     6.927     8.016     2.442     3.773     4.508     4.202    11.093     3.410     3.677     9.743     7.166
 5/2019       18.317    12.500    29.559    40.540    37.749    37.652    17.194    26.091    17.959    22.254    27.118    29.250    23.000    15.259    39.332    29.910    18.746    18.113    26.741    24.180    13.859    20.088    25.772    23.423    27.746    26.038    19.039    28.444    13.825    14.501    17.515    16.983    23.397    21.273    20.891
 6/2019       43.970    44.684    84.049    55.754    56.366    35.287    25.332    29.873    30.217    39.134    24.370    61.784    35.806    77.410    50.801    71.213    25.252    43.851    23.265    25.127    11.200    36.268    20.713    33.513    33.969    24.474    70.555    40.243    36.000    65.587     7.846    26.926    48.260    42.639    22.732
 7/2019       27.251    30.597    47.391    21.273    28.690    15.016    11.471    12.803    12.226    16.909    11.090    35.321    14.055    82.723    24.115    31.549    11.984    29.420     9.065     9.712     5.109    13.339     8.693    15.000    12.170    10.316    39.329    23.290    12.595    42.055     5.163    10.950    17.493    15.458     8.731
 8/2019        9.830    10.928    16.004     9.030    10.484     7.853     5.422     6.983     5.812     7.032     7.000    11.272     6.316    24.787     8.852    11.899     5.483    10.260     5.333     5.691     3.260     6.155     5.106     7.189     6.643     5.986    12.120     8.213     6.736    12.950     3.534     6.222     8.017     6.769     4.990
 9/2019        8.304     6.620     9.846     7.753     9.406     6.486     5.129     5.472     4.876     5.583     6.232     8.365     5.317    13.157     6.900     8.646     4.379     6.915     4.507     4.612     3.071     6.922     4.691     5.341     6.000     5.476     8.193     6.112     5.014     7.916     3.354     5.919     7.835     5.678     4.212
10/2019        7.042     6.008     8.897    13.256    10.032     5.761     4.692     5.330     6.737     5.266     4.871     8.512     5.376    11.159     7.129     8.574     5.151     6.400     4.372     4.305     4.208     5.754     4.658     6.537     8.177     5.916     7.796     6.517     4.932     8.160     3.192     6.455     9.985     5.286     4.290
11/2019        5.420     5.162     7.347     8.846     7.622     5.149     3.728     4.493     6.340     4.529     4.159     7.073     4.902     8.653     5.916     6.890     4.042     5.297     3.694     4.421     2.832     4.453     4.182     5.674     6.077     4.743     6.792     5.856     4.989     6.614     2.706     4.507     6.469     5.135     4.142
12/2019        4.921     4.726     6.762     6.399     6.107     4.709     3.415     4.078     4.635     4.206     3.782     6.071     4.232     7.762     5.536     6.185     3.818     4.883     3.419     3.724     2.469     4.060     3.601     4.422     4.743     3.863     6.080     4.884     4.068     5.906     2.487     3.870     5.179     4.612     3.529
 1/2020        4.461     4.237     6.076     5.636     5.511     4.228     3.061     3.671     3.803     3.781     3.389     5.445     3.743     6.830     4.853     5.590     3.249     4.386     3.071     3.257     2.195     3.638     3.200     3.845     4.192     3.410     5.486     4.316     3.552     5.303     2.233     3.539     4.583     4.250     3.089
 2/2020        3.780     3.582     5.182     4.776     4.685     3.589     2.582     3.118     3.175     3.192     2.893     4.610     3.183     5.774     4.097     4.738     2.733     3.729     2.598     2.750     1.849     3.069     2.710     3.240     3.558     2.902     4.657     3.648     3.001     4.510     1.902     3.023     3.993     3.678     2.607
 3/2020        4.464     3.461     5.377     5.476     4.720     3.523     3.192     4.002     3.403     3.351     3.092     4.960     3.943     5.527     4.395     5.012     3.462     3.654     2.725     2.698     2.074     4.943     2.576     3.080     6.588     2.770     5.055     3.480     3.066     5.854     1.870     2.821     6.120     3.731     2.520
 4/2020        4.428     3.405     8.862    12.237     9.508     6.235     9.028     9.311     4.830     9.339     5.738     7.826     4.654     8.238     5.546     5.950     4.821     7.775     5.384     6.839     4.483    10.002     4.605     7.945     9.175     2.685     5.890     5.723     4.634    14.503     2.973     3.961    11.844     8.593     3.360
 5/2020       16.589    36.813    50.497    44.952    44.218    19.875    27.141    20.191    24.937    29.993    30.824    29.662    17.429    53.880    34.751    24.493    20.254    31.969    25.259    15.011    21.106    28.163    24.517    31.090    28.453    21.577    35.400    16.683    16.695    20.952    16.654    26.248    24.889    23.399    18.852
 6/2020       50.805    89.571    61.901    60.453    38.510    26.742    30.362    31.178    40.351    25.345    63.326    39.462    82.958    58.412    76.860    28.166    45.412    24.637    25.658    11.102    34.609    21.260    34.228    35.263    25.201    73.059    45.588    38.349    69.013     9.286    26.268    48.906    45.613    23.467    44.578
 7/2020       31.592    47.573    23.045    29.600    15.787    11.832    12.813    12.317    16.733    11.430    35.658    15.095    83.037    26.036    33.020    13.399    29.000     9.770     9.776     5.106    12.477     8.826    15.115    12.301    10.444    38.299    25.378    12.991    41.558     6.318    10.509    17.279    15.865     8.982    27.372
 8/2020       12.870    18.030    11.136    12.305     9.598     6.514     7.817     6.683     7.929     8.181    12.734     7.770    27.298    10.881    13.994     7.197    11.365     6.531     6.413     3.675     6.527     5.848     8.108     7.665     6.846    13.429    10.300     7.987    14.346     4.945     6.672     9.011     8.010     5.810    11.020
 9/2020        7.449    10.518     8.974    10.578     7.421     5.826     5.731     5.337     5.939     6.700     8.852     6.237    13.673     8.160     9.544     5.499     7.281     5.210     4.868     3.281     7.026     5.084     5.641     6.508     5.932     8.601     7.203     5.607     8.348     4.378     5.969     8.341     6.354     4.632     8.708
10/2020        6.450     9.064    14.156    10.433     6.314     5.004     5.282     6.921     5.305     5.043     8.523     6.065    11.175     7.988     8.948     6.023     6.365     4.779     4.299     4.181     5.423     4.733     6.534     8.258     6.012     7.778     7.270     5.233     8.157     3.960     6.191     9.936     5.611     4.471     6.977
11/2020        5.541     7.489     9.504     7.912     5.641     4.020     4.450     6.385     4.567     4.315     7.081     5.521     8.652     6.718     7.206     4.753     5.287     4.058     4.416     2.816     4.209     4.248     5.672     6.102     4.779     6.742     6.533     5.265     6.610     3.377     4.295     6.371     5.444     4.275     5.361
12/2020        5.088     6.901     6.971     6.447     5.160     3.691     4.037     4.702     4.241     3.929     6.078     4.802     7.770     6.267     6.478     4.486     4.878     3.760     3.718     2.466     3.838     3.664     4.419     4.799     3.932     6.053     5.504     4.298     5.926     3.118     3.675     5.175     4.883     3.650     4.866
 1/2021        4.565     6.203     6.149     5.831     4.640     3.312     3.633     3.888     3.813     3.522     5.451     4.265     6.853     5.517     5.855     3.849     4.381     3.380     3.250     2.192     3.438     3.261     3.840     4.265     3.473     5.464     4.875     3.768     5.322     2.803     3.363     4.590     4.486     3.205     4.410
 2/2021        3.733     5.116     5.042     4.798     3.812     2.703     2.984     3.142     3.113     2.906     4.463     3.507     5.607     4.510     4.801     3.138     3.601     2.765     2.654     1.785     2.804     2.672     3.130     3.503     2.860     4.484     3.989     3.081     4.379     2.307     2.780     3.868     3.758     2.619     3.614
 3/2021        3.745     5.501     5.768     5.011     3.889     3.413     3.889     3.486     3.400     3.211     4.958     4.413     5.570     4.980     5.194     3.995     3.661     2.985     2.667     2.074     4.764     2.636     3.085     6.662     2.835     5.046     3.955     3.255     5.883     2.348     2.688     6.115     3.945     2.624     4.414
 4/2021        3.660     8.991    12.453     9.816     6.600     9.250     9.107     5.020     9.358     5.846     7.610     5.090     8.279     6.114     6.060     5.324     7.747     5.625     6.625     4.471     9.788     4.651     7.670     9.232     2.738     5.874     6.067     4.808    14.514     3.417     3.739    11.817     8.811     3.447     4.299
 5/2021       37.340    50.619    44.643    44.687    20.264    27.447    19.439    25.076    30.056    30.982    28.198    18.035    53.741    36.032    23.797    20.987    31.866    25.656    14.581    21.074    27.880    24.589    30.061    28.568    21.563    35.265    16.341    16.902    20.983    17.244    24.355    24.836    23.663    18.950    15.310
 6/2021       90.289    62.036    61.167    38.759    27.128    30.637    31.443    40.319    25.417    63.599    40.145    84.247    58.319    78.184    28.924    46.234    24.629    26.002    11.463    34.624    21.086    34.312    35.695    25.224    73.177    45.548    39.332    69.470     9.306    26.909    49.187    45.554    23.677    44.812    50.238
