segdesc   = VCRC2H_F
2018-05-31
 traces ->      1981      1982      1983      1984      1985      1986      1987      1988      1989      1990      1991      1992      1993      1994      1995      1996      1997      1998      1999      2000      2001      2002      2003      2004      2005      2006      2007      2008      2009      2010      2011      2012      2013      2014      2015
 6/2018       29.000    29.000    29.190    34.689    29.000    29.000    29.223    31.539    29.000    29.000    31.651    29.000    29.000    30.688    32.466    31.544    39.859    29.000    31.562    29.000    29.000    29.000    29.000    29.051    29.000    29.000    29.000    29.000    29.993    29.000    29.000    29.000    29.000    29.000    38.060
 7/2018       18.474     9.174     9.177    11.298     9.418    17.676     8.786    10.865     9.931    17.584    12.056    13.056     8.767     9.305    11.475    10.076    12.030    12.191    22.206     8.767     9.000     8.861    10.000     9.156     8.767    15.249    11.416    11.831     9.005     9.442     9.451    10.760     9.964     9.830    14.375
 8/2018        7.417     9.862     5.486     8.980     4.026     6.664     5.784    15.671     7.911     9.374     5.602     7.880     5.198     5.084     6.000     4.760     8.977     5.464    23.269     4.840     9.377     3.576     5.302     3.475     6.410     7.325    11.223     4.763     3.469     6.464     4.153     3.719     6.830     6.133     4.749
 9/2018        4.580    13.022     3.556     8.962     7.120    11.872     4.778    13.693     4.532     8.812    16.780     6.427     7.440     7.548     6.078     5.384    16.830     5.508    18.862     4.213     4.411     7.118     9.158     7.000     6.704     7.634     8.860     6.580     3.838     5.215     4.012     3.167    17.072     7.325     4.996
10/2018       11.049    10.171     7.823     8.028     9.365    14.230     4.268    12.141     6.536    12.808     7.000     4.480     5.007     5.180     5.038     6.883    14.474     4.850     8.444     4.931     3.609     5.822     5.326     8.163    10.615    30.015     8.334     4.857     4.364     7.056     6.823     3.032    11.283     9.973     3.753
11/2018        4.795     5.031     3.160     4.309     4.275     7.710     4.270     6.293     3.361     7.133     4.000     3.280     3.191     3.667     2.925     3.793     5.850     4.434     4.824     3.661     2.753     3.423     3.425     5.223     4.872    10.139     4.104     3.439     3.023     3.849     3.862     2.309     5.173     4.764     3.182
12/2018        3.187     3.519     2.448     3.280     3.045     4.951     2.821     4.044     2.559     4.221     3.148     2.590     2.492     2.646     2.425     3.000     3.933     3.427     3.914     2.539     2.284     2.663     2.834     3.208     3.099     5.335     3.269     2.546     2.222     2.707     2.816     2.033     3.733     3.186     2.664
 1/2019        3.169     3.586     2.578     3.529     3.225     4.414     2.741     4.019     2.669     3.936     3.269     2.709     2.677     2.775     2.591     3.000     4.031     3.104     4.172     2.633     2.435     2.816     2.844     3.809     3.142     4.995     3.227     2.646     2.311     2.824     2.902     2.169     3.821     3.294     2.985
 2/2019        1.928     2.226     1.619     2.136     2.536     4.531     1.682     2.472     1.648     2.542     2.112     1.663     1.687     2.255     2.357     1.833     2.503     2.181     2.776     1.643     1.529     2.007     1.778     2.603     2.000     3.322     1.948     1.813     1.414     1.785     1.705     1.454     2.726     3.051     1.888
 3/2019        2.817     3.787     2.771     8.922     8.628     8.322     2.909     8.138     3.431     3.119     3.619     3.882     4.085     9.384     3.423    10.799     4.546     4.559     4.000     4.131     2.293     3.709     8.313     7.803     3.258    14.229     2.929     4.232     1.950     3.786     4.708     2.657     6.854     7.263     2.928
