"",2018,2019,2020,2021,2022
Equalization Tier,0,5.55555555555556,22.2222222222222,27.7777777777778,33.3333333333333
Equalization - annual release > 8.23 maf,0,5.55555555555556,22.2222222222222,27.7777777777778,33.3333333333333
Equalization - annual release = 8.23 maf,0,0,0,0,0
Upper Elevation Balancing Tier,100,94.4444444444444,30.5555555555556,38.8888888888889,38.8888888888889
Upper Elevation Balancing - annual release > 8.23 maf,100,86.1111111111111,22.2222222222222,36.1111111111111,30.5555555555556
Upper Elevation Balancing - annual release = 8.23 maf,0,8.33333333333333,8.33333333333333,2.77777777777778,8.33333333333333
Upper Elevation Balancing - annual release < 8.23 maf,0,0,0,0,0
Mid-Elevation Release Tier,0,0,44.4444444444444,25,19.4444444444444
Mid-Elevation Balancing - annual release = 8.23 maf,0,0,0,0,0
Mid-Elevation Release Tier - annual release = 7.48 maf,0,0,44.4444444444444,25,19.4444444444444
Lower Elevation Balancing Tier,0,0,2.77777777777778,8.33333333333333,8.33333333333333
Lower Elevation Balancing - annual release > 8.23 maf,0,0,0,0,2.77777777777778
Lower Elevation Balancing - annual release = 8.23 maf,0,0,0,0,0
Lower Elevation Balancing - annual release < 8.23 maf,0,0,2.77777777777778,8.33333333333333,5.55555555555556
"Shortage Condition - any amount (Mead <= 1,075 ft)",0,0,58.3333333333333,61.1111111111111,61.1111111111111
"Shortage - 1st Level (Mead <= 1,075 and >= 1,050",0,0,58.3333333333333,44.4444444444444,33.3333333333333
"Shortage - 2nd Level (Mead < 1,050 and >= 1,025",0,0,0,16.6666666666667,25
"Shortage - 3rd Level (Mead < 1,025)",0,0,0,0,2.77777777777778
"Surplus Condition - any amount (Mead>= 1,145 ft)",0,0,0,0,5.55555555555556
Surplus - Flood Control,0,0,0,0,5.55555555555556
Normal Year or ICS Surplus Condition,100,100,41.6666666666667,33.3333333333333,25
